"","x"
"1","He"
"2","Be"
"3","Ne"
"4","Sc"
"5","Kr"
"6","Rb"
"7","Sr"
"8","Y"
"9","Zr"
"10","Nb"
"11","Mo"
"12","Ru"
"13","Rh"
"14","Pd"
"15","Ag"
"16","Cd"
"17","In"
"18","Sn"
"19","Sb"
"20","Te"
"21","Xe"
"22","Cs"
"23","Ba"
"24","La"
"25","Ce"
"26","Pr"
"27","Nd"
"28","Sm"
"29","Eu"
"30","Gd"
"31","Tb"
"32","Ho"
"33","Er"
"34","Tm"
"35","Yb"
"36","Lu"
"37","Hf"
"38","Ta"
"39","W"
"40","Re"
"41","Os"
"42","Ir"
"43","Pt"
"44","Au"
"45","Hg"
"46","Tl"
"47","Pb"
"48","Bi"
"49","Th"
"50","U"
