name,revised_Query,Compound_Name,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Hilic_20min_QE,Hilic_25min_QE,Hilic_25min_QE2,Hilic_Rutgers_QEPlus,Hilic_30min_QTOF,E_Waters_25min,E_30min,lipids,formula,mass,rdbe
1-Methyl imidozolacetic Acid Hydrochloride,Methylimidazoleacetic acid,Methylimidazoleacetic acid,HMDB0002820,75810,,C05828,3774,CN1C=C(N=C1)CC(=O)O,,9.05,8.717569058,,,,,,C6H8N2O2,140.0585775,4
1-Methyl-Histidine,1-Methyl-Histidine,1-Methylhistidine,HMDB0000001,92105,50599,C01152,3741,CN1C=C(N=C1)C[C@@H](C(=O)O)N,7.72,14.76,14.21782534,,14,1.62,,,C7H11N3O2,169.0851266,4
1-Methyladenosine,1-Methyladenosine,1-Methyladenosine,HMDB0003331,27476,16020,C02494,6888,CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,4.06,6.85,6.598381,2.23,5.65,,12.63,,C11H15N5O4,281.112404,7
2-Amino-3-phosphonopropionic acid,2-Amino-3-phosphonopropionic acid,2-Amino-3-phosphonopropionic acid,HMDB0000370,3857,244030,C05672,5359,C(C(C(=O)O)N)P(=O)(O)O,,13.79,13.28345606,10.73,,,,,C3H8N1O5P1,169.0140089,1
2-Furoylglycine,2-Furoylglycine,2-Furoylglycine,HMDB0000439,21863,613373,,5428,C1=COC(=C1)C(=O)NCC(=O)O,,7.01,6.752503767,,,,,,C7H7N1O4,169.0375077,5
2-Hydroxybutyric acid,2-Hydroxybutyric acid,2-Hydroxybutyric acid,HMDB0000008,11266,1148,C05984,3783,CCC(C(=O)O)O,3.92,6.23,6.001155274,3.13,6,10.47,12.63,,C4H8O3,104.0473441,1
2-Methyl-3-ketovaleric acid,2-Methyl-3-ketovaleric acid,2-Methyl-3-ketovaleric acid,HMDB0000408,189028,86365,,5397,CCC(=O)C(C)C(=O)O,,2.57,2.475596959,1.91,,13.69,,,C6H10O3,130.0629942,2
2-Phenylbutyric acid,2-Phenylbutyric acid,2-Phenylbutyric acid,HMDB00329,7012,1138996,,5318,CCC(C1=CC=CC=C1)C(=O)O,,2.68,2.581556362,1.92,,,,,C10H12O2,164.0837296,5
3-Cresotinic acid,3-Cresotinic acid,3-Cresotinic acid,HMDB0002390,6738,20141,C14088,6661,CC1=CC=CC(=C1O)C(=O)O,1.83,2.26,2.176984096,1.27,2.91,,17.52,,C8H8O3,152.0473441,5
3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid,HMDB0001476,86,15793,C00632,3275,C1=CC(=C(C(=C1)O)N)C(=O)O,1.92,5.37,5.172745397,2.54,4.86,,14.05,,C7H7N1O3,153.0425931,5
3-hydroxylbutyrate,3-Hydroxybutyric acid,3-Hydroxybutyric acid,HMDB0000357,441,20067,C01089,125,CC(CC(=O)O)O,,7.73,7.446056223,,,,11.2,,C4H8O3,104.0473441,1
3-Methyl-Histidine,3-MethylHistidine,3-Methylhistidine,HMDB0000479,64969,27596,C01152,5466,CN1C=NC=C1C[C@@H](C(=O)O)N,6.74,13.27,12.78255706,,12.27,,1.56,,C7H11N3O2,169.0851266,4
3-Methyladipic acid,3-Methyladipic acid,3-Methyladipic acid,HMDB0000555,6999745,,,3797,C[C@@H](CCC(=O)O)CC(=O)O,6.58,11.41,10.99087988,8.11,10.13,12.58,15.32,,C7H12O4,160.0735589,2
4-aminobutyrate,4-aminobutyrate,Gamma-Aminobutyric acid,HMDB0000112,119,16865,C00334,,C(CC(=O)O)CN,7.33,11.42,11.00051256,,10.76,,1.9,,C4H9N1O2,103.0633285,1
4-Aminohippuric acid,4-Aminohippuric acid,4-Aminohippuric acid,HMDB0001867,2148,104011,,6359,C1=CC(=CC=C1C(=O)NCC(=O)O)N,4.78,7.4,7.128178014,3.28,7.2,10.7,13.35,,C9H10N2O3,194.0691422,6
4-Guanidinobutanoic acid,4-Guanidinobutanoic acid,4-Guanidinobutanoic acid,HMDB0003464,500,15728,C01035,6938,C(CC(=O)O)CN=C(N)N,7.15,13.17,12.68623033,7.08,12.92,2.04,1.79,,C5H11N3O2,145.0851266,2
4-Pyridoxic acid,4-Pyridoxic acid,4-Pyridoxic acid,HMDB0000017,6723,17405,C00847,239,CC1=NC=C(C(=C1O)C(=O)O)CO,2.16,2.45,2.360004883,,2.95,13.03,16.05,,C8H9N1O4,183.0531578,5
5-Aminopentanoic acid,5-Aminopentanoic acid,5-Aminopentanoic acid,HMDB0003355,138,15887,C00431,6902,C(CCN)CC(=O)O,,13.57,13.07153725,,,,,,C5H11N1O2,117.0789786,1
5-Hydroxy-DL-lysine hydrochloride,"2,6-Diamino-5-hydroxyhexanoic acid",5-Hydroxylysine,HMDB0000450,3032849,18040,C16741,5439,C(C[C@@H](C(=O)O)N)[C@H](CN)O,,16.64,16.02876786,,,,,,C6H14N2O3,162.1004423,1
5-Hydroxymethyluracil,5-Hydroxymethyluracil,5-Hydroxymethyluracil,HMDB0000469,78168,16964,C03088,5456,C1=C(C(=O)NC(=O)N1)CO,4.73,7.29,7.022218611,2.68,5.99,2.39,2.1,,C5H6N2O3,142.0378421,4
5-L-Hydroxytryptophan,L-5-Hydroxytryptophan,5-Hydroxy-L-tryptophan,HMDB0000472,144,28171,C01017,,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N,6.13,10.24,9.863857144,,9.71,7.5,8.38,,C11H12N2O3,220.0847923,7
5-Methoxytryptamine,5-Methoxytryptamine,5-Methoxytryptamine,HMDB0004095,1833,2089,C05659,7015,COC1=CC2=C(C=C1)NC=C2CCN,,8.18,7.879526507,2.18,,,,,C11H14N2O1,190.1106131,6
5-Methoxytryptophan,5-Methoxytryptophan,5-Methoxytryptophan,HMDB0002339,151018,74049,,6631,COC1=CC2=C(C=C1)NC=C2C[C@@H](C(=O)O)N,5.7,8.47,8.158874024,3.2,7.65,10.27,12.81,,C12H14N2O3,234.1004423,7
5-methyl-THF,5-Methyl-tetrahydrofolate,5-Methyltetrahydrofolic acid,HMDB0001396,439234,15641,C00440,6215,CN1C(CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@H](CCC(=O)O)C(=O)O,6.33,13.01,12.53210756,,12.61,12.86,15.75,,C20H25N7O6,459.1866316,12
5-Phenylvaleric acid,5-Phenylvaleric acid,5-Phenylvaleric acid,HMDB0002043,16757,40131,,6456,C1=CC=C(C=C1)CCCCC(=O)O,2.08,2.76,2.658617746,1.9,2.87,16.3,19,,C11H14O2,178.0993797,5
5'-Methylthioadenosine,5'-Methylthioadenosine,5'-Methylthioadenosine,HMDB0001173,439176,17509,C00170,3425,CSC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)O,3.08,4.72,4.546621652,,4.15,11.29,14.26,,C11H15N5O3S1,297.0895601,7
6-Dimethylaminopurine,6-Dimethylaminopurine,6-Dimethylaminopurine,HMDB0000473,3134,60281,,5460,CN(C)C1=NC=NC2=C1NC=N2,,4.33,4.170947406,,,,,,C7H9N5,163.0857953,6
7-methylguanosine,7-methylguanosine,7-Methylguanosine,HMDB0001107,445404,20794,,6008,CN1C=[N+](C2=C1C(=O)N=C(N2)N)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,,7.2,6.935524554,,,14.96,,,C11H16N5O5,298.1151437,7
a-ketoglutarate,a-ketoglutarate,Oxoglutaric acid,HMDB0000208,51,30915,C00026,5218,C(CC(=O)O)C(=O)C(=O)O,5.68,11.34,10.92345117,7.99,10.63,12.26,14.95,,C5H6O5,146.0215233,3
acetoacetate,acetoacetate,Acetoacetic acid,HMDB0000060,96,15344,C00164,276,CC(=O)CC(=O)O,4.1,7.02,6.76213644,,6.48,,,,C4H6O3,102.0316941,2
acetoacetyl-CoA,acetoacetyl-CoA,Acetoacetyl-CoA,HMDB0001484,439214,15345,C00332,449,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,6.32,13.04,12.56100558,,,13.69,,,C25H40N7O18P3S1,851.1363377,11
acetyl-CoA,acetyl-CoA,Acetyl-CoA,HMDB0001206,444493,15351,C00024,6082,CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,6.32,13.14,12.65733231,,,13.81,18.32,,C23H38N7O17P3S1,809.125773,10
acetylphosphate,acetylphosphate,Acetylphosphate,HMDB0001494,186,15350,C00227,6278,CC(=O)OP(=O)(O)O,,13.23,12.74402637,,,,,,C2H5O5P1,139.9874598,1
Aconitic acid,Aconitic acid,cis-Aconitic acid,HMDB0000072,643757,32805,C00417,5130,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,6.34,13.51,13.01374121,,,,15.26,,C6H6O6,174.0164379,4
adenine,adenine,Adenine,HMDB0000034,190,16708,C00147,85,C1=NC2=C(N1)C(=NC=N2)N,4.55,7.28,7.012585938,,6.56,6.44,10.66,,C5H5N5,135.0544952,6
