label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,sample
,,1,,281.2485,2.435506,0.8349822,,,,,,,,997471369.5
,,2,,255.2328,2.469723,0.8355767,,,,,,,,460802996.2
,,3,,253.2173,2.482167,0.8365586,,,,,,,,456485942.3
,,4,,88.04032,13.01224,0.8346999,,,,,,,,442850334.9
,,6,,143.1076,4.210028,0.8378199,,,,,,,,285066979.1
,,7,,143.1076,2.820756,0.8292763,,,,,,,,215648854.3
,,8,,283.2639,2.432395,0.8360132,,,,,,,,270004924.7
,,11,,146.0457,13.49813,0.8384101,,,,,,,,260729484.7
,,12,,146.0458,9.980596,0.8350869,,,,,,,,4109411.733
,,13,,282.2518,2.435506,0.8355491,,,,,,,,201067121
,,14,,156.9907,13.89069,0.8369145,,,,,,,,201859215.9
,,15,,121.0294,4.21315,0.8323764,,,,,,,,156952847.9
,,17,,145.0618,11.29366,0.7376307,,,,,,,,248945.0958
,,18,,173.1042,16.77067,0.829713,,,,,,,,156387915.7
,,21,,174.0882,13.64332,0.8375856,,,,,,,,114817229.8
,,25,,115.0764,4.235044,0.8143463,,,,,,,,87077374.07
,,26,,115.0764,3.014406,0.8252019,,,,,,,,23460666.13
,,27,,256.2362,2.469723,0.8362867,,,,,,,,80186596.47
,,28,,254.2206,2.482167,0.8359584,,,,,,,,80835316.2
,,30,,205.1596,2.575922,0.8345011,,,,,,,,68056287.67
,,31,,131.0825,13.64332,0.8376303,,,,,,,,70266231.67
,,32,,131.0825,16.24229,0.798292,,,,,,,,21634473.67
,,33,,131.0825,16.78333,0.7446302,,,,,,,,21766624.33
,,34,,131.0843,9.837134,0.7442983,,,,,,,,67773.1388
,,35,,131.0843,9.288239,0.6846833,,,,,,,,58592.86432
,,36,,284.2674,2.435506,0.8367854,,,,,,,,53037597.27
,,38,,151.061,7.193284,0.7867451,,,,,,,,50219269.53
,,39,,191.0197,14.18221,0.8386546,,,,,,,,46718981.8
,,40,,118.0509,13.00911,0.8302462,,,,,,,,45387839.67
,,42,,239.0596,2.623067,0.8082917,,,,,,,,29598586.47
,,44,,116.0717,11.20984,0.7820243,,,,,,,,40362713.53
,,46,,165.0407,2.563383,0.8226041,,,,,,,,21907988.7
,,47,,165.0407,2.839611,0.8222532,,,,,,,,21907988.7
,,48,,316.1165,13.58019,0.8394997,,,,,,,,35792213
,,51,,87.00869,4.200661,0.8121063,,,,,,,,26281090.6
,,52,,87.00871,3.020784,0.7427849,,,,,,,,3911307.717
,,53,,87.00871,4.948339,0.6391079,,,,,,,,17935941.4
,,54,,158.1296,14.714,0.8198776,,,,,,,,9734.345475
,,55,,133.0141,13.54222,0.7609886,,,,,,,,30109342.33
,,56,,144.1109,4.210028,0.8385479,,,,,,,,25482386.47
,,57,,144.111,2.820756,0.8274257,,,,,,,,19242681.93
,,59,,232.8833,13.84366,0.8425411,,,,,,,,21775906.93
,,60,,194.9369,13.84993,0.839704,,,,,,,,23028154.47
,,61,,313.0785,2.601022,0.819438,,,,,,,,13768800
,,62,,313.0808,14.00181,0.8450252,,,,,,,,202270.7583
,,63,,445.1868,2.779911,0.8395222,,,,,,,,20140996.2
,,64,,401.13,13.88127,0.8400841,,,,,,,,15319036.87
,,65,,401.13,14.82184,0.835844,,,,,,,,4468958.85
,,66,,311.1687,2.083478,0.8365083,,,,,,,,20462762.2
,,67,,102.056,13.50127,0.8372378,,,,,,,,21047881.27
,,68,,102.056,12.16641,0.8163508,,,,,,,,3995459.833
,,71,,306.0765,13.49813,0.8372833,,,,,,,,16393742.13
,,72,,169.1233,2.707733,0.8323851,,,,,,,,18045184.4
,,73,,169.1233,4.159884,0.7092764,,,,,,,,4788433.3
,,74,,128.0353,13.49498,0.8159735,,,,,,,,18185848.93
,,75,,128.0353,10.34394,0.8146651,,,,,,,,2946946.883
,,76,,128.0352,11.14536,0.7763804,,,,,,,,8244980.967
,,77,,325.1842,2.080283,0.8338119,,,,,,,,16713981.73
,,78,,299.2591,2.635606,0.8387125,,,,,,,,17651401.47
,,79,,299.2591,4.18815,0.82047,,,,,,,,4374185.533
,,80,,241.2173,2.479056,0.8339967,,,,,,,,17722214.6
,,81,,283.2561,2.435506,0.8354181,,,,,,,,16726198.2
,,82,,130.0872,9.837139,0.7809633,,,,,,,,17110388.8
,,83,,130.0872,9.31435,0.7147956,,,,,,,,13753790.67
,,84,,89.04362,13.01225,0.8357434,,,,,,,,15957318.87
,,85,,158.9888,13.89069,0.8208902,,,,,,,,15231835.13
,,87,,132.0301,13.58019,0.8297781,,,,,,,,15603469.27
,,88,,132.0301,11.29045,0.836079,,,,,,,,6009722.567
,,89,,147.0489,13.49813,0.8395023,,,,,,,,14891530.33
,,92,,164.0716,8.832923,0.8311775,,,,,,,,14933351.53
,,93,,164.0716,13.39399,0.6585909,,,,,,,,240289.6365
,,95,,241.073,4.235044,0.8326657,,,,,,,,10567246.43
,,96,,241.0722,2.372906,0.7809833,,,,,,,,2337335.642
,,103,,165.0555,4.200655,0.8335534,,,,,,,,12598711.4
,,104,,165.0555,2.852228,0.7914501,,,,,,,,4239262.417
,,107,,349.1841,13.64648,0.8420539,,,,,,,,11993015.73
,,108,,309.2799,2.407483,0.8389786,,,,,,,,11187701
,,109,,248.0799,2.350506,0.8388098,,,,,,,,11306087.87
,,110,,248.0799,3.312423,0.6188153,,,,,,,,385973.2708
,,111,,122.0327,4.210028,0.8326591,,,,,,,,12075885.47
,,112,,122.0328,2.928445,0.8056412,,,,,,,,1456754.362
,,113,,206.163,2.575922,0.8365582,,,,,,,,10400547.87
,,115,,151.0399,2.918917,0.8260319,,,,,,,,13613283.93
,,116,,339.1999,2.070706,0.8089914,,,,,,,,10501425.27
,,117,,269.2486,2.457283,0.8301068,,,,,,,,9678269.067
,,118,,146.0648,13.38768,0.838833,,,,,,,,10827019.2
,,119,,187.0723,11.29367,0.8402743,,,,,,,,10138588.1
,,120,,330.87,13.87186,0.8415878,,,,,,,,10570832.4
,,121,,254.9678,13.89696,0.8405726,,,,,,,,9452519.233
,,122,,181.0717,11.80883,0.841176,,,,,,,,10449496.6
,,123,,174.1075,16.7675,0.8302894,,,,,,,,10534576.87
