"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
1,357.9278,1.51,4.22,"Unknown","Unknown",0.11,"Unknown"
2,120.0368,1.51,4.17,"Unknown","Unknown",-0.05,"Unknown"
3,322.0543,1.52,3.86,"Putative metabolite","C15Cl1H15N2O2S1",-0.07,"Glucose isomerase from streptomyces rubiginosus C17Cl1H17N2O3S1 - C2H2O1 -> C15Cl1H15N2O2S1"
4,120.0054,1.55,4.09,"Unknown","Unknown",0.19,"Unknown"
5,199.0555,1.57,4.1,"Unknown","Unknown",0.05,"Unknown"
6,254.9855,1.6,4.32,"Putative metabolite","C11Cl2H7N1O2",-0.46,"Nitrofen C12Cl2H7N1O3 - C1O1 -> C11Cl2H7N1O2"
7,181.9879,1.6,4.17,"Unknown","Unknown",-0.18,"Unknown"
8,276.0334,1.6,4,"Metabolite","C10Cl1H13N2O3S1",0.51,"Chlorpropamide C10Cl1H13N2O3S1"
9,119.886,1.61,4.45,"Unknown","Unknown",0.19,"Unknown"
10,378.9565,1.62,3.98,"Unknown","Unknown",-0.01,"Unknown"
11,197.9141,1.63,3.91,"Unknown","Unknown",-0.12,"Unknown"
12,120.0109,1.66,4.18,"Unknown","Unknown",-0.38,"Unknown"
13,286.0541,1.67,4.37,"Putative metabolite","C11H15N2O3P1S1",0,"Fenitrothion C9H12N1O5P1S1 - H-1N-1O1 -> C9H13N2O4P1S1 + C2H4 -> C11H17N2O4P1S1 - H2O1 -> C11H15N2O3P1S1"
14,365.8965,1.7,4.33,"Unknown","Unknown",0.08,"Unknown"
15,333.8915,1.71,4.19,"Unknown","Unknown",0.07,"Unknown"
16,352.8678,1.72,3.84,"Unknown","Unknown",-0.06,"Unknown"
17,344.0052,1.73,4.3,"Putative metabolite","C12H13N2O4P1S2",0.68,"1-Methoxyspirobrassinin C12H12N2O2S2 + H1O3P1 -> C12H13N2O5P1S2 - O1 -> C12H13N2O4P1S2"
18,371.8762,1.74,4.45,"Unknown","Unknown",-0.07,"Unknown"
19,310.0906,1.77,4.07,"Putative metabolite","C15Cl1H19N2O1S1",0.2,"Dedimethylchlorpromazine C15Cl1H15N2S1 + H2O1 -> C15Cl1H17N2O1S1 + H2 -> C15Cl1H19N2O1S1"
20,120.0108,1.78,4.15,"Unknown","Unknown",-0.3,"Unknown"
21,361.1196,1.78,4.11,"Putative metabolite","C15H23N1O7S1",-0.21,"2-(4-Methyl-5-thiazolyl)ethyl propionate C9H13N1O2S1 + C6H10O5 -> C15H23N1O7S1"
22,238.0874,1.79,4.3,"Putative metabolite","C12Cl1H15N2O1",-0.46,"Norketamine C12Cl1H14N1O1 + H1N1 -> C12Cl1H15N2O1"
23,79.98128,1.81,4.17,"Unknown","Unknown",0.04,"Unknown"
24,120.037,1.84,4.16,"Unknown","Unknown",-0.31,"Unknown"
25,181.9879,1.89,4.17,"Unknown","Unknown",-0.1,"Unknown"
26,120.1623,1.9,4.35,"Unknown","Unknown",-0.15,"Unknown"
27,230.9692,1.9,4.34,"Putative metabolite","C4H9N1O4S3",0.74,"2-(Methylthio)ethyl glucosinolate C10H19N1O9S3 - C6H10O5 -> C4H9N1O4S3"
28,231.9949,1.9,4.53,"Unknown","Unknown",-0.12,"Unknown"
29,239.0213,1.9,3.92,"Putative metabolite","C5H9N3O6S1",-0.39,"glutathione C10H17N3O6S1 - C5H8 -> C5H9N3O6S1"
