ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
55600,42043,18,5811,4401,0.09354494205843099,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,43,0,0,NA,NA,NA,0,0
50908,37798,40,5229,3819,0.013666850125872518,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,79,0,0,NA,NA,NA,0,0
50908,42409,41,5229,4478,0.23471992821408844,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,83,0,0,NA,NA,NA,0,0
53486,37798,42,5518,3819,0.013666850125872518,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,87,0,0,NA,NA,NA,0,0
53486,42409,43,5518,4478,0.23471992821408844,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,91,0,0,NA,NA,NA,0,0
54623,39124,52,5671,3979,0.08017694190129643,Biotransform,H-1N-1O1,0,0,C3H8N2O2,C3H7N1O3,105,0,0,NA,NA,NA,0,0
54623,60782,53,5671,6306,0.1468165180403872,Biotransform,H-1N-1O1,0,0,C3H8N2O2,C3H7N1O3,109,0,0,NA,NA,NA,0,0
39124,49825,60,3979,5080,-0.788273875222218,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,113,0,0,NA,NA,NA,0,0
60782,49825,61,6306,5080,-0.8542950425580846,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,117,0,0,NA,NA,NA,0,0
54287,23064,70,5621,2282,-0.056201769835457674,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,139,0,0,NA,NA,NA,0,0
54287,42746,71,5621,4533,0.01214942398608703,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,143,0,0,NA,NA,NA,0,0
23064,57687,73,2282,6087,0.20691942649060427,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,147,0,0,NA,NA,NA,0,0
42746,57687,74,4533,6087,0.13913810591481218,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,151,0,0,NA,NA,NA,0,0
56082,52825,81,5877,5446,-0.5629520825826877,Biotransform,H-1N-1O1,0,0,C4H9N1O3,C4H8O4,155,0,0,NA,NA,NA,0,0
47322,51502,91,4971,5326,0.2493837046392054,Biotransform,H-1N-1O1,0,0,C2H7N1O3S1,C2H6O4S1,160,0,0,NA,NA,NA,0,0
47322,7253,92,4971,835,0.31287644904317213,Biotransform,H-1N-1O1,0,0,C2H7N1O3S1,C2H6O4S1,164,0,0,NA,NA,NA,0,0
47322,33961,93,4971,3458,0.31287644904317213,Biotransform,H-1N-1O1,0,0,C2H7N1O3S1,C2H6O4S1,168,0,0,NA,NA,NA,0,0
48414,23088,122,5002,2288,0.8326886586460998,Biotransform,H-1N-1O1,0,0,C4H4N2O3,C4H3N1O4,205,0,0,NA,NA,NA,0,0
48414,33559,123,5002,3423,0.8326886586460998,Biotransform,H-1N-1O1,0,0,C4H4N2O3,C4H3N1O4,207,0,0,NA,NA,NA,0,0
41499,23088,125,4321,2288,0.35984316924934295,Biotransform,H-1N-1O1,0,0,C4H4N2O3,C4H3N1O4,211,0,0,NA,NA,NA,0,0
41499,33559,126,4321,3423,0.35984316924934295,Biotransform,H-1N-1O1,0,0,C4H4N2O3,C4H3N1O4,213,0,0,NA,NA,NA,0,0
24461,31369,127,2480,3005,-0.22924278860775057,Biotransform,H-1N-1O1,0,0,C5H8N2S1,C5H7N1O1S1,215,0,0,NA,NA,NA,0,0
50121,45211,128,5116,4878,0.599972977353802,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,217,0,0,NA,NA,NA,0,0
54997,45211,129,5725,4878,-0.8801597842894697,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,221,0,0,NA,NA,NA,0,0
45211,56491,134,4878,5936,1.24145314226136,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,239,0,0,NA,NA,NA,0,0
45211,86751,135,4878,7260,1.24145314226136,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,243,0,0,NA,NA,NA,0,0
51104,13826,140,5266,1352,0.18008193747352733,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,253,0,0,NA,0.41151300128386586,NA,0.41151300128386586,1
43396,13826,141,4662,1352,0.06475322660613239,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,257,0,0,NA,NA,NA,0,0
43827,13826,142,4741,1352,0.06475322660613239,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,261,0,0,NA,NA,NA,0,0
54256,13826,143,5617,1352,-0.05826406473809659,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,265,0,0,NA,0.24296646300391062,NA,0.24296646300391062,1
42742,56451,170,4532,5931,0.2985559896643868,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,302,0,0,NA,NA,NA,0,0
55663,56451,173,5820,5931,0.17738263892256897,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,314,0,0,NA,NA,NA,0,0
56189,50549,174,5896,5181,0.06377721291964443,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,318,0,0,NA,NA,NA,0,0
56189,54319,175,5896,5625,0.41212090599179757,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,322,0,0,NA,NA,NA,0,0
56189,60385,176,5896,6285,0.6393014447229114,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,326,0,0,NA,NA,NA,0,0
42927,23650,179,4570,2372,0.06376507058899107,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,338,0,0,NA,NA,NA,0,0
42927,18088,180,4570,1867,0.18490505388340123,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,342,0,0,NA,NA,NA,0,0
43246,23650,181,4635,2372,-0.05737493532000625,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,346,0,0,NA,NA,NA,0,0
43246,18088,182,4635,1867,0.06376506264930314,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,350,0,0,NA,NA,NA,0,0
50549,43904,187,5181,4757,0.17605565851924737,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,358,0,0,NA,NA,NA,0,0
50549,40651,188,5181,4198,0.521822718193657,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,362,0,0,NA,NA,NA,0,0
50549,65559,189,5181,6583,0.6345727945157968,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,366,0,0,NA,NA,NA,0,0
54319,43904,191,5625,4757,-0.16971158137072645,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,374,0,0,NA,NA,NA,0,0
