ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_MS2,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,Input_id,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,Unknown,357.9278394523306,0,Unknown,1,Unknown,,0,0,1,Unknown,0,-0,NA,NA,0,0,NA,0,0,1,4.221210220417726,357.9278394523306,1.509,-0.5,-0.5,1,Unknown
2,2,Unknown,120.03679445233057,0,Unknown,2,Unknown,,0,0,2,Unknown,0,-0,NA,NA,0,0,NA,0,0,2,4.165273781310138,120.03679445233057,1.509,-0.5,-0.5,1,Unknown
5,3,C15Cl1H15N2O2S1,322.05427621999996,9,Metabolite,1282,C15Cl1H13N2O1S1,H2O1,1,2,62,Putative metabolite,0,-0.0438316344786024,0,NA,0,0,NA,0,-0.0438316344786024,3,3.8565929613631598,322.0543044523306,1.518,0,-0.0438316344786024,1,Glucose isomerase from streptomyces rubiginosus C17Cl1H17N2O3S1 - C2H2O1 -> C15Cl1H15N2O2S1
14,4,Unknown,120.00542245233058,0,Unknown,4,Unknown,,0,0,71,Unknown,0,-0,NA,NA,0,0,NA,0,0,7,4.093796258311387,120.00542245233058,1.551,-0.5,-0.5,1,Unknown
17,5,Unknown,199.05550945233057,0,Unknown,5,Unknown,,0,0,94,Unknown,0,-0,NA,NA,0,0,NA,0,0,10,4.101301132126707,199.05550945233057,1.573,-0.5,-0.5,1,Unknown
19,6,C11Cl2H7N1O2,254.985383932,8,Metabolite,7890,C13Cl2H11N1O2,C2H4,-1,2,99,Putative metabolite,0,-0.2324061260809534,0,NA,0,0,NA,0,-0.2324061260809534,12,4.316614932511987,254.98550245233056,1.599,0,-0.2324061260809534,1,Nitrofen C12Cl2H7N1O3 - C1O1 -> C11Cl2H7N1O2
21,7,Unknown,181.98786745233056,0,Unknown,7,Unknown,,0,0,100,Unknown,0,-0,NA,NA,0,0,NA,0,0,13,4.1749957107806175,181.98786745233056,1.602,-0.5,-0.5,1,Unknown
25,8,C10Cl1H13N2O3S1,276.0335407,5,Metabolite,17211,C10Cl1H13N2O3S1,,1,0,118,Metabolite,0.5,-0.25585236684370616,NA,NA,0,0,NA,0,0.24414763315629384,14,4.001674110042841,276.03339945233057,1.605,0.1,0.3441476331562938,1,Chlorpropamide C10Cl1H13N2O3S1
35,9,Unknown,119.88602245233058,0,Unknown,9,Unknown,,0,0,152,Unknown,0,-0,NA,NA,0,0,NA,0,0,15,4.451957201184441,119.88602245233058,1.612,-0.5,-0.5,1,Unknown
36,10,Unknown,378.9564954523306,0,Unknown,10,Unknown,,0,0,153,Unknown,0,-0,NA,NA,0,0,NA,0,0,17,3.9771331698808554,378.9564954523306,1.622,-0.5,-0.5,1,Unknown
