label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,6891,,70.029381,11.253,0.829696,,,,,,,,8666.701888020838
,,4754,,70.945648,6.737,0.772449,,,,,,,,395997.1125000002
,,7195,,71.013428,11.911,0.772271,,,,,,,,4414488.033333337
,,8283,,71.013428,13.47,0.765693,,,,,,,,601048.3875000004
,,7720,,71.013435,12.993,0.834232,,,,,,,,750393.0249999994
,,7198,,71.032463,11.911,0.772277,,,,,,,,32338.89869791667
,,7263,,72.0168,11.933,0.772299,,,,,,,,155777.24895833342
,,7706,,72.016808,12.984,0.80566,,,,,,,,25601.208398437528
,,4745,,72.942734,6.705,0.772449,,,,,,,,328320.21041666664
,,8962,,72.969345,13.712,0.772208,,,,,,,,33691.584375000006
,,8453,,72.992104,13.495,0.789566,,,,,,,,10862.564648437503
,,7956,,73.009277,13.284,0.82183,,,,,,,,26729.721061197914
,,4675,,73.0177,6.41,0.783434,,,,,,,,5909.3566406249975
,,7257,,73.017708,11.93,0.772799,,,,,,,,19769.661295572936
,,7964,,73.029114,13.29,0.840294,,,,,,,,3692466.749999997
,,7971,,73.04895,13.29,0.834348,,,,,,,,25937.590169270854
,,4246,,73.550041,4.413,0.801711,,,,,,,,5110.720996093752
,,7943,,74.00415,13.274,0.813481,,,,,,,,32245.97242838544
,,5555,,74.024376,7.473,0.76919,,,,,,,,26172.01510416665
,,7929,,74.024376,13.264,0.772479,,,,,,,,4749370.299999999
,,7965,,74.032471,13.29,0.833302,,,,,,,,119386.85052083338
,,7936,,74.044631999999993,13.271,0.811202,,,,,,,,33840.07734375001
,,5351,,74.961548,7.141,0.735377,,,,,,,,163943.81145833342
,,1480,,74.989204,2.564,0.805634,,,,,,,,19417.58789062501
,,1496,,74.990425,2.568,0.771607,,,,,,,,177440.58177083332
,,7937,,75.021446,13.271,0.831079,,,,,,,,15380.112695312497
,,7930,,75.02774,13.264,0.779012,,,,,,,,103609.17395833321
,,7985,,75.033394,13.3,0.76481,,,,,,,,11203.350000000004
,,1724,,75.961876,2.619,0.775157,,,,,,,,24609.003385416694
,,7945,,76.028656,13.274,0.82985,,,,,,,,18752.391601562493
,,5376,,76.958641,7.157,0.767569,,,,,,,,56119.85507812496
,,3166,,78.918579,3.563,0.772418,,,,,,,,1050888.3999999994
,,9409,,78.956779,13.957,0.769649,,,,,,,,31059.782682291672
,,2859,,78.956993,3.113,0.831029,,,,,,,,16406.529589843747
,,743,,78.957016,2.217,0.802539,,,,,,,,24554.153059895827
,,9070,,78.95768,13.766,0.796621,,,,,,,,27622.29973958333
,,9998,,78.958771,14.229,0.772078,,,,,,,,783648.0041666661
,,56,,78.974007,1.808,0.777795,,,,,,,,14898.91764322916
,,6757,,79.934364,11.174,0.79561,,,,,,,,12397.715885416657
,,6100,,79.939354,8.945,0.788991,,,,,,,,5866.923990885415
,,444,,79.955101,2.087,0.788696,,,,,,,,22198.25817057291
,,5295,,79.955132,7.116,0.783293,,,,,,,,27706.59222005207
,,460,,79.955902,2.093,0.772007,,,,,,,,41788.008789062544
,,5269,,79.956459,7.113,0.772323,,,,,,,,172805.69505208335
,,1495,,79.957085,2.567,0.810206,,,,,,,,33808.4138454861
,,6760,,79.957092,11.177,0.772184,,,,,,,,3309999.233333332
,,8614,,80.001335,13.668,0.802676,,,,,,,,11125.10504557292
,,9774,,80.011505,14.172,0.772325,,,,,,,,121001.44374999996
,,3158,,80.89341,3.544,0.811384,,,,,,,,4943.609798177082
,,3164,,80.916573,3.56,0.77241,,,,,,,,1168895.1208333322
,,6648,,80.95649,11.13,0.779472,,,,,,,,23718.834375000006
,,5355,,80.964104,7.141,0.793415,,,,,,,,7209.0650390625
,,6784,,80.964928,11.183,0.769768,,,,,,,,77585.18281249993
,,7206,,81.03434,11.914,0.772318,,,,,,,,22544.950325520855
,,6752,,81.952919,11.174,0.771956,,,,,,,,251965.74166666664
,,6669,,81.961342,11.145,0.784596,,,,,,,,22011.241601562506
,,9869,,82.002892,14.182,0.785362,,,,,,,,11654.925846354177
,,8128,,82.029602,13.361,0.73584,,,,,,,,32978.58229166665
,,3808,,83.013634,4.198,0.805355,,,,,,,,73409.52500000001
,,5504,,83.013634,7.385,0.772367,,,,,,,,62370.13906250003
,,7234,,83.013664,11.924,0.772372,,,,,,,,134844.07864583345
,,8023,,84.045296,13.338,0.797555,,,,,,,,69088.50130208336
,,230,,84.990501,2.014,0.698016,,,,,,,,70615.09661458332
,,9716,,84.990532,14.166,0.768897,,,,,,,,202501.28020833348
,,6476,,86.996498,10.637,0.640812,,,,,,,,14564.131705729156
,,7186,,87.008629,11.908,0.772195,,,,,,,,873614.3666666674
,,7653,,87.932594,12.948,0.823456,,,,,,,,5125.976806640625
,,7695,,87.952332,12.974,0.818451,,,,,,,,9289.85130208333
,,6800,,88.003876,11.199,0.770894,,,,,,,,283809.1593750002
,,7295,,88.012001,11.965,0.721853,,,,,,,,30267.135156250013
,,7671,,88.014008,12.958,0.773097,,,,,,,,77992.73632812501
,,7678,,88.028252,12.958,0.830571,,,,,,,,5234.643912760415
,,7670,,88.03196,12.954,0.828566,,,,,,,,6487.448714192708
,,6923,,88.04026,11.269,0.767833,,,,,,,,101602.72552083325
,,7646,,88.040291,12.948,0.774437,,,,,,,,12860124.466666661
,,7679,,88.052216,12.961,0.806022,,,,,,,,5147.325651041667
,,7643,,88.066551,12.945,0.772033,,,,,,,,80710.52135416659
,,7688,,88.128113,12.967,0.819052,,,,,,,,10986.1375
,,6028,,88.856422,8.85,0.779226,,,,,,,,5232.193359375003
,,5968,,88.914787,8.758,0.771546,,,,,,,,17072.477929687502
,,3105,,88.987923,3.199,0.763944,,,,,,,,27319.703255208347
,,5389,,88.987938,7.166,0.766339,,,,,,,,42924.537760416686
,,8488,,88.987938,13.539,0.782552,,,,,,,,371043.477083333
,,9348,,88.987938,13.941,0.771954,,,,,,,,374699.0868055555
,,5990,,89.008484,8.784,0.7966,,,,,,,,6052.0859212239575
,,6080,,89.012154,8.912,0.772427,,,,,,,,17761.03658854167
,,5966,,89.015678,8.751,0.731224,,,,,,,,24625.808984375017
,,5991,,89.024315,8.787,0.77245,,,,,,,,25828486.6
,,7219,,89.024315,11.921,0.772039,,,,,,,,9528377.400000008
