"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
1,176.0507,1.5,3.48,"Metabolite","C7H12O3S1",0.09,"Methylthio 2-(propanoyloxy)propanoate C7H12O3S1"
2,297.1247,1.52,3.54,"Putative metabolite","C11H23N1O6S1",-0.31,"Arachidyl carnitine C27H53N1O4 - C16H30O1 -> C11H23N1O3 + O3S1 -> C11H23N1O6S1"
3,409.1695,1.53,3.59,"Putative metabolite","C15H27N3O10",0.35,"L-Threonine C4H9N1O3 + C11H17N1O8 -> C15H26N2O11 - H-1N-1O1 -> C15H27N3O10"
4,216.082,1.54,3.62,"Putative metabolite","C10H16O3S1",0.07,"D-Limonene C10H16 + O3S1 -> C10H16O3S1"
5,382.0549,1.57,3.9,"Unknown","Unknown",-0.03,"Unknown"
6,465.186,1.57,3.65,"Putative metabolite","C20H27N5O8",-0.08,"Pipemidic acid C14H17N5O3 + C6H10O5 -> C20H27N5O8"
7,370.106,1.58,3.8,"Putative metabolite","C21H22O2S2",0.33,"Sulforidazine C21H26N2O2S2 - H3N1 -> C21H23N1O2S2 - H1N1 -> C21H22O2S2"
8,358.0697,1.58,3.58,"Putative metabolite","C19H18O3S2",0.1,"Tazarotenic acid C19H17N1O2S1 + H2S1 -> C19H19N1O2S2 + H-1N-1O1 -> C19H18O3S2"
9,362.9416,1.58,3.58,"Unknown","Unknown",0.02,"Unknown"
10,215.0794,1.58,3.5,"Putative metabolite","C9H13N1O5",-0.13,"N-Acetyl-L-glutamate 5-semialdehyde C7H11N1O4 + C2H2O1 -> C9H13N1O5"
11,233.0389,1.6,3.79,"Unknown","Unknown",0.18,"Unknown"
12,239.9909,1.61,3.33,"Unknown","Unknown",0.16,"Unknown"
13,478.1417,1.63,3.63,"Putative metabolite","C23H30N2O3S3",0.32,"Thiothixene C23H29N3O2S2 + H-1N-1O1 -> C23H28N2O3S2 + H2S1 -> C23H30N2O3S3"
14,434.1043,1.65,3.52,"Putative metabolite","C14H22N6O6S2",-0.18,"S-adenosyl-L-homoCysteine C14H20N6O5S1 + S1 -> C14H20N6O5S2 + H2O1 -> C14H22N6O6S2"
15,478.0429,1.65,3.6,"Putative metabolite","C17H20O12P2",0.21,"2-Methyl-1,4-naphthalenediol bis(dihydrogen phosphate) C11H12O8P2 + C6H10O5 -> C17H22O13P2 - H2O1 -> C17H20O12P2"
16,349.0664,1.67,3.79,"Putative metabolite","C9H14N6O7P1",-0.69,"7-methylguanosine C11H16N5O5 - C2H4 -> C9H12N5O5 + H1O3P1 -> C9H13N5O8P1 - H-1N-1O1 -> C9H14N6O7P1"
17,190.0299,1.72,3.64,"Putative metabolite","C7H10O4S1",0.42,"N-Acetyl-L-methionine C7H13N1O3S1 - H3N1O-1 -> C7H10O4S1"
18,367.13,1.75,3.81,"Putative metabolite","C13H25N1O9Si1",-0.39,"Propanoic acid, 2-(methoxyimino)-, trimethylsilyl ester C7H15N1O3Si1 + O1 -> C7H15N1O4Si1 + C6H10O5 -> C13H25N1O9Si1"
19,374.0914,1.78,3.7,"Putative metabolite","C11H23N2O8P1S1",-0.34,"Dephospho-CoA C21H35N7O13P2S1 + O1 -> C21H35N7O14P2S1 - C10H12N5O6P1 -> C11H23N2O8P1S1"
20,398.1011,1.79,3.63,"Putative metabolite","C14Cl1H24N2O7P1",-0.34,"Carboxybupranolol, 4-chloro-3-[3-(1,1-dimethylethylamino)-2-hydroxy-propyloxy]benzoic acid C14Cl1H20N1O4 + H1O3P1 -> C14Cl1H21N1O7P1 + H3N1 -> C14Cl1H24N2O7P1"
21,200.9911,1.81,3.41,"Putative metabolite","C6H3N1O7",-0.74,"2-{[hydroxy(6-hydroxy-7-methoxy-2H-1,3-benzodioxol-5-yl)methylidene]amino}acetic acid C11H11N1O7 - C5H8 -> C6H3N1O7"
22,327.114,1.82,3.58,"Metabolite","C18Cl1H18N3O1",-0.49,"Loxapine C18Cl1H18N3O1"
23,312.0642,1.82,3.88,"Artifact","B1C11F3H8N4O3",-0.14,"Peak 65 C11F3H11N4O3 + B1H-3 -> B1C11F3H8N4O3"
24,498.0617,1.92,3.85,"Artifact","C24H18O10S1",0.74,"Peak 36 C23H16O8S1 + C1H2O2 -> C24H18O10S1"
25,346.2873,1.93,4,"Metabolite","C23H38O2",-0.35,"3-Hydroxy-1-phenyl-1-heptadecanone C23H38O2"
26,435.0296,1.94,4.83,"Putative metabolite","C15H17N1O10S2",-0.49,"2-(3,4-dihydroxyphenyl)-3-hydroxy-5-sulfino-3,4-dihydro-2H-1-benzopyran-7-olate C15H14O7S1 + H3N1 -> C15H17N1O7S1 + O3S1 -> C15H17N1O10S2"
27,534.9947,1.94,4.35,"Unknown","Unknown",-0.04,"Unknown"
28,558.2648,1.94,4.14,"Artifact","C29Cr1H46O7",0.11,"(3beta,5alpha,9alpha,22E,24R)-3,5,9-Trihydroxy-23-methylergosta-7,22-dien-6-one C29H46O4 + Cr1O3 -> C29Cr1H46O7"
29,444.2548,1.95,4.07,"Artifact","C23H40O6S1",-0.54,"3-Hydroxy-1-phenyl-1-heptadecanone C23H38O2 + H2O4S1 -> C23H40O6S1"
30,453.0598,1.95,4.02,"Artifact","[13]C1C22H16O8S1",0.32,"Peak 36 C23H16O8S1 + [13]C1C-1 -> [13]C1C22H16O8S1"
31,533.991,1.96,5.49,"Unknown","Unknown",-0.09,"Unknown"
32,334.0036,1.96,5.17,"Unknown","Unknown",-0.13,"Unknown"
33,616.0438,1.96,4.47,"Unknown","Unknown",0.02,"Unknown"
34,535.9868,1.96,4.03,"Artifact","C15Cr1H20N2O12S2",-0.98,"Peak 42 C15H20N2O9S2 + Cr1O3 -> C15Cr1H20N2O12S2"
35,419.0346,1.96,5.04,"Artifact","C15H17N1O9S2",-0.3,"Peak 47 C16H19N1O10S2 - C1H2O1 -> C15H17N1O9S2"
36,452.056,1.96,4.7,"Putative metabolite","C23H16O8S1",1.3,"Pamoic acid C23H16O5 + O3S1 -> C23H16O8S1"
37,690.1418,1.96,3.85,"Unknown","Unknown",0.05,"Unknown"
38,436.0331,1.96,4,"Putative metabolite","C8H18N6O9P2S1",0.05,"Adenosine 3',5'-diphosphate C10H15N5O10P2 + H3N1 -> C10H18N6O10P2 + H2S1 -> C10H20N6O10P2S1 - C2H2O1 -> C8H18N6O9P2S1"
39,421.0305,1.97,3.91,"Artifact","[34]S1C15H17N1O9S1",-0.55,"Peak 47 C16H19N1O10S2 - C1H2O1 -> C15H17N1O9S2 + [34]S1S-1 -> [34]S1C15H17N1O9S1"
40,734.1682,1.97,3.85,"Putative metabolite","C29Cl1F1H38N4O11P2",0.39,"Reduced haloperidol C21Cl1F1H25N1O2 + C9H13N3O10P2 -> C30Cl1F1H38N4O12P2 - C1O1 -> C29Cl1F1H38N4O11P2"
41,420.038,1.98,4.23,"Artifact","[13]C1C14H17N1O9S2",-0.41,"Peak 47 C16H19N1O10S2 - C1H2O1 -> C15H17N1O9S2 + [13]C1C-1 -> [13]C1C14H17N1O9S2"
42,436.0612,1.98,4.72,"Artifact","C15H20N2O9S2",-0.41,"Peak 47 C16H19N1O10S2 - C1H2O1 -> C15H17N1O9S2 + H3N1 -> C15H20N2O9S2"
43,335.0911,1.98,3.82,"Artifact","[13]C1C16H18O5S1",-0.75,"Peak 88 C18H18O7S1 - C1O2 -> C17H18O5S1 + [13]C1C-1 -> [13]C1C16H18O5S1"
44,582.4182,1.99,5.24,"Putative metabolite","C31H58N4O4S1",-0.55,"Timolol C13H24N4O3S1 + C16H30O1 -> C29H54N4O4S1 + C2H4 -> C31H58N4O4S1"
45,543.2623,1.99,3.98,"Artifact","C26H48N1Ni1O5P1",0.1,"Peak 337 C26H50N1O5P1 + H-2Ni1 -> C26H48N1Ni1O5P1"
46,492.0876,1.99,4.6,"Putative metabolite","C15H25O16P1",0.86,"2-O-(6-Phospho-alpha-mannosyl)-D-glycerate C9H17O12P1 - H2O1 -> C9H15O11P1 + C6H10O5 -> C15H25O16P1"
47,449.0452,1.99,4.42,"Putative metabolite","C16H19N1O10S2",-0.36,"4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside C16H19N1O6S1 + O1 -> C16H19N1O7S1 + O3S1 -> C16H19N1O10S2"
48,351.1142,1.99,4.13,"Artifact","C17H21N1O5S1",-0.45,"Peak 88 C18H18O7S1 - C1O2 -> C17H18O5S1 + H3N1 -> C17H21N1O5S1"
49,437.0646,1.99,3.94,"Artifact","[13]C1C14H20N2O9S2",-0.51,"Peak 42 C15H20N2O9S2 + [13]C1C-1 -> [13]C1C14H20N2O9S2"
50,384.0515,1.99,3.55,"Artifact","Ring_artifact_C25H36O3",0.08,"Persicaxanthin C25H36O3 + Ring_artifact -> Ring_artifact_C25H36O3"
51,431.0711,1.99,3.72,"Artifact","C16H21N1O9S1Si1",-1.09,"4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside C16H19N1O6S1 + H2O3Si1 -> C16H21N1O9S1Si1"
52,583.4228,1.99,4.81,"Unknown","Unknown",-0.04,"Unknown"
53,334.0877,1.99,4.6,"Artifact","C17H18O5S1",-0.62,"Peak 88 C18H18O7S1 - C1O2 -> C17H18O5S1"
54,551.3023,1.99,4.08,"Unknown","Unknown",-0.01,"Unknown"
55,315.0375,2,4.23,"Putative metabolite","C7H13N3O9S1",-0.79,"N5-Acetyl-N2-gamma-L-glutamyl-L-ornithine C12H21N3O6 + O3S1 -> C12H21N3O9S1 - C5H8 -> C7H13N3O9S1"
56,490.1551,2,4.02,"Putative metabolite","C18H26N4O12",-0.77,"(S)-Isowillardiine C7H9N3O4 + C11H17N1O8 -> C18H26N4O12"
57,493.0911,2,3.89,"Artifact","[13]C1C14H25O16P1",0.56,"Peak 46 C15H25O16P1 + [13]C1C-1 -> [13]C1C14H25O16P1"
58,381.9818,2,3.87,"Putative metabolite","C15H10O8S2",-0.24,"Apigenin 7-sulfate C15H10O8S1 + S1 -> C15H10O8S2"
59,513.3818,2,3.8,"Artifact","C32H51N1O4",0.02,"22-Acetylpriverogenin B C32H52O5 + C1H1N1 -> C33H53N1O5 - C1H2O1 -> C32H51N1O4"
60,794.4353,2,4.46,"Unknown","Unknown",-0.01,"Unknown"
61,329.0533,2,3.74,"Putative metabolite","C16H11N1O7",0.76,"Blighinone C16H10O8 - H-1N-1O1 -> C16H11N1O7"
62,541.4134,2.01,4.16,"Putative metabolite","C34H55N1O4",-0.54,"Vecuronium C34H56N2O4 - H1N1 -> C34H55N1O4"
63,439.2601,2.01,4.86,"Artifact","C26H35N2O4",-0.95,"O-Desmethylverapamil (D-702) C26H36N2O4 - H1 -> C26H35N2O4"
64,448.0976,2.01,4.18,"Artifact","C16H24N2O9S1Si1",-0.94,"4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside C16H19N1O6S1 + H2O3Si1 -> C16H21N1O9S1Si1 + H3N1 -> C16H24N2O9S1Si1"
65,304.0769,2.01,4.08,"Metabolite","C16H16O4S1",0.1,"[4-(2-phenylcyclobutyl)phenyl]oxidanesulfonic acid C16H16O4S1"
66,368.3444,2.01,5.3,"Putative metabolite","C27H44",-0.27,"7-Dehydrocholesterol C27H44O1 - O1 -> C27H44"
67,317.0331,2.01,3.9,"Artifact","C11Cl1H13N3O4P1",0.38,"Peak 206 C11Cl1H10N3 + H3O4P1 -> C11Cl1H13N3O4P1"
68,353.0933,2.02,4.97,"Metabolite","C16H19N1O6S1",0.02,"4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside C16H19N1O6S1"
69,318.1363,2.02,4.78,"Putative metabolite","C12H22N4O4S1",-0.39,"Dephospho-CoA C21H35N7O13P2S1 - C9H13N3O10P2 -> C12H22N4O3S1 + O1 -> C12H22N4O4S1"
70,370.1198,2.02,4.25,"Artifact","C16H22N2O6S1",0.15,"4-Hydroxybenzyl isothiocyanate 4''-acetylrhamnoside C16H19N1O6S1 + H3N1 -> C16H22N2O6S1"
71,735.4707,2.02,4.07,"Artifact","C44H65N1O8",0.43,"Persicaxanthin C25H36O3 + Peak 442 -> C44H65N1O8"
72,376.2363,2.02,4.07,"Putative metabolite","C21H32N2O4",-0.25,"8-Hydroxycarteolol C16H24N2O4 + C5H8 -> C21H32N2O4"
73,397.1094,2.02,3.98,"Putative metabolite","C20H19N3O4S1",0.57,"N-Caffeoyltryptophan C20H18N2O5 - H-1N-1O1 -> C20H19N3O4 + S1 -> C20H19N3O4S1"
74,363.2409,2.02,4.16,"Putative metabolite","C21H33N1O4",0.16,"Cortisol C21H30O5 + H3N1O-1 -> C21H33N1O4"
75,204.9916,2.02,4.03,"Unknown","Unknown",-0.1,"Unknown"
76,700.5425,2.02,5.04,"Putative metabolite","C47H72O4",0.8,"TG(20:5(5Z,8Z,11Z,14Z,17Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)/o-18:0) C63H102O5 - C16H30O1 -> C47H72O4"
77,264.1363,2.02,4.21,"Metabolite","C15H20O4",-0.53,"gamma-CEHC C15H20O4"
78,701.5457,2.02,4.67,"Unknown","Unknown",0,"Unknown"
79,270.0529,2.02,4.77,"Metabolite","C15H10O5",-0.28,"Emodin C15H10O5"
80,641.4802,2.02,4.48,"Putative metabolite","C43H63N1O3",0.93,"FAHFA(22:6(4Z,7Z,10Z,13Z,16Z,19Z)/14-O-22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C44H62O4 + H2S1 -> C44H64O4S1 - C1H2 -> C43H62O4S1 - H-1N-1O1 -> C43H63N1O3S1 - S1 -> C43H63N1O3"
81,483.3386,2.02,4.33,"Putative metabolite","C27H49N1O4S1",-0.77,"Porrigenin A C27H44O5 + H3N1O-1 -> C27H47N1O4 + H2S1 -> C27H49N1O4S1"
82,736.3821,2.02,4.1,"Putative metabolite","C42H56O11",0.22,"3-Hydroxysintaxanthin C31H42O2 + C11H17N1O8 -> C42H59N1O10 - H3N1O-1 -> C42H56O11"
83,558.4114,2.02,4.09,"Artifact","[13]C1C33H55N1O5",-0.04,"22-Acetylpriverogenin B C32H52O5 + C2H3N1 -> C34H55N1O5 + [13]C1C-1 -> [13]C1C33H55N1O5"
84,413.1341,2.02,3.81,"Artifact","[13]C1C17H24N2O7S1",-0.78,"Peak 90 C18H24N2O7S1 + [13]C1C-1 -> [13]C1C17H24N2O7S1"
85,438.1574,2.03,5.38,"Putative metabolite","C19H26N4O6S1",-0.22,"riboflavin C17H20N4O6 + C2H4 -> C19H24N4O6 + H2S1 -> C19H26N4O6S1"
