ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
188165,188128,36,11980,11967,-0.3354368026430701,Biotransform,H-1N-1O1,0,0,C4H5N3O1,C4H4N2O2,75,0,0,NA,NA,NA,0,0
188165,188154,37,11980,11975,-0.13012924334995604,Biotransform,H-1N-1O1,0,0,C4H5N3O1,C4H4N2O2,79,0,0,NA,NA,NA,0,0
189072,188133,40,12125,11969,0.07515385896307594,Biotransform,H-1N-1O1,0,0,C5H9N3,C5H8N2O1,91,0,0,NA,NA,NA,0,0
188320,188031,47,12018,11949,-0.3238167795255802,Biotransform,H-1N-1O1,0,0,C5H9N1O2,C5H8O3,108,0,0,NA,NA,NA,0,0
188602,188350,49,12063,12023,-0.5219614717730154,Biotransform,H-1N-1O1,0,0,C4H9N3O1,C4H8N2O2,116,0,0,NA,NA,NA,0,0
77286,110596,74,4176,7575,-1.6310184545118247,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,136,0,0,NA,NA,NA,0,0
77286,96211,75,4176,6528,0.5507803174135146,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,140,0,0,NA,NA,NA,0,0
93766,110596,77,6118,7575,-1.9959740864403028,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,148,0,0,NA,NA,NA,0,0
93766,96211,78,6118,6528,0.1858254817434874,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,152,0,0,NA,NA,NA,0,0
186182,92593,83,11615,5887,-0.06010498832526973,Biotransform,H-1N-1O1,0,0,C6H11N3,C6H10N2O1,172,0,0,NA,NA,NA,0,0
79566,121049,89,4507,8692,0.7841876096878762,Biotransform,H-1N-1O1,0,0,C5H9N3O1,C5H8N2O2,182,0,0,NA,NA,NA,0,0
79566,124440,90,4507,9089,0.9013213406836602,Biotransform,H-1N-1O1,0,0,C5H9N3O1,C5H8N2O2,184,0,0,NA,NA,NA,0,0
97510,121049,95,6731,8692,0.06576674497138395,Biotransform,H-1N-1O1,0,0,C5H9N3O1,C5H8N2O2,194,0,0,NA,NA,NA,0,0
97510,124440,96,6731,9089,0.18290056011855027,Biotransform,H-1N-1O1,0,0,C5H9N3O1,C5H8N2O2,196,0,0,NA,NA,NA,0,0
75676,121088,114,3970,8698,0.18008201626230516,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,238,0,0,NA,NA,NA,0,0
75676,72411,115,3970,3691,0.6490853407634453,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,242,0,0,NA,NA,NA,0,0
119589,121088,116,8508,8698,-0.9885827638008552,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,246,0,0,NA,NA,NA,0,0
119589,72411,117,8508,3691,-0.5195788911919493,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,250,0,0,NA,NA,NA,0,0
187040,121088,118,11847,8698,-1.1116001089671508,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,254,0,0,NA,NA,NA,0,0
187040,72411,119,11847,3691,-0.6425961786626907,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,258,0,0,NA,NA,NA,0,0
111539,121088,120,7719,8698,-1.2269288700742107,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,262,0,0,NA,NA,NA,0,0
111539,72411,121,7719,3691,-0.7579248856801684,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,266,0,0,NA,NA,NA,0,0
111569,118446,143,7726,8358,0.29316709035101685,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,282,0,0,NA,NA,NA,0,0
75398,124044,147,3939,9047,0.06424368775560153,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,298,0,0,NA,NA,NA,0,0
75398,97170,148,3939,6682,0.8728194363530423,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,302,0,0,NA,0.30514724181089364,NA,0.30514724181089364,1
75398,98077,149,3939,6820,0.8728194363530423,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,306,0,0,NA,0.30513075152190366,NA,0.30513075152190366,1
118446,79408,151,8358,4477,-0.8601639554365751,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,312,0,0,NA,NA,NA,0,0
123397,127173,153,8945,9289,-0.16340346963615654,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,320,0,0,NA,NA,NA,0,0
123397,119281,154,8945,8468,-0.04981313852696364,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,324,0,0,NA,NA,NA,0,0
95526,1237,155,6410,145,-0.17097086391980398,Biotransform,H-1N-1O1,0,0,C9H9N1,C9H8O1,328,0,0,NA,NA,NA,0,0
124044,76425,160,9047,4046,0.17733375868046683,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,334,0,0,NA,NA,NA,0,0
97170,76425,161,6682,4046,-0.6252184753717753,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,338,0,0,NA,NA,NA,0,0
98077,76425,162,6820,4046,-0.6252184753717753,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,342,0,0,NA,NA,NA,0,0
127173,131800,166,9289,9546,0.4090724160732983,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,350,0,0,NA,0.5501199359711226,NA,0.5501199359711226,1
119281,131800,167,8468,9546,0.2963223106590859,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,354,0,0,NA,NA,NA,0,0
99510,6311,168,7176,493,-0.0494390207073905,Biotransform,H-1N-1O1,0,0,C8H8N2,C8H7N1O1,358,0,0,NA,NA,NA,0,0
186617,75322,170,11708,3930,-0.9737301939687031,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,366,0,0,NA,NA,NA,0,0
186617,114017,172,11708,7989,0.06328811367669163,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,374,0,0,NA,NA,NA,0,0
6311,97439,177,493,6717,-0.16844628911574547,Biotransform,H-1N-1O1,0,0,C8H7N1O1,C8H6O2,382,0,0,NA,NA,NA,0,0
78886,81597,183,4394,4933,-0.38649335725540723,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,390,0,0,NA,NA,NA,0,0
78886,93330,184,4394,6028,0.06190888962282989,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,394,0,0,NA,NA,NA,0,0
78886,95315,186,4394,6377,0.17952252729468976,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,402,0,0,NA,NA,NA,0,0
92654,81597,187,5901,4933,-0.6143699231511108,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,406,0,0,NA,NA,NA,0,0
92654,93330,188,5901,6028,-0.16596757409254898,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,410,0,0,NA,0.3359704101108195,NA,0.3359704101108195,1
92654,95315,190,5901,6377,-0.04835390961930761,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,418,0,0,NA,NA,NA,0,0
68039,110957,200,3189,7619,0.7327520846799568,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,432,0,0,NA,NA,NA,0,0
68039,95857,201,3189,6458,1.2873027483944188,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,436,0,0,NA,NA,NA,0,0
68039,99491,202,3189,7170,1.2873027483944188,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,440,0,0,NA,NA,NA,0,0
126140,110957,204,9207,7619,-0.38364739913339024,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,448,0,0,NA,0.41757179387921917,NA,0.41757179387921917,1
126140,95857,205,9207,6458,0.17090388368159998,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,452,0,0,NA,0.3444814197852143,NA,0.3444814197852143,1
126140,99491,206,9207,7170,0.17090388368159998,Biotransform,H-1N-1O1,0,0,C7H8N2O1,C7H7N1O2,456,0,0,NA,0.4350078792203707,NA,0.4350078792203707,1
110957,170640,208,7619,10724,0.27835620642198394,Biotransform,H-1N-1O1,0,0,C7H7N1O2,C7H6O3,464,0,0,NA,NA,NA,0,0
95857,170640,209,6458,10724,-0.27224167191808785,Biotransform,H-1N-1O1,0,0,C7H7N1O2,C7H6O3,468,0,0,NA,NA,NA,0,0
99491,170640,210,7170,10724,-0.27224167191808785,Biotransform,H-1N-1O1,0,0,C7H7N1O2,C7H6O3,472,0,0,NA,NA,NA,0,0
72742,99482,218,3730,7166,-0.4859515904476447,Biotransform,H-1N-1O1,0,0,C7H10N2O1,C7H9N1O2,480,0,0,NA,NA,NA,0,0
76018,99482,219,4007,7166,-0.4859515904476447,Biotransform,H-1N-1O1,0,0,C7H10N2O1,C7H9N1O2,484,0,0,NA,NA,NA,0,0
70598,73370,227,3412,3786,0.711814117003762,Biotransform,H-1N-1O1,0,0,C7H12N2O1,C7H11N1O2,501,0,0,NA,NA,NA,0,0
70598,154650,228,3412,10319,1.7892229737016832,Biotransform,H-1N-1O1,0,0,C7H12N2O1,C7H11N1O2,503,0,0,NA,NA,NA,0,0
71961,73370,229,3640,3786,0.05969706336763439,Biotransform,H-1N-1O1,0,0,C7H12N2O1,C7H11N1O2,505,0,0,NA,NA,NA,0,0
71961,154650,230,3640,10319,1.1371066226627449,Biotransform,H-1N-1O1,0,0,C7H12N2O1,C7H11N1O2,507,0,0,NA,NA,NA,0,0
92894,93969,231,5950,6157,-2.1945871363542646,Biotransform,H-1N-1O1,0,0,C2H7N1O2S2,C2H6O3S2,509,0,0,NA,NA,NA,0,0
98787,120732,257,6983,8637,-0.6841957710325263,Biotransform,H-1N-1O1,0,0,C7H13N1O2,C7H12O3,560,0,0,NA,NA,NA,0,0
124166,120732,258,9062,8637,-0.6841957710325263,Biotransform,H-1N-1O1,0,0,C7H13N1O2,C7H12O3,564,0,0,NA,NA,NA,0,0
79559,95587,270,4505,6419,0.47859784605076766,Biotransform,H-1N-1O1,0,0,C9H8N2,C9H7N1O1,572,0,0,NA,NA,NA,0,0
95808,66939,275,6450,3071,0.16140812545672048,Biotransform,H-1N-1O1,0,0,C7H16N2O1,C7H15N1O2,588,0,0,NA,NA,NA,0,0
95808,131026,276,6450,9494,0.6851468808340572,Biotransform,H-1N-1O1,0,0,C7H16N2O1,C7H15N1O2,592,0,0,NA,NA,NA,0,0
95587,99411,278,6419,7152,-0.36003241273330877,Biotransform,H-1N-1O1,0,0,C9H7N1O1,C9H6O2,600,0,0,NA,NA,NA,0,0
119260,110535,281,8464,7564,-1.0924827576703369,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,612,0,0,NA,NA,NA,0,0
119260,79771,282,8464,4542,-0.6748719768555203,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,616,0,0,NA,NA,NA,0,0
119260,126582,283,8464,9240,-0.6748719768555203,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,620,0,0,NA,NA,NA,0,0
119260,111957,284,8464,7787,-0.2572615446431285,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,624,0,0,NA,NA,NA,0,0
124024,110535,285,9044,7564,-1.2978649703893017,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,628,0,0,NA,NA,NA,0,0
124024,79771,286,9044,4542,-0.8802541038047526,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,632,0,0,NA,NA,NA,0,0
124024,126582,287,9044,9240,-0.8802541038047526,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,636,0,0,NA,NA,NA,0,0
124024,111957,288,9044,7787,-0.4626435858226999,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,640,0,0,NA,NA,NA,0,0
110535,128817,299,7564,9394,-0.6703567567915686,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,658,0,0,NA,0.3333495012104104,NA,0.3333495012104104,1
110535,81026,300,7564,4792,0.1592757301599592,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,662,0,0,NA,NA,NA,0,0
110535,187157,301,7564,11875,0.1592757301599592,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,666,0,0,NA,NA,NA,0,0
110535,113307,302,7564,7920,0.3700837657473868,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,670,0,0,NA,NA,NA,0,0
79771,128817,303,4542,9394,-1.0851730662408654,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,674,0,0,NA,NA,NA,0,0
79771,81026,304,4542,4792,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,678,0,0,NA,NA,NA,0,0
79771,187157,305,4542,11875,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,682,0,0,NA,NA,NA,0,0
79771,113307,306,4542,7920,-0.044732112110501626,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,686,0,0,NA,NA,NA,0,0
126582,128817,307,9240,9394,-1.0851730662408654,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,690,0,0,NA,0.31599435248954194,NA,0.31599435248954194,1
126582,81026,308,9240,4792,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,694,0,0,NA,NA,NA,0,0
126582,187157,309,9240,11875,-0.25554023514448193,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,698,0,0,NA,NA,NA,0,0
126582,113307,310,9240,7920,-0.044732112110501626,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,702,0,0,NA,NA,NA,0,0
111957,128817,311,7787,9394,-1.4999893758834375,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,706,0,0,NA,0.32931280825413356,NA,0.32931280825413356,1
111957,81026,312,7787,4792,-0.6703562006421981,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,710,0,0,NA,NA,NA,0,0
111957,187157,313,7787,11875,-0.6703562006421981,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,714,0,0,NA,NA,NA,0,0
111957,113307,314,7787,7920,-0.45954799016166503,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,718,0,0,NA,NA,NA,0,0
187033,99758,318,11845,7230,-0.1466997580068769,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,723,0,0,NA,NA,NA,0,0
187033,116473,319,11845,8169,0.2680135073998293,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,727,0,0,NA,NA,NA,0,0
90860,81530,329,5649,4911,-1.2807657724133164,Biotransform,H-1N-1O1,0,0,C5H9N1O2S1,C5H8O3S1,756,0,0,NA,NA,NA,0,0
