ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_MS2,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,Input_id,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,C7H12O3S1,176.050715,2,Metabolite,32658,C7H12O3S1,,1,0,4,Metabolite,0.5,-0.02400538545802103,NA,NA,0,0,NA,0,0.47599461454197894,2,3.4848837552388052,176.05070654766945,1.504,0.1,0.575994614541979,1,Methylthio 2-(propanoyloxy)propanoate C7H12O3S1
6,2,C11H23N1O6S1,297.124608246,1,Metabolite,6669,C6H15N1O6S1,C5H8,1,1,34,Putative metabolite,0,-0.1755183961798002,0,NA,0,0,NA,0,-0.1755183961798002,5,3.5429749273277484,297.1247125476694,1.525,0,-0.1755183961798002,1,Arachidyl carnitine C27H53N1O4 - C16H30O1 -> C11H23N1O3 + O3S1 -> C11H23N1O6S1
11,3,C15H27N3O10,409.16964405000004,4,Metabolite,8731,C16H29N3O10,C1H2,-1,1,68,Putative metabolite,0,-0.1985757411231489,0,NA,0,0,NA,0,-0.1985757411231489,8,3.594944172644182,409.1694815476694,1.535,0,-0.1985757411231489,1,L-Threonine C4H9N1O3 + C11H17N1O8 -> C15H26N2O11 - H-1N-1O1 -> C15H27N3O10
21,4,C10H16O3S1,216.082015054,3,Metabolite,1886,C10H16O3S2,S1,-1,1,87,Putative metabolite,0,-0.1353799170793613,0,NA,0,0,NA,0,-0.1353799170793613,10,3.618474371977542,216.08195654766945,1.54,0,-0.1353799170793613,1,D-Limonene C10H16 + O3S1 -> C10H16O3S1
24,5,Unknown,382.0548875476694,0,Unknown,5,Unknown,,0,0,109,Unknown,0,-0,NA,NA,0,0,NA,0,0,13,3.8973257760560918,382.0548875476694,1.571,-0.5,-0.5,1,Unknown
34,6,C20H27N5O8,465.18596292,10,Metabolite,9097,C14H17N5O3,C6H10O5,1,1,158,Putative metabolite,0,-0.03077013460859494,0,NA,0,0,NA,0,-0.03077013460859494,15,3.6507055271568034,465.1859915476694,1.571,0,-0.03077013460859494,1,Pipemidic acid C14H17N5O3 + C6H10O5 -> C20H27N5O8
43,7,C21H22O2S2,370.10612145199997,11,Metabolite,7861,C21H23N1O2S2,H1N1,-1,2,246,Putative metabolite,0,-0.11605364727522254,0,NA,0,0,NA,0,-0.11605364727522254,16,3.8026584206443226,370.1060355476694,1.577,0,-0.11605364727522254,1,Sulforidazine C21H26N2O2S2 - H3N1 -> C21H23N1O2S2 - H1N1 -> C21H22O2S2
53,8,C19H18O3S2,358.069735872,11,Metabolite,8166,C19H19N1O2S2,H-1N-1O1,1,2,269,Putative metabolite,0,-0.01909637705885685,0,NA,0,0,NA,0,-0.01909637705885685,18,3.5849632158033593,358.0697495476694,1.582,0,-0.01909637705885685,1,Tazarotenic acid C19H17N1O2S1 + H2S1 -> C19H19N1O2S2 + H-1N-1O1 -> C19H18O3S2
63,9,Unknown,362.94160654766944,0,Unknown,9,Unknown,,0,0,273,Unknown,0,-0,NA,NA,0,0,NA,0,0,19,3.5795539879562734,362.94160654766944,1.582,-0.5,-0.5,1,Unknown
65,10,C9H13N1O5,215.07937255999997,4,Metabolite,1841,C9H13N1O5S1,S1,-1,1,306,Putative metabolite,0,-0.15572778707874807,0,NA,0,0,NA,0,-0.15572778707874807,20,3.5003915875926785,215.07943954766944,1.582,0,-0.15572778707874807,1,N-Acetyl-L-glutamate 5-semialdehyde C7H11N1O4 + C2H2O1 -> C9H13N1O5
68,11,Unknown,233.03894254766945,0,Unknown,11,Unknown,,0,0,310,Unknown,0,-0,NA,NA,0,0,NA,0,0,28,3.7904608352135507,233.03894254766945,1.603,-0.5,-0.5,1,Unknown
70,12,Unknown,239.99093854766943,0,Unknown,12,Unknown,,0,0,313,Unknown,0,-0,NA,NA,0,0,NA,0,0,31,3.3323002008483926,239.99093854766943,1.608,-0.5,-0.5,1,Unknown
