label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,2,,177.057983,1.504,0.78775,,,,,,,,3054.103531901041
,,5,,298.131989,1.525,0.794874,,,,,,,,3491.2015950520845
,,8,,410.176758,1.535,0.797012,,,,,,,,3934.994889322918
,,10,,217.089233,1.54,0.736164,,,,,,,,4154.075370279946
,,13,,383.062164,1.571,0.808698,,,,,,,,7894.520849609373
,,15,,466.193268,1.571,0.777102,,,,,,,,4474.09835611979
,,16,,371.113312,1.577,0.743732,,,,,,,,6348.3143066406255
,,18,,359.077026,1.582,0.747368,,,,,,,,3845.5920898437485
,,19,,363.948883,1.582,0.798321,,,,,,,,3797.991495768227
,,20,,216.086716,1.582,0.819064,,,,,,,,3165.1302571614588
,,28,,234.046219,1.603,0.773746,,,,,,,,6172.496256510416
,,31,,240.998215,1.608,0.809025,,,,,,,,2149.3156494140617
,,39,,479.149017,1.634,0.776094,,,,,,,,4272.921931966147
,,46,,435.111542,1.649,0.800501,,,,,,,,3288.881412760415
,,48,,479.050171,1.65,0.791158,,,,,,,,3958.514697265623
,,57,,350.0737,1.67,0.789106,,,,,,,,6211.188264973957
,,77,,191.037186,1.722,0.715799,,,,,,,,4382.4382975260405
,,90,,368.137238,1.753,0.765928,,,,,,,,6394.047347005212
,,100,,375.098724,1.779,0.767441,,,,,,,,4990.867244466147
,,105,,399.108368,1.79,0.796108,,,,,,,,4311.989013671875
,,113,,201.998352,1.81,0.823406,,,,,,,,2566.870515950521
,,116,,328.121246,1.816,0.789026,,,,,,,,3777.962676323785
,,117,,313.07147200000003,1.821,0.762066,,,,,,,,7623.453710937503
,,150,,499.068939,1.92,0.83382,,,,,,,,7062.528076171873
,,152,,347.294556,1.925,0.821027,,,,,,,,10081.737499999994
,,158,,436.036865,1.941,0.822687,,,,,,,,67853.49973958335
