"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
1,282.2558,2.44,9,"Metabolite","C18H34O2",0.28,"Oleic acid C18H34O2"
2,256.2401,2.47,8.66,"Metabolite","C16H32O2",0.51,"Palmitic acid C16H32O2"
3,254.2246,2.48,8.66,"Metabolite","C16H30O2",-0.08,"Hypogeic acid C16H30O2"
4,89.0476,13.01,8.65,"Metabolite","C3H7N1O2",0.88,"beta-Alanine C3H7N1O2"
5,144.1149,4.21,8.45,"Metabolite","C8H16O2",0.9,"Caprylic acid C8H16O2"
6,144.1149,2.82,8.33,"Metabolite","C8H16O2",0.9,"Caprylic acid C8H16O2"
7,284.2712,2.43,8.43,"Metabolite","C18H36O2",1.16,"Stearic acid C18H36O2"
8,147.053,13.5,8.42,"Metabolite","C5H9N1O4",1.07,"L-Glutamic acid C5H9N1O4"
9,147.0531,9.98,6.61,"Metabolite","C5H9N1O4",0.39,"L-Glutamic acid C5H9N1O4"
10,283.2591,2.44,8.3,"Artifact","[13]C1C17H34O2",0.48,"Oleic acid C18H34O2 + [13]C1C-1 -> [13]C1C17H34O2"
11,157.998,13.89,8.31,"Artifact","C4H7K1O4",0.89,"CH3COOK C2H3K1O2 + C2H4O2"
12,122.0367,4.21,8.2,"Metabolite","C7H6O2",0.65,"Benzoic acid C7H6O2"
13,146.0691,11.29,5.4,"Metabolite","C5H10N2O3",0.29,"L-Glutamine C5H10N2O3"
14,174.1115,16.77,8.19,"Metabolite","C6H14N4O2",1.01,"L-Arginine C6H14N4O2"
15,175.0955,13.64,8.06,"Metabolite","C6H13N3O3",1.09,"Citrulline C6H13N3O3"
16,116.0837,4.24,7.94,"Metabolite","C6H12O2",0.25,"Caproic acid C6H12O2"
17,116.0837,3.01,7.37,"Metabolite","C6H12O2",0.25,"Caproic acid C6H12O2"
18,257.2435,2.47,7.9,"Artifact","[13]C1C15H32O2",0.33,"Palmitic acid C16H32O2 + [13]C1C-1 -> [13]C1C15H32O2"
19,255.2279,2.48,7.91,"Artifact","[13]C1C15H30O2",0.14,"Hypogeic acid C16H30O2 + [13]C1C-1 -> [13]C1C15H30O2"
20,206.1669,2.58,7.83,"Metabolite","C14H22O1",0.8,"4-(1,1,3,3-Tetramethylbutyl)-phenol C14H22O1"
21,132.0898,13.64,7.85,"Metabolite","C5H12N2O2",0.59,"Ornithine C5H12N2O2"
22,132.0898,16.24,7.34,"Metabolite","C5H12N2O2",0.59,"Ornithine C5H12N2O2"
23,132.0898,16.78,7.34,"Metabolite","C5H12N2O2",0.59,"Ornithine C5H12N2O2"
24,132.0916,9.84,4.83,"Artifact","[15]N1C6H13O2",0.48,"L-Isoleucine C6H13N1O2 + [15]N1N-1 -> [15]N1C6H13O2"
25,132.0916,9.29,4.77,"Artifact","[15]N1C6H13O2",0.48,"L-Isoleucine C6H13N1O2 + [15]N1N-1 -> [15]N1C6H13O2"
26,285.2747,2.44,7.72,"Artifact","[13]C1C17H36O2",0.65,"Stearic acid C18H36O2 + [13]C1C-1 -> [13]C1C17H36O2"
27,152.0683,7.19,7.7,"Metabolite","C5H12O5",1.14,"Ribitol C5H12O5"
28,192.027,14.18,7.67,"Metabolite","C6H8O7",0.01,"Citric acid C6H8O7"
29,119.0582,13.01,7.66,"Metabolite","C4H9N1O3",0.36,"L-Threonine C4H9N1O3"
30,240.0669,2.62,7.47,"Putative metabolite","C8H16O6S1",-0.59,"7-Hydroxyoctanoic acid C8H16O3 + O3S1 -> C8H16O6S1"
31,117.079,11.21,7.61,"Metabolite","C5H11N1O2",-0.18,"Betaine C5H11N1O2"
32,166.048,2.56,7.34,"Metabolite","C5H10O6",-1.58,"Arabinonic acid C5H10O6"
33,166.048,2.84,7.34,"Metabolite","C5H10O6",-1.58,"Arabinonic acid C5H10O6"
34,317.1238,13.58,7.55,"Artifact","C10H24N1O8P1",0.48,"Glycerophosphocholine C8H20N1O6P1 + C2H4O2 -> C10H24N1O8P1"
35,88.01597,4.2,7.42,"Metabolite","C3H4O3",0.84,"Pyruvic acid C3H4O3"
36,88.01599,3.02,6.59,"Metabolite","C3H4O3",0.61,"Pyruvic acid C3H4O3"
37,88.01599,4.95,7.25,"Metabolite","C3H4O3",0.61,"Pyruvic acid C3H4O3"
38,159.1369,14.71,3.99,"Unknown","Unknown",-0.15,"Unknown"
39,134.0214,13.54,7.48,"Metabolite","C4H6O5",0.92,"L-Malic acid C4H6O5"
40,145.1182,4.21,7.41,"Artifact","[13]C1C7H16O2",1.27,"Caprylic acid C8H16O2 + [13]C1C-1 -> [13]C1C7H16O2"
41,145.1183,2.82,7.28,"Artifact","[13]C1C7H16O2",0.58,"Caprylic acid C8H16O2 + [13]C1C-1 -> [13]C1C7H16O2"
42,233.8906,13.84,7.34,"Artifact","H3K1O8S2",0.17,"KHSO4 H1K1O4S1 + H2O4S1"
43,195.9442,13.85,7.36,"Artifact","C2H5K1O6S1",0.97,"KHSO4 H1K1O4S1 + C2H4O2"
44,314.0858,2.6,7.14,"Putative metabolite","C11H14N4O7",1.43,"Xanthine C5H4N4O2 + C6H10O5 -> C11H14N4O7"
45,314.0881,14,5.31,"Artifact","C11H19K1N2O6",-0.26,"Saccharopine C11H20N2O6 + H-1K1 -> C11H19K1N2O6"
46,446.1941,2.78,7.3,"Metabolite","C24H30O8",-0.07,"Estrone glucuronide C24H30O8"
47,402.1373,13.88,7.19,"Artifact","C14H26O13",0.1,"Melibiose C12H22O11 + C2H4O2 -> C14H26O13"
48,402.1373,14.82,6.65,"Artifact","C14H26O13",0.1,"Melibiose C12H22O11 + C2H4O2 -> C14H26O13"
49,312.176,2.08,7.31,"Metabolite","C17H28O3S1",-0.27,"N-Undecylbenzenesulfonic acid C17H28O3S1"
50,103.0633,13.5,7.32,"Metabolite","C4H9N1O2",0.28,"Dimethylglycine C4H9N1O2"
51,103.0633,12.17,6.6,"Metabolite","C4H9N1O2",0.28,"Dimethylglycine C4H9N1O2"
52,307.0838,13.5,7.21,"Metabolite","C10H17N3O6S1",0.02,"Glutathione C10H17N3O6S1"
53,170.1306,2.71,7.26,"Metabolite","C10H18O2",0.47,"cis-4-Decenoic acid C10H18O2"
54,170.1306,4.16,6.68,"Metabolite","C10H18O2",0.47,"cis-4-Decenoic acid C10H18O2"
55,129.0426,13.49,7.26,"Metabolite","C5H7N1O3",-0.05,"Pyroglutamic acid C5H7N1O3"
56,129.0426,10.34,6.47,"Metabolite","C5H7N1O3",-0.05,"Pyroglutamic acid C5H7N1O3"
57,129.0425,11.15,6.92,"Metabolite","C5H7N1O3",0.72,"Pyroglutamic acid C5H7N1O3"
58,326.1915,2.08,7.22,"Metabolite","C18H30O3S1",0.2,"2-Dodecylbenzenesulfonic acid C18H30O3S1"
59,300.2664,2.64,7.25,"Metabolite","C18H36O3",0.15,"(R)-3-Hydroxy-Octadecanoic acid C18H36O3"
60,300.2664,4.19,6.64,"Metabolite","C18H36O3",0.15,"(R)-3-Hydroxy-Octadecanoic acid C18H36O3"
61,242.2246,2.48,7.25,"Metabolite","C15H30O2",-0.08,"Pentadecanoic acid C15H30O2"
62,284.2634,2.44,7.22,"Artifact","[13]C2C16H34O2",-2.85,"Oleic acid C18H34O2 + [13]C1C-1 -> [13]C1C17H34O2 + [13]C1C-1 -> [13]C2C16H34O2"
63,131.0945,9.84,7.23,"Metabolite","C6H13N1O2",0.98,"L-Isoleucine C6H13N1O2"
64,131.0945,9.31,7.14,"Metabolite","C6H13N1O2",0.98,"L-Isoleucine C6H13N1O2"
65,90.0509,13.01,7.2,"Artifact","[13]C1C2H7N1O2",1.48,"beta-Alanine C3H7N1O2 + [13]C1C-1 -> [13]C1C2H7N1O2"
66,159.9961,13.89,7.18,"Artifact","[41]K1C4H7O4",1,"CH3COOK C2H3K1O2 + C2H4O2 + [41]K1K-1 -> [41]K1C4H7O4"
67,133.0374,13.58,7.19,"Artifact","C4H7N1O4",0.81,"Fumaric acid C4H4O4 + H3N1 -> C4H7N1O4"
68,133.0374,11.29,6.78,"Metabolite","C4H7N1O4",0.81,"L-Aspartic acid C4H7N1O4"
69,148.0562,13.5,7.17,"Artifact","[13]C1C4H9N1O4",2.11,"L-Glutamic acid C5H9N1O4 + [13]C1C-1 -> [13]C1C4H9N1O4"
