ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
6516,1420,19,744,201,-0.1497726541560071,Biotransform,H-1N-1O1,0,0,C3H5N1O3,C3H4O4,19,0,0,NA,NA,0,0
881,2850,22,141,377,-0.14692542686811505,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,23,0,0,NA,NA,0,0
46257,17232,31,3503,1552,-1.0044742685843189,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,35,0,0,NA,NA,0,0
46257,24780,32,3503,1972,-0.1353863759570352,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,39,0,0,NA,NA,0,0
56444,17232,33,4982,1552,-1.0044742685843189,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,43,0,0,NA,NA,0,0
56444,24780,34,4982,1972,-0.1353863759570352,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,47,0,0,NA,NA,0,0
5221,2529,35,666,346,-0.13428051288633894,Biotransform,H-1N-1O1,0,0,C4H5N1O3,C4H4O4,51,0,0,NA,NA,0,0
49297,26776,39,3936,2134,-0.13309697865763553,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,53,0,0,NA,NA,0,0
26776,22420,45,2134,1819,0.7152795797037553,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,57,0,0,NA,NA,0,0
123,1754,49,31,260,-0.9789529400006555,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,65,0,0,NA,NA,0,0
123,1758,50,31,261,-0.13194652949405627,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,69,0,0,NA,NA,0,0
56899,16071,67,5060,1481,-1.795626274119657,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,73,0,0,NA,NA,0,0
56899,16063,68,5060,1479,-0.9626897022826678,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,75,0,0,NA,NA,0,0
56899,16067,69,5060,1480,-0.9626897022826678,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,77,0,0,NA,NA,0,0
56899,16074,70,5060,1482,-0.9626897022826678,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,79,0,0,NA,NA,0,0
625,285,80,105,57,-0.12071993981119311,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,83,0,0,NA,NA,0,0
625,277,81,105,55,0.6542181839037693,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,87,0,0,NA,NA,0,0
625,282,82,105,56,0.6542181839037693,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,91,0,0,NA,NA,0,0
285,3738,87,57,490,0.6492672674146389,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,95,0,0,NA,NA,0,0
277,3738,88,55,490,-0.11980627686944799,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,99,0,0,NA,NA,0,0
282,3738,89,56,490,-0.11980627686944799,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,103,0,0,NA,NA,0,0
51483,1039,93,4229,163,-0.11886333457731464,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,111,0,0,NA,NA,0,0
51483,1042,94,4229,164,-0.11886333457731464,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,115,0,0,NA,NA,0,0
51479,1039,97,4228,163,-0.8818838420520478,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,127,0,0,NA,NA,0,0
51479,1042,98,4228,164,-0.8818838420520478,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,131,0,0,NA,NA,0,0
52084,314,99,4311,63,-0.881638976114753,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,135,0,0,NA,NA,0,0
52084,317,100,4311,64,-0.881638976114753,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,139,0,0,NA,NA,0,0
1039,3145,105,163,417,-0.11797754501731336,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,147,0,0,NA,NA,0,0
