ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
912,3063,22,141,377,-0.14573992080686274,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,23,0,0,NA,NA,0,0
63380,27480,34,4982,1972,-0.13429398528570072,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,48,0,0,NA,NA,0,0
55229,29612,39,3936,2134,-0.13202306228532387,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,56,0,0,NA,NA,0,0
29612,24773,45,2134,1819,0.716343851535843,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,60,0,0,NA,NA,0,0
125,1877,49,31,260,-0.97788761730023,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,68,0,0,NA,NA,0,0
125,1881,50,31,261,-0.13088189665231878,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,72,0,0,NA,NA,0,0
291,4057,87,57,490,0.6502333675689035,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,98,0,0,NA,NA,0,0
288,4057,89,56,490,-0.11883960860013075,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,106,0,0,NA,NA,0,0
57719,1087,93,4229,163,-0.11790427521065343,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,112,0,0,NA,NA,0,0
57719,1090,94,4229,164,-0.11790427521065343,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,116,0,0,NA,NA,0,0
57712,1087,95,4227,163,-0.8809242234772454,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,120,0,0,NA,NA,0,0
57712,1090,96,4227,164,-0.8809242234772454,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,124,0,0,NA,NA,0,0
