ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,Input_id,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,C18H34O2,282.2558803,2,Metabolite,5718,C18H34O2,,1,0,2,Metabolite,0.5,-0.05002445214611251,NA,0,0,NA,0,0.4499755478538875,1,8.99890043894865,282.25577645233057,2.435506,0.1,0.5499755478538875,1,Oleic acid C18H34O2
5,2,C16H32O2,256.2402303,1,Metabolite,5730,C16H32O2,,1,0,27,Metabolite,0.5,-0.04894509517839259,NA,0,0,NA,0,0.4510549048216074,2,8.663515294262586,256.2400764523306,2.469723,0.1,0.5510549048216075,1,Palmitic acid C16H32O2
9,3,C16H30O2,254.2245802,2,Metabolite,7021,C16H30O2,,1,0,51,Metabolite,0.5,-0.2453719656514208,NA,0,0,NA,0,0.25462803434857917,3,8.659427407772743,254.22457645233055,2.482167,0.1,0.3546280343485792,1,Hypogeic acid C16H30O2
13,4,C3H7N1O2,89.04767847,1,Metabolite,119031,C3H7N1O2,,1,0,86,Metabolite,0.5,-0.14257706592044442,0.97776,0,0,NA,0,1.3351829340795556,4,8.646256977443684,89.04759645233057,13.01224,0.1,1.4351829340795557,1,alanine C3H7N1O2
17,5,C8H16O2,144.1150298,1,Metabolite,5949,C8H16O2,,1,0,134,Metabolite,0.5,-0.13497670139547385,NA,0,0,NA,0,0.36502329860452615,6,8.454946913467957,144.11487645233055,4.210028,0.1,0.4650232986045262,1,Caprylic acid C8H16O2
21,6,C8H16O2,144.1150298,1,Metabolite,5949,C8H16O2,,1,0,187,Metabolite,0.5,-0.13497670139547385,NA,0,0,NA,0,0.36502329860452615,7,8.333747155166831,144.11487645233055,2.820756,0.1,0.4650232986045262,1,Caprylic acid C8H16O2
24,7,C18H36O2,284.2715304,1,Metabolite,119234,C18H36O2,,1,0,241,Metabolite,0.5,-0.38977381192744087,0.917605,0,0,NA,0,1.0278311880725592,8,8.431371685457247,284.27117645233056,2.432395,0.1,1.127831188072559,1,Stearic acid C18H36O2
28,8,C5H9N1O4,147.0531578,2,Metabolite,119116,C5H9N1O4,,1,0,280,Metabolite,0.5,-0.2262075886902358,0.7118700000000011,0,0,NA,0,0.9856624113097653,11,8.416190146313905,147.05297645233057,13.49813,0.1,1.0856624113097653,1,glutamate C5H9N1O4
37,9,C5H9N1O4,147.0531578,2,Metabolite,119202,C5H9N1O4,,1,0,376,Metabolite,0.5,-0.11380555438239527,0.780596000000001,0,0,NA,0,1.1667904456176057,12,6.613779656572585,147.05307645233057,9.980596,0.1,1.2667904456176058,1,O-acetyl-L-serine C5H9N1O4
41,10,[13]C1C17H34O2,283.25923514,2,Natural_abundance,1,C18H34O2,[13]C1C-1,1,0.01,434,Artifact,0,-0.046728333803672736,0,0,0,NA,0,-0.046728333803672736,13,8.30334105947944,283.2590764523306,2.435506,0,-0.046728333803672736,1,Oleic acid C18H34O2 + [13]C1C-1 -> [13]C1C17H34O2
43,11,C4H7K1O4,157.99814060399999,0,Adduct,1751,C2H3K1O2,C2H4O2,1,0.01,448,Artifact,0,-0.1516953138922307,0,0,0,NA,0,-0.1516953138922307,14,8.305048581951183,157.99797645233056,13.89069,0,-0.1516953138922307,1,CH3COOK C2H3K1O2 + C2H4O2
47,12,C7H6O2,122.0367794,5,Metabolite,6800,C7H6O2,,1,0,461,Metabolite,0.5,-0.03554571490833287,NA,0,0,NA,0,0.46445428509166714,15,8.19576920035485,122.03667645233057,4.21315,0.1,0.5644542850916672,1,Benzoic acid C7H6O2
50,13,C5H10N2O3,146.0691422,2,Metabolite,6077,C5H10N2O3,,1,0,495,Metabolite,0.5,-0.16754138618789932,NA,0,0,NA,0,0.3324586138121007,17,5.396103575126533,146.06907645233056,11.29366,0.1,0.4324586138121007,1,L-Glutamine C5H10N2O3
55,14,C6H14N4O2,174.1116757,2,Metabolite,5978,C6H14N4O2,,1,0,558,Metabolite,0.5,-0.23253206426214093,NA,0,0,NA,0,0.2674679357378591,18,8.194203191514315,174.11147645233055,16.77067,0.1,0.3674679357378591,1,L-Arginine C6H14N4O2
64,15,C6H13N3O3,175.0956913,2,Metabolite,119056,C6H13N3O3,,1,0,587,Metabolite,0.5,-0.27541344633313636,0.9166800000000013,0,0,NA,0,1.141266553666865,21,8.060007064417274,175.09547645233056,13.64332,0.1,1.241266553666865,1,citrulline C6H13N3O3
69,16,C6H12O2,116.0837296,1,Metabolite,5994,C6H12O2,,1,0,622,Metabolite,0.5,-0.2485939927680635,NA,0,0,NA,0,0.2514060072319365,25,7.939905323858903,116.08367645233058,4.235044,0.1,0.3514060072319365,1,Caproic acid C6H12O2
73,17,C6H12O2,116.0837296,1,Metabolite,119386,C6H12O2,,1,0,689,Metabolite,0.5,-0.2485939927680635,0.9855939999999999,0,0,NA,0,1.2370000072319365,26,7.370340339087103,116.08367645233058,3.014406,0.1,1.3370000072319363,1,4-Methylvaleric acid C6H12O2
78,18,[13]C1C15H32O2,257.24358506799996,1,Natural_abundance,2,C16H32O2,[13]C1C-1,1,0.01,715,Artifact,0,-0.039411579754866276,0,0,0,NA,0,-0.039411579754866276,27,7.904101780184426,257.2434764523306,2.469723,0,-0.039411579754866276,1,Palmitic acid C16H32O2 + [13]C1C-1 -> [13]C1C15H32O2
80,19,[13]C1C15H30O2,255.227934996,2,Natural_abundance,3,C16H30O2,[13]C1C-1,1,0.01,717,Artifact,0,-0.13731121192518903,0,0,0,NA,0,-0.13731121192518903,28,7.907601141465916,255.22787645233055,2.482167,0,-0.13731121192518903,1,Hypogeic acid C16H30O2 + [13]C1C-1 -> [13]C1C15H30O2
81,20,C14H22O1,206.1670653,4,Metabolite,14081,C14H22O1,,1,0,719,Metabolite,0.5,-0.16122577847801361,NA,0,0,NA,0,0.3387742215219864,30,7.832868255538434,206.16687645233057,2.575922,0.1,0.4387742215219864,1,"4-(1,1,3,3-Tetramethylbutyl)-phenol C14H22O1"
86,21,C5H12N2O2,132.0898776,1,Metabolite,5725,C5H12N2O2,,1,0,737,Metabolite,0.5,-0.044514306635991194,NA,0,0,NA,0,0.4554856933640088,31,7.846746663245371,132.08977645233057,13.64332,0.1,0.5554856933640088,1,Ornithine C5H12N2O2
89,22,C5H12N2O2,132.0898776,1,Metabolite,119204,C5H12N2O2,,1,0,786,Metabolite,0.5,-0.044514306635991194,0.6422899999999991,0,0,NA,0,1.097775693364008,32,7.335146334016132,132.08977645233057,16.24229,0.1,1.197775693364008,1,ornithine C5H12N2O2
92,23,C5H12N2O2,132.0898776,1,Metabolite,119204,C5H12N2O2,,1,0,833,Metabolite,0.5,-0.044514306635991194,0.816670000000002,0,0,NA,0,1.2721556933640108,33,7.337791081841846,132.08977645233057,16.78333,0.1,1.3721556933640109,1,ornithine C5H12N2O2
96,24,[15]N1C6H13O2,132.09166358200002,1,Natural_abundance,63,C6H13N1O2,[15]N1N-1,1,0.01,879,Artifact,0,-0.09757621263679188,0,0,0,NA,0.7423310194727202,0.6447548068359283,34,4.831057599731113,132.09157645233057,9.837134,0,0.6447548068359283,1,isoleucine C6H13N1O2 + [15]N1N-1 -> [15]N1C6H13O2
98,25,[15]N1C6H13O2,132.09166358200002,1,Natural_abundance,64,C6H13N1O2,[15]N1N-1,1,0.01,881,Artifact,0,-0.09757621263679188,0,0,0,NA,0.7151200194727207,0.6175438068359289,35,4.76784472907023,132.09157645233057,9.288239,0,0.6175438068359289,1,leucine C6H13N1O2 + [15]N1N-1 -> [15]N1C6H13O2
