ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
1405,5571,22,141,377,-0.1474322372274802,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,29,0,0,NA,NA,0,0
36568,7482,26,1475,511,-0.1395902917332594,Biotransform,H-1N-1O1,0,0,C1H5N1O3S1,C1H4O4S1,33,0,0,NA,NA,0,0
97923,40498,29,2666,1552,-1.0049403447426672,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,34,0,0,NA,NA,0,0
97923,63009,30,2666,1972,-0.13585339576106029,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,38,0,0,NA,NA,0,0
130660,40498,31,3503,1552,-1.0049403447426672,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,42,0,0,NA,NA,0,0
130660,63009,32,3503,1972,-0.13585339576106029,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,46,0,0,NA,NA,0,0
154718,40498,33,4982,1552,-1.0049403447426672,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,50,0,0,NA,NA,0,0
154718,63009,34,4982,1972,-0.13585339576106029,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,54,0,0,NA,NA,0,0
137703,69133,39,3936,2134,-0.13355610356337508,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,64,0,0,NA,NA,0,0
69133,55574,45,2134,1819,0.7148233845413237,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,68,0,0,NA,NA,0,0
172,3505,49,31,260,-0.9794072011719712,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,78,0,0,NA,NA,0,0
172,3508,50,31,261,-0.13240168696736923,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,82,0,0,NA,NA,0,0
155595,36600,67,5060,1481,-1.7960721388688237,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,86,0,0,NA,NA,0,0
155595,36585,68,5060,1479,-0.9631364338029744,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,88,0,0,NA,NA,0,0
155595,36593,69,5060,1480,-0.9631364338029744,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,90,0,0,NA,NA,0,0
155595,36604,70,5060,1482,-0.9631364338029744,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,92,0,0,NA,NA,0,0
1001,447,80,105,57,-0.1211363815119887,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,98,0,0,NA,NA,0,0
1001,439,81,105,55,0.653800991941104,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,102,0,0,NA,NA,0,0
1001,444,82,105,56,0.653800991941104,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,106,0,0,NA,NA,0,0
447,7285,87,57,490,0.6488532373850631,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,110,0,0,NA,NA,0,0
439,7285,88,55,490,-0.12021956763224297,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,114,0,0,NA,NA,0,0
444,7285,89,56,490,-0.12021956763224297,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,118,0,0,NA,NA,0,0
143322,1795,93,4229,163,-0.11927337341421493,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,124,0,0,NA,NA,0,0
143322,1799,94,4229,164,-0.11927337341421493,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,128,0,0,NA,NA,0,0
143315,1795,95,4227,163,-0.88229315299673,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,132,0,0,NA,NA,0,0
143315,1799,96,4227,164,-0.88229315299673,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,136,0,0,NA,NA,0,0
143319,1795,97,4228,163,-0.88229315299673,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,140,0,0,NA,NA,0,0
143319,1799,98,4228,164,-0.88229315299673,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,144,0,0,NA,NA,0,0
144826,495,99,4311,63,-0.8820481738595815,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,148,0,0,NA,NA,0,0
144826,498,100,4311,64,-0.8820481738595815,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,152,0,0,NA,NA,0,0
1795,6147,105,163,417,-0.11838452901650232,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,160,0,0,NA,NA,0,0
1795,48067,106,163,1678,0.6389486191608983,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,165,0,0,NA,NA,0,0
1799,6147,107,164,417,-0.11838452901650232,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,170,0,0,NA,NA,0,0
1799,48067,108,164,1678,0.6389486191608983,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,175,0,0,NA,NA,0,0
495,1062,114,63,113,0.6387725294427157,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,184,0,0,NA,NA,0,0
498,1062,116,64,113,0.6387725294427157,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,192,0,0,NA,NA,0,0
1005,510,125,106,67,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,212,0,0,NA,NA,0,0
1005,515,126,106,68,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,216,0,0,NA,NA,0,0
1010,510,127,107,67,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,220,0,0,NA,NA,0,0
1010,515,128,107,68,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,224,0,0,NA,NA,0,0
137651,510,129,3927,67,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,228,0,0,NA,NA,0,0
137651,515,130,3927,68,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,232,0,0,NA,NA,0,0
137654,510,131,3928,67,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,236,0,0,NA,NA,0,0
137654,515,132,3928,68,-0.11749885280588354,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,240,0,0,NA,NA,0,0
117,3275,146,21,236,-0.11746671329713002,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,262,0,0,NA,NA,0,0
117,3278,147,21,237,-0.11746671329713002,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,266,0,0,NA,NA,0,0
120,3275,148,22,236,-0.11746671329713002,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,270,0,0,NA,NA,0,0
120,3278,149,22,237,-0.11746671329713002,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,274,0,0,NA,NA,0,0
123,3275,150,23,236,-0.11746671329713002,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,278,0,0,NA,NA,0,0
123,3278,151,23,237,-0.11746671329713002,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,282,0,0,NA,NA,0,0
510,237,168,67,39,-0.11663616362292165,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,286,0,0,NA,NA,0,0
515,237,169,68,39,-0.11663616362292165,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,290,0,0,NA,NA,0,0
3275,124348,178,236,3248,-0.11660449426297842,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,318,0,0,NA,NA,0,0
3275,2529,180,236,177,0.6293413693934954,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,326,0,0,NA,NA,0,0
3278,124348,183,237,3248,-0.11660449426297842,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,338,0,0,NA,NA,0,0
