ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
43468,32317,15,4325,2945,-2.2343543777774033,Biotransform,H-1N-1O1,0,0,C3H9N1S1,C3H8O1S1,13,0,0,NA,NA,0,0
814,2623,22,141,377,-0.14738197482979146,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,29,0,0,NA,NA,0,0
28540,14408,29,2666,1552,-1.004894048972144,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,33,0,0,NA,NA,0,0
28540,19904,30,2666,1972,-0.135807080421434,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,37,0,0,NA,NA,0,0
37761,14408,31,3503,1552,-1.004894048972144,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,41,0,0,NA,NA,0,0
37761,19904,32,3503,1972,-0.135807080421434,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,45,0,0,NA,NA,0,0
47750,14408,33,4982,1552,-1.004894048972144,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,49,0,0,NA,NA,0,0
47750,19904,34,4982,1972,-0.135807080421434,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,53,0,0,NA,NA,0,0
40739,21461,39,3936,2134,-0.13351057136896813,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,61,0,0,NA,NA,0,0
21461,18158,45,2134,1819,0.7148685557520338,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,65,0,0,NA,NA,0,0
119,1677,49,31,260,-0.97936208122536506,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,70,0,0,NA,NA,0,0
119,1680,50,31,261,-0.13235654843378,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,74,0,0,NA,NA,0,0
48176,13388,67,5060,1481,-1.796027785998087,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,78,0,0,NA,NA,0,0
48176,13377,68,5060,1479,-0.9630920630762201,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,82,0,0,NA,NA,0,0
48176,13383,69,5060,1480,-0.9630920630762201,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,86,0,0,NA,NA,0,0
48176,13391,70,5060,1482,-0.9630920630762201,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,90,0,0,NA,NA,0,0
584,269,80,105,57,-0.12109508322228384,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,98,0,0,NA,NA,0,0
584,262,81,105,55,0.6538423057883224,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,102,0,0,NA,NA,0,0
584,266,82,105,56,0.6538423057883224,Biotransform,H-1N-1O1,0,0,C5H8N2O2,C5H7N1O3,106,0,0,NA,NA,0,0
269,3413,87,57,490,0.6488942384835886,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,110,0,0,NA,NA,0,0
262,3413,88,55,490,-0.12017858188807945,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,114,0,0,NA,NA,0,0
266,3413,89,56,490,-0.12017858188807945,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,118,0,0,NA,NA,0,0
42809,993,93,4229,163,-0.11923271023160983,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,122,0,0,NA,NA,0,0
42809,996,94,4229,164,-0.11923271023160983,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,126,0,0,NA,NA,0,0
42802,993,95,4227,163,-0.8822525049276477,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,130,0,0,NA,NA,0,0
42802,996,96,4227,164,-0.8822525049276477,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,134,0,0,NA,NA,0,0
42806,993,97,4228,163,-0.8822525049276477,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,138,0,0,NA,NA,0,0
42806,996,98,4228,164,-0.8822525049276477,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,142,0,0,NA,NA,0,0
43409,293,99,4311,63,-0.8820075370720717,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,146,0,0,NA,NA,0,0
43409,296,100,4311,64,-0.8820075370720717,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,150,0,0,NA,NA,0,0
293,621,114,63,113,0.638812893342019,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,178,0,0,NA,NA,0,0
296,621,116,64,113,0.638812893342019,Biotransform,H-1N-1O1,0,0,C6H13N1O2,C6H12O3,186,0,0,NA,NA,0,0
588,306,125,106,67,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,210,0,0,NA,NA,0,0
588,310,126,106,68,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,214,0,0,NA,NA,0,0
593,306,127,107,67,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,218,0,0,NA,NA,0,0
593,310,128,107,68,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,222,0,0,NA,NA,0,0
40710,306,129,3927,67,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,226,0,0,NA,NA,0,0
40710,310,130,3927,68,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,230,0,0,NA,NA,0,0
40713,306,131,3928,67,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,234,0,0,NA,NA,0,0
40713,310,132,3928,68,-0.11745879456570266,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,238,0,0,NA,NA,0,0
81,1538,146,21,236,-0.11742666601354136,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,260,0,0,NA,NA,0,0
81,1541,147,21,237,-0.11742666601354136,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,264,0,0,NA,NA,0,0
84,1538,148,22,236,-0.11742666601354136,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,268,0,0,NA,NA,0,0
84,1541,149,22,237,-0.11742666601354136,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,272,0,0,NA,NA,0,0
87,1538,150,23,236,-0.11742666601354136,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,276,0,0,NA,NA,0,0
87,1541,151,23,237,-0.11742666601354136,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,280,0,0,NA,NA,0,0
306,155,168,67,39,-0.11659639968991606,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,284,0,0,NA,NA,0,0
310,155,169,68,39,-0.11659639968991606,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,288,0,0,NA,NA,0,0
1538,35547,178,236,3248,-0.11656474091422922,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,316,0,0,NA,NA,0,0
1538,1145,180,236,177,0.6293811371570289,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,324,0,0,NA,NA,0,0
1541,35547,183,237,3248,-0.11656474091422922,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,336,0,0,NA,NA,0,0
1541,1145,185,237,177,0.6293811371570289,Biotransform,H-1N-1O1,0,0,C5H11N1O3,C5H10O4,344,0,0,NA,NA,0,0
2133,667,215,317,123,-0.1148675771365795,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,367,0,0,NA,NA,0,0
