ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
638,1994,22,141,377,-0.14613350967805658,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,17,0,0,NA,NA,0,0
9648,2690,26,1475,511,-0.13836064212738644,Biotransform,H-1N-1O1,0,0,C1H5N1O3S1,C1H4O4S1,21,0,0,NA,NA,0,0
33680,14057,34,4982,1972,-0.13465666363524473,Biotransform,H-1N-1O1,0,0,C5H10N2O1,C5H9N1O2,32,0,0,NA,NA,0,0
28519,15148,39,3936,2134,-0.13237960798648704,Biotransform,H-1N-1O1,0,0,C4H8N2O2,C4H7N1O3,37,0,0,NA,NA,0,0
15148,12862,45,2134,1819,0.7159902224432736,Biotransform,H-1N-1O1,0,0,C4H7N1O3,C4H6O4,39,0,0,NA,NA,0,0
113,1282,49,31,260,-0.9782410252452816,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,44,0,0,NA,NA,0,0
113,1285,50,31,261,-0.13123536056069432,Biotransform,H-1N-1O1,0,0,C5H11N1O2,C5H10O3,48,0,0,NA,NA,0,0
34021,9665,67,5060,1481,-1.7949254791356106,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,52,0,0,NA,NA,0,0
34021,9656,68,5060,1479,-0.9619896285490221,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,54,0,0,NA,NA,0,0
34021,9667,70,5060,1482,-0.9619896285490221,Biotransform,H-1N-1O1,0,0,C8H9N1,C8H8O1,58,0,0,NA,NA,0,0
221,2596,87,57,490,0.6499123785556364,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,73,0,0,NA,NA,0,0
218,2596,89,56,490,-0.11916055133139986,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,81,0,0,NA,NA,0,0
30035,767,93,4229,163,-0.11822269221877858,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,85,0,0,NA,NA,0,0
30035,770,94,4229,164,-0.11822269221877858,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,87,0,0,NA,NA,0,0
30033,767,97,4228,163,-0.8812425949294055,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,93,0,0,NA,NA,0,0
30033,770,98,4228,164,-0.8812425949294055,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,95,0,0,NA,NA,0,0
30488,237,99,4311,63,-0.8809979072361639,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,97,0,0,NA,NA,0,0
30488,240,100,4311,64,-0.8809979072361639,Biotransform,H-1N-1O1,0,0,C6H14N2O1,C6H13N1O2,101,0,0,NA,NA,0,0
767,2197,105,163,417,-0.11734167731233137,Biotransform,H-1N-1O1,0,0,C5H9N1O3,C5H8O4,109,0,0,NA,NA,0,0
