"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
1,257.1029,13.58,8.75,"Metabolite","C8H20N1O6P1",-0.3,"Glycerophosphocholine C8H20N1O6P1"
2,257.1016,7.24,5.34,"Metabolite","C10H15N3O5",-1.67,"5-Methylcytidine C10H15N3O5"
3,174.112,16.81,8.65,"Metabolite","C6H14N4O2",-1.86,"L-Arginine C6H14N4O2"
4,175.1,2.83,5.23,"Putative metabolite","C11H13N1O1",-1.63,"3-Propylidene-1(3H)-isobenzofuranone C11H10O2 + H3N1O-1 -> C11H13N1O1"
5,175.0959,13.64,8.42,"Metabolite","C6H13N3O3",-1.19,"citrulline C6H13N3O3"
6,146.0694,11.29,5.95,"Artifact","C5H10N2O3",-1.76,"Pyroglutamic acid C5H7N1O3 + H3N1 -> C5H10N2O3"
7,147.0898,9.95,6.4,"Metabolite","C6H13N1O3",-1.75,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid C6H13N1O3"
8,129.0428,13.39,8.19,"Artifact","C5H7N1O3",-1.6,"glutamine C5H10N2O3 - H3N1 -> C5H7N1O3"
9,403.2002,2.79,8.14,"Artifact","C22H29N1O6",-1.77,"Porson C22H26O6 + H3N1 -> C22H29N1O6"
10,158.0693,13.64,8.09,"Artifact","C6H10N2O3",-1,"citrulline C6H13N3O3 - H3N1 -> C6H10N2O3"
11,158.0695,11.29,6.34,"Artifact","C6H10N2O3",-2.26,"Thymine C5H6N2O2 + C1H4O1 -> C6H10N2O3"
12,216.1224,13.38,7.99,"Metabolite","C8H16N4O3",-0.74,"N-Acetyl-L-arginine C8H16N4O3"
13,155.0696,13.5,7.89,"Artifact","C6H9N3O2",-0.8,"Peak 9660 C5H7N3 + C1H2O2 -> C6H9N3O2"
14,155.0699,11.28,5.61,"Metabolite","C6H9N3O2",-2.73,"L-Histidine C6H9N3O2"
15,175.8684,13.96,7.82,"Artifact","C1H-1K3O3",-2.05,"2K-2H H-2K2 + C1H1K1O3"
16,553.1695,2.52,7.69,"Artifact","C21H28N7O9P1",-1.61,"N-Acetyl-L-phenylalanine C11H13N1O3 + C10H12N5O6P1 + H3N1 -> C21H28N7O9P1"
17,258.1074,11.16,4.24,"Artifact","C9H16N4Na2O2",-2.07,"Peak 6191 C9H18N4O2 + H-2Na2 -> C9H16N4Na2O2"
18,175.0848,9.21,5.24,"Metabolite","C7H13N1O4",-1.95,"N-Carboxyethyl-g-aminobutyric acid C7H13N1O4"
19,202.1067,13.46,7.68,"Artifact","C7H14N4O3",-0.54,"citrulline C6H13N3O3 + C1H1N1 -> C7H14N4O3"
20,386.1735,2.78,7.66,"Metabolite","C22H26O6",-1.45,"Porson C22H26O6"
21,386.1704,16.81,4.91,"Putative metabolite","C18H30N2O3S2",-1.59,"2-(4-Methyl-5-thiazolyl)ethyl decanoate C16H27N1O2S1 + S1 -> C16H27N1O2S2 + H1N1 -> C16H28N2O2S2 + C2H2O1 -> C18H30N2O3S2"
22,485.2787,2.8,7.66,"Artifact","C28H39N1O6",-1.98,"Peak 279 C28H41N1O7 - H2O1 -> C28H39N1O6"
23,627.1884,2.5,7.57,"Artifact","C24H34N7O9P1S1",-1.22,"Peak 3267 C21H29N6O7P1S1 + C1H1N1 -> C22H30N7O7P1S1 + C2H4O2 -> C24H34N7O9P1S1"
24,479.1507,2.54,7.56,"Artifact","C16H25N5O12",-1.52,"Peak 70 C16H22N4O12 + H3N1 -> C16H25N5O12"
25,133.1105,10.37,7.56,"Putative metabolite","C6H15N1O2",-1.66,"carnitine C7H15N1O3 - C1O1 -> C6H15N1O2"
26,554.1699,2.52,7.4,"Putative metabolite","C31H26N2O8",-1.78,"Rheidin C C31H22O9 - H-1N-1O1 -> C31H23N1O8 + H3N1 -> C31H26N2O8"
27,612.153,14.17,7.46,"Metabolite","C20H32N6O12S2",-1.7,"glutathione disulfide C20H32N6O12S2"
28,135.9331,13.96,7.47,"Artifact","C2H2K2O2",-1.52,"2K-2H H-2K2 + C2H4O2"
29,175.1142,16.81,7.46,"Artifact","C6.5H15N3O2.5",-1.8,"No edge connections."
30,701.2069,2.48,7.37,"Artifact","C24H39N5O17S1",-1.05,"Peak 3219 C23H37N5O15S1 + C1H2O2 -> C24H39N5O17S1"
31,514.2063,13.58,7.37,"Artifact","C16H40N2O12P2",-1.27,"Glycerophosphocholine C8H20N1O6P1 * 2 -> C16H40N2O12P2"
32,175.1111,16.84,6.4,"Metabolite","C10H13N3",-0.87,"Debrisoquine C10H13N3"
33,628.1889,2.5,7.33,"Unknown","Unknown",-1.3,"Unknown"
34,132.0901,16.27,7.42,"Metabolite","C5H12N2O2",-1.68,"ornithine C5H12N2O2"
