ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,Input_id,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,C8H20N1O6P1,257.1028239,0,Metabolite,123504,C8H20N1O6P1,,1,0,8,Metabolite,0.5,-0.557170405500402,0.7253800000000012,0,0,NA,0,0.6682095944995993,1,8.74605533427237,257.10292354766943,13.58462,0.1,0.7682095944995992,1,Glycerophosphocholine C8H20N1O6P1
15,2,C10H15N3O5,257.1011706,5,Metabolite,10598,C10H15N3O5,,1,0,60,Metabolite,0.5,-0.12991270754298265,NA,0,0,NA,0,0.3700872924570173,2,5.340255352793159,257.1016235476694,7.241544,0.1,0.47008729245701736,1,5-Methylcytidine C10H15N3O5
25,3,C6H14N4O2,174.1116757,2,Metabolite,10223,C6H14N4O2,,1,0,127,Metabolite,0.5,-0.18108641344164494,NA,0,0,NA,0,0.31891358655835506,3,8.649735915289373,174.11202354766945,16.81239,0.1,0.4189135865583551,1,L-Arginine C6H14N4O2
32,4,C11H13N1O1,175.09971407999998,6,Metabolite,123546,C12H13N1O2,C1O1,-1,0,174,Putative metabolite,0,-0.06702424070288787,0,0,0,NA,0,-0.06702424070288787,4,5.234156341926923,175.10002354766945,2.829034,0,-0.06702424070288787,1,3-Propylidene-1(3H)-isobenzofuranone C11H10O2 + H3N1O-1 -> C11H13N1O1
34,5,C6H13N3O3,175.0956913,2,Metabolite,123301,C6H13N3O3,,1,0,193,Metabolite,0.5,-0.1534679163732671,0.9171800000000001,0,0,NA,0,1.263712083626733,5,8.423805916120397,175.09592354766943,13.64282,0.1,1.3637120836267331,1,citrulline C6H13N3O3
42,6,C5H10N2O3,146.0691422,3,Library_MS2_fragment,9573,C7H12N2O4,Library_MS2_fragment,-1,0.01,270,Artifact,0,-0.10545549540046022,0,0,0,NA,0,-0.10545549540046022,6,5.953835231791401,146.06942354766943,11.29493,0,-0.10545549540046022,1,Pyroglutamic acid C5H7N1O3 + H3N1 -> C5H10N2O3
43,7,C6H13N1O3,147.0895433,1,Metabolite,20323,C6H13N1O3,,1,0,332,Metabolite,0.5,-0.09674837849221955,NA,0,0,NA,0,0.40325162150778043,7,6.397970929338387,147.08982354766945,9.947072,0.1,0.5032516215077805,1,"(2R,3R,4R)-2-Amino-4-hydroxy-3-methylpentanoic acid C6H13N1O3"
47,8,C5H7N1O3,129.04259309399998,2,Library_MS2_fragment,9077,C5H10N2O3,Library_MS2_fragment,-1,0.01,406,Artifact,0,-0.002745465881473828,0,0,0,NA,0.6722022671460932,0.6694568012646194,9,8.187829493125763,129.04282354766943,13.38611,0,0.6694568012646194,1,glutamine C5H10N2O3 - H3N1 -> C5H7N1O3
52,9,C22H29N1O6,403.199487706,10,Adduct,20,C22H26O6,H3N1,1,0.01,447,Artifact,0,-0.21237855813093415,0,0,0,NA,0,-0.21237855813093415,10,8.135680830757646,403.2002235476694,2.789811,0,-0.21237855813093415,1,Porson C22H26O6 + H3N1 -> C22H29N1O6
58,10,C6H10N2O3,158.069142172,3,Fragment,5,C6H13N3O3,H3N1,-1,0.01,485,Artifact,0,-0.26513766089399415,0,0,0,NA,0.763712083626733,0.4985744227327389,11,8.091593373554488,158.06932354766946,13.64282,0,0.4985744227327389,1,citrulline C6H13N3O3 - H3N1 -> C6H10N2O3
65,11,C6H10N2O3,158.0691422,3,Library_MS2_fragment,84,C8H15N3O4,Library_MS2_fragment,-1,0.01,557,Artifact,0,-0.3674075435829509,0,0,0,NA,0,-0.3674075435829509,12,6.339205824878879,158.06952354766943,11.29493,0,-0.3674075435829509,1,Thymine C5H6N2O2 + C1H4O1 -> C6H10N2O3
66,12,C8H16N4O3,216.1222404,3,Metabolite,123423,C8H16N4O3,,1,0,618,Metabolite,0.5,-0.35385008436076815,0.8787299999999991,0,0,NA,0,1.024879915639231,13,7.992468951329616,216.12242354766946,13.38127,0.1,1.124879915639231,1,N-Acetyl-L-arginine C8H16N4O3
