"peak_id","medMz","medRt","log10_inten","class","formula","ppm_error","annotation"
1,257.1029,13.58,8.75,"Metabolite","C8H20N1O6P1",-0.3,"Glycerophosphocholine C8H20N1O6P1"
2,257.1016,7.24,5.34,"Metabolite","C10H15N3O5",-1.67,"2-amino-3-hydroxy-N'-[(2,3,4-trihydroxyphenyl)methyl]propanehydrazide C10H15N3O5"
3,174.112,16.81,8.65,"Metabolite","C6H14N4O2",-1.86,"(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid C6H14N4O2"
4,175.1,2.83,5.23,"Metabolite","C11H13N1O1",-1.63,"N-(2,3-dihydro-1H-inden-5-yl)acetamide C11H13N1O1"
5,175.0959,13.64,8.42,"Metabolite","C6H13N3O3",-1.19,"(2S)-2-amino-5-(carbamoylamino)pentanoic acid C6H13N3O3"
6,146.0694,11.29,5.95,"Artifact","C5H10N2O3",-1.77,"4-hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid C5H7N1O3 + H3N1 -> C5H10N2O3"
7,147.0898,9.95,6.4,"Metabolite","C6H13N1O3",-1.75,"(2S,3R,4S,5R)-2-methylpiperidine-3,4,5-triol C6H13N1O3"
8,129.0428,13.39,8.19,"Metabolite","C5H7N1O3",-1.6,"4-hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid C5H7N1O3"
9,403.2002,2.79,8.14,"Metabolite","C22H29N1O6",-1.77,"4-hydroxy-3-[(2E,4E,6R)-1-hydroxy-6-[(1S,3R,4R,5S,6S)-6-hydroxy-1,4,8-trimethyl-2,9-dioxabicyclo[3.3.1]non-7-en-3-yl]-4-methylhepta-2,4-dienyl]pyrrol-2-one C22H29N1O6"
10,158.0693,13.64,8.09,"Artifact","C6H10N2O3",-1,"2-pyrazol-1-ylethanol C5H8N2O1 + C1H2O2 -> C6H10N2O3"
11,158.0695,11.29,6.34,"Artifact","C6H10N2O3",-2.26,"2,3,4,5-tetrahydropyridine-2,6-dicarboxylic acid C7H9N1O4 + H3N1 -> C7H12N2O4 - C1H2O1 -> C6H10N2O3"
12,216.1224,13.38,7.99,"Metabolite","C8H16N4O3",-0.74,"(2S)-2-acetamido-5-(diaminomethylideneamino)pentanoic acid C8H16N4O3"
13,155.0696,13.5,7.89,"Metabolite","C6H9N3O2",-0.79,"(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid C6H9N3O2"
14,155.0699,11.28,5.61,"Metabolite","C6H9N3O2",-2.73,"(2S)-2-amino-3-(1H-imidazol-5-yl)propanoic acid C6H9N3O2"
15,175.8684,13.96,7.82,"Artifact","C1H-1K3O3",-2.05,"2K-2H H-2K2 + C1H1K1O3"
16,553.1695,2.52,7.69,"Artifact","C21H28N7O9P1",-1.6,"Peak 3803 C22H30N7O10P1 - C1H2O1 -> C21H28N7O9P1"
