ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,Input_id,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,C8H20N1O6P1,257.1028239,0,Metabolite,109495,C8H20N1O6P1,,1,0,5,Metabolite,0.5,-0.6290111042513338,0.7253800000000012,0,0,NA,0,0.5963688957486675,1,8.74605533427237,257.10292354766943,13.58462,0.1,0.6963688957486674,1,Glycerophosphocholine C8H20N1O6P1
15,2,C10H15N3O5,257.101171,NA,Metabolite,10513,C10H15N3O5,,1,0,57,Metabolite,0.5,-0.05729343030580326,NA,NA,0,NA,0,0.44270656969419675,2,5.340255352793159,257.1016235476694,7.241544,0.1,0.5427065696941967,1,"2-amino-3-hydroxy-N'-[(2,3,4-trihydroxyphenyl)methyl]propanehydrazide C10H15N3O5"
23,3,C6H14N4O2,174.111676,NA,Metabolite,11631,C6H14N4O2,,1,0,80,Metabolite,0.5,-0.05410955627846495,NA,NA,0,NA,0,0.4458904437215351,3,8.649735915289373,174.11202354766945,16.81239,0.1,0.5458904437215351,1,(2S)-2-amino-5-(diaminomethylideneamino)pentanoic acid C6H14N4O2
28,4,C11H13N1O1,175.099714,NA,Metabolite,20972,C11H13N1O1,,1,0,90,Metabolite,0.5,-0.0579138988112037,NA,NA,0,NA,0,0.4420861011887963,4,5.234156341926923,175.10002354766945,2.829034,0.1,0.5420861011887963,1,"N-(2,3-dihydro-1H-inden-5-yl)acetamide C11H13N1O1"
32,5,C6H13N3O3,175.095691,NA,Metabolite,12282,C6H13N3O3,,1,0,96,Metabolite,0.5,-0.2777816829103846,NA,NA,0,NA,0,0.22221831708961542,5,8.423805916120397,175.09592354766943,13.64282,0.1,0.32221831708961546,1,(2S)-2-amino-5-(carbamoylamino)pentanoic acid C6H13N3O3
39,6,C5H10N2O3,146.06914210600002,NA,Adduct,9212,C5H7N1O3,H3N1,1,0.01,126,Artifact,0,-0.05261792200035106,0,0,0,NA,0,-0.05261792200035106,6,5.953835231791401,146.06942354766943,11.29493,0,-0.05261792200035106,1,"4-hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid C5H7N1O3 + H3N1 -> C5H10N2O3"
41,7,C6H13N1O3,147.089543,NA,Metabolite,15499,C6H13N1O3,,1,0,146,Metabolite,0.5,-0.05923664581885998,NA,NA,0,NA,0,0.44076335418114004,7,6.397970929338387,147.08982354766945,9.947072,0.1,0.5407633541811401,1,"(2S,3R,4S,5R)-2-methylpiperidine-3,4,5-triol C6H13N1O3"
45,8,C5H7N1O3,129.042593,NA,Metabolite,10197,C5H7N1O3,,1,0,194,Metabolite,0.5,-0.18173001404177272,NA,NA,0,NA,0,0.3182699859582273,9,8.187829493125763,129.04282354766943,13.38611,0.1,0.4182699859582273,1,"4-hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid C5H7N1O3"
49,9,C22H29N1O6,403.199488,NA,Metabolite,46372,C22H29N1O6,,1,0,226,Metabolite,0.5,-0.18143188597960774,NA,NA,0,NA,0,0.31856811402039226,10,8.135680830757646,403.2002235476694,2.789811,0.1,0.4185681140203923,1,"4-hydroxy-3-[(2E,4E,6R)-1-hydroxy-6-[(1S,3R,4R,5S,6S)-6-hydroxy-1,4,8-trimethyl-2,9-dioxabicyclo[3.3.1]non-7-en-3-yl]-4-methylhepta-2,4-dienyl]pyrrol-2-one C22H29N1O6"
61,10,C6H10N2O3,158.06914189399998,NA,Fragment,5,C6H13N3O3,H3N1,-1,0.01,244,Artifact,0,-0.4074383679705713,0,0,0,NA,0,-0.4074383679705713,11,8.091593373554488,158.06932354766946,13.64282,0,-0.4074383679705713,1,2-pyrazol-1-ylethanol C5H8N2O1 + C1H2O2 -> C6H10N2O3
