label,metaGroupId,groupId,goodPeakCount,medMz,medRt,maxQuality,isotopeLabel,compound,compoundId,formula,expectedRtDiff,ppmDiff,parent,pseudo_sample
,,1,,258.1102,13.58462,0.8398746,,,,,,,,557256745.5333323
,,2,,258.1089,7.241544,0.8198342,,,,,,,,218904.8343750001
,,3,,175.1193,16.81239,0.818905,,,,,,,,446412056.466666
,,4,,176.1073,2.829034,0.7644091,,,,,,,,171457.44270833326
,,5,,176.1032,13.64282,0.836544,,,,,,,,265341949.79999977
,,6,,147.0767,11.29493,0.6820054,,,,,,,,899156.383333334
,,7,,148.0971,9.947072,0.8324896,,,,,,,,2500178.000000001
,,9,,130.0501,13.38611,0.8216932,,,,,,,,154109529.0000003
,,10,,404.2075,2.789811,0.8381257,,,,,,,,136672403.13333344
,,11,,159.0766,13.64282,0.8364552,,,,,,,,123479076.73333329
,,12,,159.0768,11.29493,0.8278788,,,,,,,,2183764.616666667
,,13,,217.1297,13.38127,0.8414943,,,,,,,,98280860.73333329
,,15,,156.0769,13.50228,0.8216522,,,,,,,,77800831.40000007
,,16,,156.0772,11.28037,0.611363,,,,,,,,406776.1385416665
,,17,,176.8757,13.95752,0.8423162,,,,,,,,66032241.80000007
,,18,,554.1768,2.52455,0.8385853,,,,,,,,48892281.799999975
,,21,,259.1147,11.16478,0.7384372,,,,,,,,17487.296809895885
,,22,,176.0921,9.205852,0.6346649,,,,,,,,174671.52187500018
,,23,,203.114,13.45873,0.8432624,,,,,,,,47352253.93333335
,,24,,387.1808,2.780006,0.8385569,,,,,,,,45696259.93333332
,,25,,387.1777,16.81244,0.802088,,,,,,,,80986.24296874998
,,26,,486.286,2.799611,0.8354048,,,,,,,,45847486.06666662
,,27,,628.1957,2.495217,0.8377073,,,,,,,,37400904.46666664
,,28,,480.158,2.544094,0.8392507,,,,,,,,36596486.733333364
,,31,,134.1178,10.3693,0.8394685,,,,,,,,36712548.60000001
,,32,,555.1772,2.52455,0.839579,,,,,,,,24975806.466666646
,,33,,613.1603,14.16942,0.8378466,,,,,,,,29025524.199999955
,,34,,136.9404,13.95752,0.8418685,,,,,,,,29843176.20000002
,,35,,176.1215,16.81239,0.8405725,,,,,,,,28861984.333333302
,,36,,702.2142,2.480556,0.8379071,,,,,,,,23602155.066666678
,,37,,515.2136,13.58463,0.8525833,,,,,,,,23444398.066666696
,,38,,176.1184,16.84155,0.8601297,,,,,,,,2524470.362500002
,,39,,629.1962,2.495217,0.8382602,,,,,,,,21579873.000000007
,,40,,133.0974,16.26544,0.8249288,,,,,,,,26312722.33333334
,,41,,133.0973,13.64282,0.7079454,,,,,,,,950492.8419270855
,,42,,133.0974,6.212156,0.6160591,,,,,,,,3261551.9291666704
,,44,,169.0586,13.36192,0.8357005,,,,,,,,25863421.66666669
,,45,,169.0587,11.30955,0.829267,,,,,,,,812622.4791666665
,,46,,174.887,13.87395,0.8397503,,,,,,,,16131016.799999988
,,48,,166.0866,8.862962,0.829914,,,,,,,,22338967.40000002
,,50,,184.0738,14.34945,0.8361035,,,,,,,,19637500.533333335
,,51,,184.0735,13.57492,0.8093835,,,,,,,,1685307.3916666678
,,52,,481.1579,2.544094,0.8396375,,,,,,,,15249388.999999994
,,57,,494.3252,7.095434,0.8319777,,,,,,,,14432784.733333366
,,58,,494.3252,3.071689,0.8223146,,,,,,,,7411305.349999995
,,59,,186.1604,16.01457,0.8404489,,,,,,,,18051062.266666684
,,60,,186.1605,14.21908,0.7412449,,,,,,,,1974563.216666672
,,63,,703.2148,2.480556,0.8390324,,,,,,,,14943857.466666678
,,64,,536.1665,2.490328,0.8350641,,,,,,,,15718350.93333333
,,65,,212.1495,4.53335,0.8174856,,,,,,,,17541737.066666715
,,66,,177.1062,13.64282,0.8375134,,,,,,,,17659086.866666712
,,67,,556.1735,2.52455,0.8396705,,,,,,,,13666502.63333333
,,68,,294.2278,4.538289,0.8182259,,,,,,,,16965607.333333377
,,69,,198.0852,13.66226,0.8500579,,,,,,,,14002320.26666666
,,70,,212.8427,13.89364,0.841019,,,,,,,,11933800.399999993
,,71,,244.095,13.09561,0.8522331,,,,,,,,14121869.53333333
,,73,,280.0921,13.58462,0.8431664,,,,,,,,15568118.666666664
,,74,,280.0925,14.42019,0.7983277,,,,,,,,79667.92369791665
,,75,,280.0924,16.26046,0.7947501,,,,,,,,25018.882617187504
,,76,,198.0935,11.93971,0.8523278,,,,,,,,155002.4036458334
,,77,,256.1756,4.632761,0.8261162,,,,,,,,15717926.333333325
,,78,,630.1932,2.500111,0.8392096,,,,,,,,12826826.133333348
,,79,,776.2331,2.465911,0.8382346,,,,,,,,13634118.199999994
,,80,,189.1238,12.96302,0.8380067,,,,,,,,15374388.79166668
,,81,,189.1237,9.540117,0.7628276,,,,,,,,325276.38125000097
,,82,,189.1237,8.655639,0.6683854,,,,,,,,174388.46979166684
,,83,,298.0973,5.024506,0.8359743,,,,,,,,14994944.999999989
,,84,,445.234,2.8143,0.8339804,,,,,,,,14083945.26666667
,,87,,178.8736,13.95752,0.8425015,,,,,,,,14238434.86666667
,,88,,463.1313,2.544094,0.8388076,,,,,,,,11013205.733333321
,,89,,463.1333,12.9974,0.8301125,,,,,,,,378731.41666666686
,,90,,178.1264,16.80756,0.8512374,,,,,,,,90385.2110677084
,,91,,487.2893,2.799611,0.8362829,,,,,,,,14162617.866666669
,,92,,360.1504,13.85426,0.8387405,,,,,,,,11336007.600000028
,,93,,360.1505,14.83027,0.8380429,,,,,,,,8881220.93333333
,,94,,148.0795,13.38611,0.8411517,,,,,,,,13894811.866666669
,,95,,211.0692,11.28522,0.8408527,,,,,,,,11902794.500000006
,,96,,149.0637,13.48776,0.8350337,,,,,,,,12051613.46666667
,,97,,388.3425,2.514767,0.8384479,,,,,,,,12399246.066666666
,,98,,389.1122,2.57345,0.8384367,,,,,,,,10486659.666666664
,,99,,406.1388,2.578361,0.8383416,,,,,,,,9928380.96666666
,,101,,200.2377,7.175489,0.7478088,,,,,,,,226297.37916666645
,,102,,162.1128,13.19432,0.8411983,,,,,,,,11508842.83333334
,,104,,218.1138,11.29493,0.8404215,,,,,,,,9709864.633333325
,,105,,218.1139,12.34164,0.8373681,,,,,,,,460523.87708333315
,,106,,234.9175,13.95752,0.8446249,,,,,,,,11333743.000000006
,,108,,162.0764,10.57937,0.8278585,,,,,,,,12696915.4
,,111,,296.0664,13.88378,0.8323305,,,,,,,,4123505.6250000037
,,112,,296.0637,7.674223,0.8255082,,,,,,,,32523.289973958385
,,113,,388.1841,2.784911,0.8396839,,,,,,,,10902681.099999992
,,114,,348.0707,13.72561,0.8352396,,,,,,,,11304079.066666663
,,115,,378.2054,7.13014,0.8446483,,,,,,,,14750.070345052083
,,116,,378.2058,11.26452,0.7772692,,,,,,,,5816.658268229175
,,117,,972.9835,2.485445,0.852407,,,,,,,,9600543.499999996
,,118,,142.0977,13.68172,0.8361405,,,,,,,,12389091.533333324
,,120,,522.3566,7.095434,0.8283226,,,,,,,,8649186.900000002
,,121,,522.3566,3.071689,0.8150619,,,,,,,,5699210.900000005
,,122,,205.0686,11.82906,0.7691759,,,,,,,,11597766.933333326
,,123,,777.2335,2.465911,0.8383863,,,,,,,,9383946.433333337
,,124,,704.2119,2.480556,0.838578,,,,,,,,9594364.766666677
,,125,,310.8101,13.85917,0.8423973,,,,,,,,6665039.233333327
,,127,,316.1619,8.817706,0.8457139,,,,,,,,62109.16145833339
,,128,,316.1619,7.689378,0.8022864,,,,,,,,224639.57395833335
,,131,,166.0726,7.760862,0.8415661,,,,,,,,10658155.766666677
,,132,,166.0727,10.16357,0.693654,,,,,,,,92265.64026692703
,,133,,381.0799,14.83027,0.839635,,,,,,,,1515151.4416666655
,,134,,381.0798,13.88378,0.8053049,,,,,,,,8652169.43333334
,,136,,146.0928,13.22405,0.842796,,,,,,,,8205796.3999999985
,,137,,146.0927,17.03667,0.815275,,,,,,,,54102.98619791672
,,138,,223.075,14.16449,0.8183696,,,,,,,,9605842.466666667
,,139,,482.1546,2.539206,0.8369467,,,,,,,,7862564.2666666685
,,140,,288.1922,11.29007,0.8402267,,,,,,,,8517202.700000014
,,142,,664.1175,13.89856,0.8362244,,,,,,,,8692865.1
,,143,,274.1878,13.08089,0.8416191,,,,,,,,9371357.266666686
,,144,,296.0699,7.669173,0.8510041,,,,,,,,115822.97395833339
,,145,,154.099,13.23398,0.8301973,,,,,,,,64016.25904947917
,,146,,371.316,2.509878,0.8389983,,,,,,,,9039499.199999996
,,148,,695.3596,3.096467,0.7686067,,,,,,,,207051.46875000012
,,149,,695.3591,4.394478,0.7407174,,,,,,,,10644.83033854166
,,150,,972.4816,2.485445,0.8528195,,,,,,,,8574628.23333333
,,151,,268.1042,7.64395,0.8397221,,,,,,,,9483086.866666662
,,154,,177.0874,11.29007,0.8350812,,,,,,,,7583920.1
,,155,,177.0873,16.26545,0.8496438,,,,,,,,269147.5302083338
,,156,,160.0799,13.64768,0.8367364,,,,,,,,8228585.73333333
,,157,,160.0801,11.30467,0.8475053,,,,,,,,125700.39270833337
,,158,,218.133,13.38127,0.8435982,,,,,,,,8602956.166666668
,,159,,308.0912,13.4926,0.8340179,,,,,,,,6762604.76666667
,,162,,440.4104,2.583267,0.8360924,,,,,,,,7856323.033333341
,,163,,120.0658,13.02691,0.8332564,,,,,,,,8562407.562500007
,,164,,131.0534,13.38611,0.8318005,,,,,,,,8570308.93333333
,,165,,131.0535,11.28522,0.8356249,,,,,,,,385112.8964192706
,,166,,316.2123,2.8143,0.8304346,,,,,,,,7423547.200000021
,,169,,850.252,2.465911,0.8399376,,,,,,,,7279889.500000002
,,171,,614.1634,14.16942,0.8379309,,,,,,,,7633806.06666667
,,174,,362.2178,11.29495,0.7933882,,,,,,,,40509.401953124965
,,175,,214.1302,12.20651,0.8401417,,,,,,,,7858625.6000000015
,,176,,214.0591,13.83936,0.8154423,,,,,,,,3425603.925
,,177,,265.1121,15.55093,0.8123479,,,,,,,,8273884.26666668
,,179,,240.0958,11.29981,0.8409991,,,,,,,,6634465.11666667
,,180,,537.1955,13.57492,0.8530513,,,,,,,,6561185.016666668
,,181,,400.3064,2.696561,0.8396316,,,,,,,,5757739.066666673
,,183,,610.1851,2.490334,0.8341318,,,,,,,,7111858.666666669
,,184,,778.231,2.465911,0.8378435,,,,,,,,6463433.36666667
,,185,,281.1071,4.880389,0.8330005,,,,,,,,7929955.0333333295
,,186,,452.278,7.100389,0.8390071,,,,,,,,6008398.216666662
,,187,,452.278,3.071689,0.8277416,,,,,,,,2872102.5250000027
,,188,,371.1017,2.544095,0.83968,,,,,,,,6336290.55
,,191,,537.1666,2.495217,0.8350604,,,,,,,,6236532.233333322
,,192,,272.2587,2.873389,0.8339775,,,,,,,,5920206.566666664
,,193,,625.1161,13.74026,0.8430728,,,,,,,,6526474
,,194,,219.0977,13.57492,0.8365331,,,,,,,,5939808.949999997
,,195,,126.0664,4.7197,0.8295163,,,,,,,,6525559.266666661
,,196,,201.085,12.9581,0.8541198,,,,,,,,133569.70937500012
,,197,,608.0897,13.74026,0.8427641,,,,,,,,6118521.7333333315
,,198,,300.202,4.704051,0.8276699,,,,,,,,6458782.266666668
,,199,,973.485,2.480556,0.8518436,,,,,,,,5611936.483333336
,,202,,219.0959,4.538294,0.8481618,,,,,,,,47007.963151041695
,,206,,216.0573,13.83936,0.8249696,,,,,,,,238360.07135416672
