ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_rt_artifact,score_inten_isotope,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
75409,75461,29,9664,9684,0.7362176338317474,Biotransform,H-1N-1O1,0,0,C5H8N2O1,C5H7N1O2,35,0,0,NA,NA,0,0
10874,2190,53,1220,223,0.6819255095927172,Biotransform,H-1N-1O1,0,0,C6H7N3,C6H6N2O1,51,0,0,NA,NA,0,0
8355,2190,54,971,223,-0.13742326374793254,Biotransform,H-1N-1O1,0,0,C6H7N3,C6H6N2O1,53,0,0,NA,NA,0,0
8357,2190,55,972,223,-0.13742326374793254,Biotransform,H-1N-1O1,0,0,C6H7N3,C6H6N2O1,55,0,0,NA,NA,0,0
2190,42003,56,223,4484,0.6764709811484116,Biotransform,H-1N-1O1,0,0,C6H6N2O1,C6H5N1O2,57,0,0,NA,NA,0,0
1362,5771,60,152,655,0.6603115427636137,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,61,0,0,NA,NA,0,0
1362,5775,61,152,656,0.6603115427636137,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,65,0,0,NA,NA,0,0
33310,3202,76,3368,336,-0.12992648230515846,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,100,0,0,NA,NA,0,0
33310,2740,77,3368,293,0.6447242751711701,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,101,0,0,NA,NA,0,0
33310,24590,78,3368,2498,0.6447242751711701,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,102,0,0,NA,NA,0,0
33312,3202,80,3369,336,-0.12992648230515846,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,104,0,0,NA,NA,0,0
33312,2740,81,3369,293,0.6447242751711701,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,105,0,0,NA,NA,0,0
33312,24590,82,3369,2498,0.6447242751711701,Biotransform,H-1N-1O1,0,0,C5H12N4,C5H11N3O1,106,0,0,NA,NA,0,0
72909,10404,84,9212,1167,-0.89806402719819,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,111,0,0,NA,NA,0,0
72913,10404,85,9213,1167,-1.667137150817942,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,115,0,0,NA,NA,0,0
3727,69934,88,393,8650,1.4087577218060507,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,121,0,0,NA,NA,0,0
3971,69934,89,444,8650,1.4087577218060507,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,125,0,0,NA,NA,0,0
17017,69934,90,1776,8650,1.4087577218060507,Biotransform,H-1N-1O1,0,0,C6H11N1O2,C6H10O3,129,0,0,NA,NA,0,0
3202,5393,92,336,610,0.639847001217717,Biotransform,H-1N-1O1,0,0,C5H11N3O1,C5H10N2O2,134,0,0,NA,NA,0,0
2740,5393,93,293,610,-0.12894350197970722,Biotransform,H-1N-1O1,0,0,C5H11N3O1,C5H10N2O2,135,0,0,NA,NA,0,0
24590,5393,94,2498,610,-0.12894350197970722,Biotransform,H-1N-1O1,0,0,C5H11N3O1,C5H10N2O2,136,0,0,NA,NA,0,0
5393,53504,99,610,6099,-0.12797538098702843,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,137,0,0,NA,NA,0,0
5393,13356,100,610,1435,0.6350424812752553,Biotransform,H-1N-1O1,0,0,C5H10N2O2,C5H9N1O3,139,0,0,NA,NA,0,0
75199,1594,127,9605,178,-0.8842795737693283,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,161,0,0,NA,NA,0,0
75199,1599,128,9605,179,0.6302565945514891,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,165,0,0,NA,NA,0,0
71905,242,137,9027,35,-0.8840358930269631,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,175,0,0,NA,NA,0,0
71905,238,138,9027,34,-0.1269759158081959,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,177,0,0,NA,NA,0,0
71905,246,139,9027,36,-0.1269759158081959,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,179,0,0,NA,NA,0,0
73522,242,140,9319,35,-0.8840358930269631,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,181,0,0,NA,NA,0,0
73522,238,141,9319,34,-0.1269759158081959,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,183,0,0,NA,NA,0,0
73522,246,142,9319,36,-0.1269759158081959,Biotransform,H-1N-1O1,0,0,C5H13N3O1,C5H12N2O2,185,0,0,NA,NA,0,0
1594,2733,151,178,291,-0.1260715868361216,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,187,0,0,NA,NA,0,0
1599,2733,152,179,291,-1.6294065749982598,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,191,0,0,NA,NA,0,0
242,53645,155,35,6117,-0.12603710242033211,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,196,0,0,NA,NA,0,0
242,9197,156,35,1055,0.6254243164693494,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,198,0,0,NA,NA,0,0
242,64910,157,35,7707,0.6254243164693494,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,200,0,0,NA,NA,0,0
238,53645,158,34,6117,-0.8774989912925517,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,202,0,0,NA,NA,0,0
238,9197,159,34,1055,-0.1260370077083242,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,204,0,0,NA,NA,0,0
238,64910,160,34,7707,-0.1260370077083242,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,206,0,0,NA,NA,0,0
246,53645,161,36,6117,-0.8774989912925517,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,208,0,0,NA,NA,0,0
246,9197,162,36,1055,-0.1260370077083242,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,210,0,0,NA,NA,0,0
246,64910,163,36,7707,-0.1260370077083242,Biotransform,H-1N-1O1,0,0,C5H12N2O2,C5H11N1O3,212,0,0,NA,NA,0,0
25381,57825,167,2585,6696,-1.6176581525757658,Biotransform,H-1N-1O1,0,0,C4H7N1O2S1,C4H6O3S1,215,0,0,NA,NA,0,0
75306,68774,174,9632,8415,0.616303469283276,Biotransform,H-1N-1O1,0,0,C6H6N4,C6H5N3O1,227,0,0,NA,NA,0,0
23868,2219,176,2417,226,-0.8583755928629889,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,228,0,0,NA,NA,0,0
23868,2230,177,2417,227,-0.8583755928629889,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,232,0,0,NA,NA,0,0
23872,2219,178,2418,226,-0.8583755928629889,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,236,0,0,NA,NA,0,0
23872,2230,179,2418,227,-0.8583755928629889,Biotransform,H-1N-1O1,0,0,C5H5N5,C5H4N4O1,240,0,0,NA,NA,0,0
73204,15293,191,9257,1613,-0.12059885099535193,Biotransform,H-1N-1O1,0,0,C6H10N4,C6H9N3O1,252,0,0,NA,NA,0,0
15293,8928,192,1613,1018,-0.8337382716911832,Biotransform,H-1N-1O1,0,0,C6H9N3O1,C6H8N2O2,254,0,0,NA,NA,0,0
15293,8932,193,1613,1019,-0.11975156889815969,Biotransform,H-1N-1O1,0,0,C6H9N3O1,C6H8N2O2,258,0,0,NA,NA,0,0
15293,65422,194,1613,7782,-0.11975156889815969,Biotransform,H-1N-1O1,0,0,C6H9N3O1,C6H8N2O2,262,0,0,NA,NA,0,0
13543,30220,212,1444,3014,0.5777997310224728,Biotransform,H-1N-1O1,0,0,C6H9N1O3,C6H8O4,288,0,0,NA,NA,0,0
13543,30224,213,1444,3015,0.5777997310224728,Biotransform,H-1N-1O1,0,0,C6H9N1O3,C6H8O4,290,0,0,NA,NA,0,0
13543,30227,214,1444,3016,0.5777997310224728,Biotransform,H-1N-1O1,0,0,C6H9N1O3,C6H8O4,292,0,0,NA,NA,0,0
17105,934,223,1793,109,-0.11560267828814876,Biotransform,H-1N-1O1,0,0,C5H12N4O1,C5H11N3O2,300,0,0,NA,NA,0,0
17105,930,224,1793,108,0.5736464037967879,Biotransform,H-1N-1O1,0,0,C5H12N4O1,C5H11N3O2,304,0,0,NA,NA,0,0
