ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,Input_id,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,C8H20N1O6P1,257.1028239,0,Metabolite,11113,C8H20N1O6P1,,1,0,6,Metabolite,0.5,-0.5607755000036616,0.7253800000000012,0,0,NA,0,0.6646044999963396,1,8.74605533427237,257.10292354766943,13.58462,0.1,0.7646044999963396,1,Glycerophosphocholine C8H20N1O6P1
12,2,C10H15N3O5,257.101170642,5,Metabolite,11093,C10H14N2O5,H1N1,1,0,53,Putative metabolite,0,-0.12622589056197386,0,0,0,NA,0,-0.12622589056197386,2,5.340255352793159,257.1016235476694,7.241544,0,-0.12622589056197386,1,Cytidine C9H13N3O5 + C1H2 -> C10H15N3O5
16,3,C6H14N4O2,174.1116757,2,Metabolite,10226,C6H14N4O2,,1,0,100,Metabolite,0.5,-0.17393495651899427,NA,0,0,NA,0,0.32606504348100573,3,8.649735915289373,174.11202354766945,16.81239,0.1,0.4260650434810057,1,L-Arginine C6H14N4O2
22,4,C11H13N1O1,175.09971407999998,6,Metabolite,11156,C12H13N1O2,C1O1,-1,0,145,Putative metabolite,0,-0.0599347766038151,0,0,0,NA,0,-0.0599347766038151,4,5.234156341926923,175.10002354766945,2.829034,0,-0.0599347766038151,1,Indole-3-ethanol C10H11N1O1 + C1H2 -> C11H13N1O1
24,5,C6H13N3O3,175.0956913,2,Metabolite,10905,C6H13N3O3,,1,0,161,Metabolite,0.5,-0.1605576331956949,0.9171800000000001,0,0,NA,0,1.2566223668043053,5,8.423805916120397,175.09592354766943,13.64282,0.1,1.3566223668043051,1,citrulline C6H13N3O3
32,6,C5H10N2O3,146.0691422,3,Library_MS2_fragment,9573,C7H12N2O4,Library_MS2_fragment,-1,0.01,236,Artifact,0,-0.09619483835674955,0,0,0,NA,0,-0.09619483835674955,6,5.953835231791401,146.06942354766943,11.29493,0,-0.09619483835674955,1,Pyroglutamic acid C5H7N1O3 + H3N1 -> C5H10N2O3
35,7,C6H13N1O3,147.089543284,1,Adduct,9666,C5H11N1,C1H2O3,1,0.01,306,Artifact,0,-0.08763295844831642,0,0,0,NA,0,-0.08763295844831642,7,6.397970929338387,147.08982354766945,9.947072,0,-0.08763295844831642,1,Piperidine C5H11N1 + C1H2O3 -> C6H13N1O3
36,8,C5H7N1O3,129.042593058,3,Fragment,9077,C5H10N2O3,H3N1,-1,0.01,361,Artifact,0,-0.008103616044370572,0,0,0,NA,0.6629416074755918,0.6548379914312212,9,8.187829493125763,129.04282354766943,13.38611,0,0.6548379914312212,1,glutamine C5H10N2O3 - H3N1 -> C5H7N1O3
41,9,C22H29N1O6,403.199487662,9,Metabolite,1745,C22H26O7,H3N1O-1,1,2,402,Putative metabolite,0,-0.2115239114017218,0,0,0,NA,0,-0.2115239114017218,10,8.135680830757646,403.2002235476694,2.789811,0,-0.2115239114017218,1,Epigallocatechin C15H14O7 + C2H4 -> C17H18O7 + C5H8 -> C22H26O7 + H3N1O-1 -> C22H29N1O6
43,10,C6H10N2O3,158.069142172,3,Fragment,5,C6H13N3O3,H3N1,-1,0.01,415,Artifact,0,-0.273404146637571,0,0,0,NA,0.7566223668043053,0.48321822016673427,11,8.091593373554488,158.06932354766946,13.64282,0,0.48321822016673427,1,Peak 9664 C5H8N2O1 + C1H2O2 -> C6H10N2O3
