peak_id,id,medMz,medRt,log10_inten,class,formula,ppm_error,score_known_rt,score_MS2,level,accession,annotation
1,60,160.84212354766944,1.42,6.3,Unknown,Unknown,0,,,,,Unknown
2,62,164.83622354766945,1.42,5.86,Unknown,Unknown,0,,,,,Unknown
3,65,819.5187235476694,1.42,5.94,Metabolite,C46H77O10P1,-0.73,,,3,HMDB0010629,"HMDB0010629 PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H77O10P1"
4,66,280.1351235476694,1.45,5.76,Metabolite,C18H19N1O2,-2.85,,,3,HMDB0253595,HMDB0253595 Isbogrel C18H19N1O2
5,69,340.2034235476694,1.45,5.89,Artifact,[13]C1C18H32O3S1,-0.29,0,,,,Peak 21 C19H32O3S1 + [13]C1C-1 -> [13]C1C18H32O3S1
6,70,368.9768235476694,1.45,5.72,Putative metabolite,C4H13N4O10P3,1.08,0,,4,,HMDB0001511 Phosphocreatine C4H10N3O5P1 + H1O3P1 -> C4H11N3O8P2 - H-1N-1O1 -> C4H12N4O7P2 + H1O3P1 -> C4H13N4O10P3
7,71,773.5338235476695,1.45,5.63,Metabolite,C42H79O10P1,0,,,3,HMDB0010634,HMDB0010634 PG(18:1(9Z)/18:1(9Z)) C42H79O10P1
8,72,773.5883235476695,1.45,5.94,Artifact,C46H82N2O5S1,-1.55,0,,,,Peak 212 C47H82N2O7S1 - C1O2 -> C46H82N2O5S1
9,73,774.5918235476695,1.45,5.69,Artifact,[13]C1C45H82N2O5S1,-1.68,0,,,,Peak 8 C46H82N2O5S1 + [13]C1C-1 -> [13]C1C45H82N2O5S1
10,74,165.04092354766945,1.47,6.04,Metabolite,C5H10O6,-3.01,,,3,HMDB0000539,HMDB0000539 Arabinonic acid C5H10O6
11,75,265.1480235476694,1.47,6.51,Artifact,C14Ca1H26O2,2.25,0,,,,HMDB0000806 Myristic acid C14H28O2 + Ca1H-2 -> C14Ca1H26O2
12,76,272.1195235476694,1.47,6.11,Artifact,C20H17O1,4.03,0,,,,HMDB0258813 Tenax GC C20H18O1 - H1 -> C20H17O1
13,77,273.1273235476694,1.47,7.15,Metabolite,C20H18O1,4.38,,,3,HMDB0258813,HMDB0258813 Tenax GC C20H18O1
14,78,273.6290235476694,1.47,6.52,Unknown,Unknown,0,,,,,Unknown
15,79,274.1252235476694,1.47,5.98,Putative metabolite,C16F1H18N1O2,-1.09,0,,4,,HMDB0014850 Flurbiprofen C15F1H13O2 + C1H2O1 -> C16F1H15O3 + H3N1O-1 -> C16F1H18N1O2
16,81,311.16882354766943,1.47,6.88,Metabolite,C17H28O3S1,-0.64,,,3,HMDB0032549,HMDB0032549 N-Undecylbenzenesulfonic acid C17H28O3S1
17,82,312.17222354766943,1.47,6.15,Artifact,[13]C1C16H28O3S1,-0.64,0,,,,HMDB0032549 N-Undecylbenzenesulfonic acid C17H28O3S1 + [13]C1C-1 -> [13]C1C16H28O3S1
18,83,313.1653235476694,1.47,5.56,Artifact,[34]S1C17H28O3,-2.86,0,,,,HMDB0032549 N-Undecylbenzenesulfonic acid C17H28O3S1 + [34]S1S-1 -> [34]S1C17H28O3
19,84,325.1845235476694,1.47,6.82,Metabolite,C18H30O3S1,-0.61,,0.7544777676041935,2.1,HMDB0059915,HMDB0059915 4-Dodecylbenzenesulfonic Acid C18H30O3S1
20,85,326.18782354766944,1.47,6.08,Artifact,[13]C1C17H30O3S1,-0.61,0,,,,HMDB0059915 4-Dodecylbenzenesulfonic Acid C18H30O3S1 + [13]C1C-1 -> [13]C1C17H30O3S1
21,86,339.2000235476694,1.47,6.6,Putative metabolite,C19H32O3S1,-0.29,0,,4,,HMDB0032549 N-Undecylbenzenesulfonic acid C17H28O3S1 + C2H4 -> C19H32O3S1
22,87,353.20052354766943,1.47,5.72,Artifact,C16H34O6S1,-0.56,0,,,,HMDB0000220 Palmitic acid C16H32O2 + H2O4S1 -> C16H34O6S1
23,88,465.2894235476694,1.47,6.26,Artifact,C29H40N1O4,-2.14,0,,,,"HMDB0260098 (1S,2S,6R,15S,16R)-5-(Cyclopropylmethyl)-16-(2-hydroxy-3,3-dimethylbutan-2-yl)-15-methoxy-13-oxa-5-azahexacyclo[13.2.2.12,8.01,6.02,14.012,20]icosa-8(20),9,11-trien-11-ol C29H41N1O4 - H1 -> C29H40N1O4"
24,89,466.2930235476694,1.47,5.65,Artifact,[13]C1C28H40N1O4,-2.57,0,,,,"HMDB0260098 (1S,2S,6R,15S,16R)-5-(Cyclopropylmethyl)-16-(2-hydroxy-3,3-dimethylbutan-2-yl)-15-methoxy-13-oxa-5-azahexacyclo[13.2.2.12,8.01,6.02,14.012,20]icosa-8(20),9,11-trien-11-ol C29H41N1O4 - H1 -> C29H40N1O4 + [13]C1C-1 -> [13]C1C28H40N1O4"
25,90,467.30512354766944,1.47,6.08,Metabolite,C32H40N2O1,3.63,,,3,HMDB0254340,HMDB0254340 maropitant C32H40N2O1
26,91,474.28632354766944,1.47,6.57,Artifact,[13]C1C23H44N1O6S1,-2.74,0,,,,Peak 26 C24H45N1O6S1 - H1 -> C24H44N1O6S1 + [13]C1C-1 -> [13]C1C23H44N1O6S1
27,92,485.2830235476694,1.47,5.88,Unknown,Unknown,0,,,,,Unknown
28,93,489.2779235476694,1.47,6.2,Unknown,Unknown,0,,,,,Unknown
29,94,547.2621235476695,1.47,5.9,Metabolite,C23H40N4O11,0,,,3,HMDB0254948,HMDB0254948 MURABUTIDE C23H40N4O11
30,95,940.5761235476695,1.47,5.58,Artifact,C48H89K1N1O12P1,-7.97,0,,,,HMDB0112371 PS(16:1(9Z)/24:1(15Z)) C46H86N1O10P1 + C2H3K1O2 -> C48H89K1N1O12P1
31,97,218.98632354766943,1.5,5.89,Putative metabolite,C7F1H6O5P1,0.45,0,,4,,HMDB0256652 Phenylmethylsulfonyl fluoride C7F1H7O2S1 + H1O3P1 -> C7F1H8O5P1S1 - H2S1 -> C7F1H6O5P1
