ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
30601,30576,138,1746,1745,-0.08560621525544986,Natural_abundance,[10]B1B-1,1,0,B1C12H23O12,[10]B1C12H23O12,97,1,0,-0.01999904508977561,,,,0.980001,1
45689,45670,139,2393,2392,-0.08607622381822623,Natural_abundance,[10]B1B-1,1,0,B1C12H21O12,[10]B1C12H21O12,105,1,0,-0.24127700241060457,,,,0.758723,1
39367,39012,147,2157,2141,-0.6596691672041342,Natural_abundance,[10]B1B-1,1,0,B1C11H17O12,[10]B1C11H17O12,113,1,0,-0.008480761813392225,,,,0.9915192,1
63074,63035,174,3129,3128,0.5708384085205559,Natural_abundance,[10]B1B-1,1,0,B1C6H9O11Si1,[10]B1C6H9O11Si1,126,1,0,-0.018065577937947216,,,,0.9819344,1
23049,22850,184,1458,1451,-1.911628008573666,Natural_abundance,[10]B1B-1,1,0,[13]C1B1C8H15O9,[10]B1[13]C1C8H15O9,136,1,0,-0.02850386828868541,,,,0.9714961,1
23266,23234,185,1466,1465,-0.11404455994846695,Natural_abundance,[10]B1B-1,1,0,B1C9H15O9,[10]B1C9H15O9,145,1,0,-0.0027327783529145014,,,,0.9972672,1
19367,34268,271,1240,1887,-0.17302798990832574,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,180,0,0,,,,,0,0
35218,34268,272,1939,1887,-0.17302798990832574,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,184,0,0,,,,,0,0
31534,16381,281,1770,981,-0.14972025759592875,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,202,0,0,,,,,0,0
31534,19604,282,1770,1255,-0.14972025759592875,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,206,0,0,,,,,0,0
43287,16381,283,2298,981,-0.14972025759592875,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,210,0,0,,,0.1700167971033318,,0.1700168,1
43287,19604,284,2298,1255,-0.14972025759592875,Biotransform,H-1N-1O1,0,0,C4H9N1O2,C4H8O3,214,0,0,,,,,0,0
40810,33465,287,2206,1849,-0.14692528816006503,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,226,0,0,,,,,0,0
