ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,status,PubMed_Count,accession,FirstBlock,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_MS2,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,Unknown,161.84937645233055,0,Unknown,1,Unknown,,0,0,,0,,,1,Unknown,0,-0,,,0,0,,0,0,6.301029995663981,161.84937645233055,1.4199999999999997,-0.5,-0.5,1,Unknown
3,2,Unknown,165.84347645233055,0,Unknown,2,Unknown,,0,0,,0,,,3,Unknown,0,-0,,,0,0,,0,0,5.863322860120456,165.84347645233055,1.4199999999999997,-0.5,-0.5,1,Unknown
4,3,C46H77O10P1,820.525435154,9,Metabolite,10287,C46H77O10P1,,1,0,quantified,0,HMDB0010629,TZGMUGQUTJEGJC,5,Metabolite,0.4,-0.08246214975897645,,,0,0,,0,0.31753785024102354,5.939519252618618,820.5259764523305,1.4199999999999997,0.1,0.4175379,1,"HMDB0010629 PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H77O10P1"
8,4,C18H19N1O2,281.141578858,10,Metabolite,170859,C18H19N1O2,,1,0,detected,42,HMDB0253595,UWPBQLKEHGGKKD,27,Metabolite,0.3816734227789793,-0.35462307542977106,,,0,0,,0,0.027050347349208248,5.7558748556724915,281.1423764523306,1.45,0.1,0.1270503,1,HMDB0253595 Isbogrel C18H19N1O2
17,5,[13]C1C18H32O3S1,341.21057045399994,4,Natural_abundance,21,C19H32O3S1,[13]C1C-1,1,1.01,,,,,48,Artifact,0,-0.038831714129646894,0,,0,0,,0,-0.038831714129646894,5.886490725172482,341.2106764523306,1.45,0,-0.0388317,1,Peak 21 C19H32O3S1 + [13]C1C-1 -> [13]C1C18H32O3S1
27,6,C4H13N4O10P3,369.98445212599995,2,Metabolite,3264,C4H12N4O7P2,H1O3P1,1,2,,,,,62,Putative metabolite,0,-0.12692211361190406,0,,0,0,,0,-0.12692211361190406,5.7160033436347994,369.9840764523306,1.45,0,-0.1269221,1,HMDB0001511 Phosphocreatine C4H10N3O5P1 + H1O3P1 -> C4H11N3O8P2 - H-1N-1O1 -> C4H12N4O7P2 + H1O3P1 -> C4H13N4O10P3
40,7,C42H79O10P1,774.5410852179999,4,Metabolite,10292,C42H79O10P1,,1,0,quantified,299,HMDB0010634,DSNRWDQKZIEDDB,79,Metabolite,0.5238560627359832,-0.001414655322483516,,,0,0,,0,0.5224414074134996,5.633468455579586,774.5410764523306,1.45,0.1,0.6224414,1,HMDB0010634 PG(18:1(9Z)/18:1(9Z)) C42H79O10P1
97,8,C46H82N2O5S1,774.5944444739999,6,Fragment,212,C47H82N2O7S1,C1O2,-1,1.02,,,,,168,Artifact,0,-0.18267274227603097,0,,0,0,,0,-0.18267274227603097,5.939519252618618,774.5955764523305,1.45,0,-0.1826727,1,Peak 212 C47H82N2O7S1 - C1O2 -> C46H82N2O5S1
108,9,[13]C1C45H82N2O5S1,775.597799314,6,Natural_abundance,8,C46H82N2O5S1,[13]C1C-1,1,1.03,,,,,183,Artifact,0,-0.20583128454409072,0,,0,0,,0,-0.20583128454409072,5.690196080028514,775.5990764523306,1.45,0,-0.2058313,1,Peak 8 C46H82N2O5S1 + [13]C1C-1 -> [13]C1C45H82N2O5S1
119,10,C5H10O6,166.04773803999998,1,Metabolite,4166,C5H10O6,,1,0,detected,60,HMDB0000539,QXKAIJAYHKCRRA,186,Metabolite,0.38926649175053835,-0.33003485604645116,,,0,0,,0,0.05923163570408718,6.041392685158225,166.04817645233055,1.47,0.1,0.1592316,1,HMDB0000539 Arabinonic acid C5H10O6
