groupId,sample,peakMz,mzmax,mzmin,peakArea,peakIntensity,rt,rtmax,rtmin
60,n_glc,160.8421,160.8422,160.842,440000,2000000,1.42,1.47,1.01
62,n_glc,164.8362,164.8363,164.8361,140000,730000,1.42,1.47,1.01
65,n_glc,819.5187,819.5192,819.5171,160000,870000,1.42,1.76,1.33
66,n_glc,280.1351,280.1352,280.1349,120000,570000,1.45,1.84,1.39
69,n_glc,340.2034,340.2037,340.2032,130000,770000,1.45,1.79,1.3
70,n_glc,368.9768,368.977,368.9765,74000,520000,1.45,1.64,1.36
71,n_glc,773.5338,773.535,773.5321,74000,430000,1.45,1.67,1.36
72,n_glc,773.5883,773.5887,773.5879,89000,870000,1.45,1.59,1.39
73,n_glc,774.5918,774.5924,774.5916,60000,490000,1.45,1.59,1.39
74,n_glc,165.0409,165.041,165.0408,320000,1100000,1.47,1.87,1.42
75,n_glc,265.148,265.1482,265.1479,670000,3200000,1.47,2.36,1.39
76,n_glc,272.1195,272.1197,272.1193,280000,1300000,1.47,1.99,1.39
77,n_glc,273.1273,273.1275,273.1273,2900000,14000000,1.47,2.04,1.39
78,n_glc,273.629,273.6291,273.6289,720000,3300000,1.47,2.04,1.39
79,n_glc,274.1252,274.1254,274.125,230000,960000,1.47,2.01,1.39
81,n_glc,311.1688,311.169,311.1687,1500000,7600000,1.47,2.04,1.39
82,n_glc,312.1722,312.1725,312.172,250000,1400000,1.47,2.01,1.39
83,n_glc,313.1653,313.1661,313.1643,130000,360000,1.47,2.01,1.39
84,n_glc,325.1845,325.1847,325.1844,1300000,6600000,1.47,2.04,1.36
85,n_glc,326.1878,326.188,326.1876,230000,1200000,1.47,1.87,1.27
86,n_glc,339.2,339.2002,339.1999,780000,4000000,1.47,2.04,1.36
87,n_glc,353.2005,353.201,353.2003,100000,530000,1.47,1.87,1.39
88,n_glc,465.2894,465.2898,465.2891,400000,1800000,1.47,2.07,1.36
89,n_glc,466.293,466.2936,466.2929,55000,450000,1.47,1.56,1.39
90,n_glc,467.3051,467.3055,467.3049,230000,1200000,1.47,1.99,1.36
91,n_glc,474.2863,474.2865,474.2861,940000,3700000,1.47,2.04,1.33
92,n_glc,485.283,485.2833,485.2826,150000,760000,1.47,1.84,1.36
93,n_glc,489.2779,489.2785,489.2776,390000,1600000,1.47,2.3,1.33
94,n_glc,547.2621,547.263,547.2614,140000,800000,1.47,1.87,1.39
95,n_glc,940.5761,940.5777,940.5752,52000,380000,1.47,1.62,1.42
97,n_glc,218.9863,218.9864,218.9862,140000,780000,1.5,1.96,1.42
101,n_glc,240.0594,240.0596,240.0592,170000,660000,1.5,1.84,1.36
104,n_glc,243.1796,243.1799,243.1794,100000,580000,1.5,1.82,1.36
105,n_glc,249.1497,249.1499,249.1493,160000,580000,1.5,2.13,1.42
106,n_glc,268.9832,268.9833,268.983,87000,430000,1.5,1.79,1.39
107,n_glc,283.1106,283.1108,283.1104,350000,1600000,1.5,2.1,1.36
108,n_glc,297.1531,297.1532,297.153,500000,2400000,1.5,1.99,1.39
109,n_glc,307.2644,307.2646,307.2642,150000,590000,1.5,2.04,1.42
110,n_glc,313.0787,313.0788,313.0785,480000,2100000,1.5,1.9,1.36
111,n_glc,315.0754,315.0759,315.0751,42000,280000,1.5,1.64,1.39
112,n_glc,330.2522,330.2526,330.252,90000,440000,1.5,1.87,1.45
113,n_glc,337.3114,337.3118,337.3112,100000,540000,1.5,1.87,1.42
