mz,rt,rtmin,rtmax,n_glc
170.9848,62.400000000000006,60.6,73.2,170000
196.9963,62.400000000000006,60.6,73.2,310000
204.9707,64.2,60.6,85.19999999999999,96000
233.9761,64.2,60.6,81.60000000000001,57000
94.9251,66,60.6,85.19999999999999,210000
121.9441,66,60.6,87,150000
171.9811,66,60.6,73.2,560000
189.8582,66,60.6,74.4,160000
286.9739,66,60.6,85.19999999999999,110000
158.8468,67.8,62.400000000000006,79.80000000000001,64000
138.9877,71.39999999999999,62.400000000000006,76.2,41000
228.1256,71.39999999999999,60.6,76.2,56000
106.0427,73.2,71.39999999999999,85.19999999999999,190000
170.0724,73.2,71.39999999999999,83.39999999999999,67000
74.9619,74.4,71.39999999999999,85.19999999999999,53000
214.11,74.4,69.6,83.39999999999999,80000
215.0939,74.4,71.39999999999999,87,150000
222.0787,74.4,67.8,88.2,160000
223.0739,74.4,71.39999999999999,81.60000000000001,210000
227.1052,74.4,71.39999999999999,83.39999999999999,190000
229.0732,74.4,71.39999999999999,81.60000000000001,140000
239.1052,74.4,71.39999999999999,83.39999999999999,300000
244.1205,74.4,71.39999999999999,87,91000
247.0949,74.4,69.6,83.39999999999999,69000
249.0895,74.4,71.39999999999999,88.2,170000
251.1052,74.4,67.8,78,230000
264.1005,74.4,67.8,78,150000
268.9423,74.4,60.6,90,160000
271.095,74.4,67.8,81.60000000000001,140000
276.1004,74.4,67.8,78,90000
278.1161,74.4,71.39999999999999,81.60000000000001,130000
280.1318,74.4,69.6,79.80000000000001,72000
226.0929,76.2,66,85.19999999999999,57000
224.9339,78,60.6,79.80000000000001,58000
262.9294,78,60.6,85.19999999999999,84000
80.0254,79.80000000000001,71.39999999999999,83.39999999999999,160000
81.0458,79.80000000000001,71.39999999999999,83.39999999999999,410000
106.0411,79.80000000000001,71.39999999999999,83.39999999999999,27000000
107.0381,79.80000000000001,71.39999999999999,83.39999999999999,270000
115.0302,79.80000000000001,71.39999999999999,88.2,110000
119.0362,79.80000000000001,71.39999999999999,83.39999999999999,250000
120.0568,79.80000000000001,71.39999999999999,83.39999999999999,1500000
122.0724,79.80000000000001,69.6,83.39999999999999,140000
124.0598,79.80000000000001,69.6,83.39999999999999,73000
131.0445,79.80000000000001,71.39999999999999,83.39999999999999,130000
