id,mz,rt,rtmin,rtmax,n_glc,mean_inten
101,240.0594,1.5,1.36,1.84,660000,660000
150,328.2365,1.53,1.42,1.99,1900000,1900000
162,374.2345,1.53,1.47,2.24,1900000,1900000
165,375.2483,1.53,1.45,2.04,71000000,71000000
174,435.2638,1.53,1.45,1.82,9200000,9200000
186,224.0281,1.56,1.36,2.27,790000,790000
190,257.2372,1.56,1.47,1.9,1600000,1600000
537,582.3696,1.87,1.76,2.1,35000000,35000000
920,375.2426,2.64,2.41,2.7,5700000,5700000
1001,582.3695,2.7,2.56,2.76,14000000,14000000
1088,353.0585,2.78,2.76,3.18,3400000,3400000
1142,168.0667,2.93,2.67,3.47,45000000,45000000
1179,345.1265,2.95,2.87,3.41,4700000,4700000
1366,300.1877,3.47,3.41,3.67,47000000,47000000
1377,99.0078,3.53,3.33,3.76,2100000,2100000
1386,302.186,3.53,3.27,3.73,480000,480000
1584,112.0533,4.3,4.19,4.41,16000000,16000000
1671,129.0194,4.84,4.64,5.73,8600000,8600000
1836,242.8962,6.16,6.08,6.37,230000,230000
1849,210.9462,6.19,6.05,6.42,3400000,3400000
1894,243.89940000000001,6.25,6.08,6.37,190000,190000
1953,325.0355,6.6,6.48,6.68,240000,240000
1954,151.029,6.62,6.48,6.82,34000000,34000000
2005,166.0759,6.74,6.48,7.08,1000000,1000000
2020,164.0687,6.77,6.51,6.94,230000000,230000000
2025,165.075,6.77,6.4,7.96,23000000,23000000
2060,130.0893,6.82,6.65,7.11,350000000,350000000
2075,132.0941,6.85,6.74,7.11,1500000,1500000
2081,130.0511,6.88,6.68,7.59,3900000,3900000
2108,218.0992,6.91,6.74,7.31,390000000,390000000
2109,220.1077,6.91,6.71,7.85,3700000,3700000
2134,218.1079,6.97,6.74,7.34,2700000,2700000
2175,89.0271,7.19,7.05,7.73,1300000000,1300000000
2183,132.0941,7.22,7.11,7.47,1200000,1200000
2185,222.0121,7.22,7.14,7.59,1900000,1900000
2217,89.0025,7.31,7.05,8.19,4100000,4100000
2295,213.0076,7.62,7.47,7.85,530000,530000
2330,148.0439,7.7,7.47,8.93,47000000,47000000
2367,222.0121,7.73,7.65,7.9,290000,290000
2472,116.0718,8.1,7.9,9.27,120000000,120000000
2536,367.1055,8.16,7.85,8.67,29000000,29000000
2573,215.0372,8.24,8.13,8.36,61000000,61000000
2596,173.9951,8.33,7.87,8.67,580000,580000
2608,128.0326,8.36,8.27,8.47,280000000,280000000
2613,130.0396,8.36,8.24,8.79,1800000,1800000
2722,146.0483,8.56,8.44,8.67,94000000,94000000
2771,371.143,8.61,8.53,8.73,31000000,31000000
2775,390.1408,8.61,8.56,8.81,460000,460000
2863,369.1212,8.73,8.47,9.01,12000000,12000000
3048,89.0244,9.15,8.73,9.27,110000000,110000000
3056,113.0227,9.15,9.04,9.21,110000000,110000000
3068,161.0484,9.15,9.04,9.24,110000000,110000000
3070,179.0561,9.15,8.7,9.9,300000000,300000000
3073,181.0604,9.15,8.7,9.7,3800000,3800000
3089,101.0245,9.18,8.76,9.42,84000000,84000000
3129,214.9503,9.32,9.21,9.67,3000000,3000000
3142,215.0387,9.34,9.24,9.67,12000000,12000000
3143,217.0363,9.34,9.13,9.7,21000000,21000000
3154,134.865,9.37,9.21,10.04,1600000,1600000
3160,215.0328,9.37,9.18,9.79,1800000000,1800000000
3162,216.0362,9.37,9.18,9.76,130000000,130000000
3163,217.0298,9.37,9.18,9.79,630000000,630000000
3165,219.0364,9.37,9.21,9.62,7600000,7600000
3200,118.051,9.47,9.32,11.1,210000000,210000000
3261,125.0045,9.59,9.53,9.76,1100000,1100000
3279,124.0074,9.62,9.47,10.19,150000000,150000000
3355,145.0618,9.79,9.65,11.07,700000000,700000000
3359,146.0652,9.79,9.62,10.3,38000000,38000000
3361,147.0661,9.79,9.65,10.07,4400000,4400000
3410,74.0247,9.87,9.7,10.84,68000000,68000000
3495,104.0354,10.07,9.93,11.47,80000000,80000000
3543,306.0643,10.16,10.1,10.3,610000000,610000000
3564,306.0827,10.19,10.07,10.33,5400000,5400000
3568,307.0741,10.19,10.04,10.38,70000000,70000000
3613,146.0437,10.33,10.24,10.53,720000000,720000000
3625,128.0354,10.36,9.76,10.84,44000000,44000000
3630,147.0493,10.36,10.21,11.04,38000000,38000000
3632,148.0501,10.36,10.24,10.81,6000000,6000000
3650,239.0827,10.41,10.36,10.67,920000,920000
3683,132.0281,10.47,10.41,10.61,240000000,240000000
3835,174.0376,10.84,10.73,10.93,290000000,290000000
