id,mz,rt,rtmin,rtmax,n_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
101,240.0594,1.5,1.36,1.84,660000,F2683.png,TRUE,FALSE,635,2,FALSE,660000,FALSE,FALSE,FALSE
102,240.0631,1.5,1.39,1.76,660000,F2688.png,TRUE,FALSE,635,2,TRUE,660000,FALSE,FALSE,FALSE
150,328.2365,1.53,1.42,1.99,1900000,F4163.png,TRUE,FALSE,2291,2,FALSE,1900000,FALSE,FALSE,FALSE
162,374.2345,1.53,1.47,2.24,1900000,F4651.png,TRUE,FALSE,2835,2,FALSE,1900000,FALSE,FALSE,FALSE
165,375.2483,1.53,1.45,2.04,71000000,F4670.png,TRUE,FALSE,2856,2,FALSE,71000000,FALSE,FALSE,FALSE
174,435.2638,1.53,1.45,1.82,9200000,F5034.png,TRUE,FALSE,3268,2,FALSE,9200000,FALSE,FALSE,FALSE
175,435.2696,1.53,1.45,2.04,9200000,F5035.png,TRUE,FALSE,3268,2,TRUE,9200000,FALSE,FALSE,FALSE
186,224.0281,1.56,1.36,2.27,790000,F2377.png,TRUE,FALSE,296,2,FALSE,790000,FALSE,FALSE,FALSE
190,257.2372,1.56,1.47,1.9,1600000,F3024.png,TRUE,FALSE,1017,2,FALSE,1600000,FALSE,FALSE,FALSE
205,374.2314,1.56,1.47,1.7,1900000,F4650.png,TRUE,FALSE,2835,2,TRUE,1900000,FALSE,FALSE,FALSE
206,375.2428,1.56,1.45,2.13,71000000,F4669.png,TRUE,FALSE,2856,2,TRUE,71000000,FALSE,FALSE,FALSE
243,224.0319,1.59,1.39,1.79,790000,F2378.png,TRUE,FALSE,296,2,TRUE,790000,FALSE,FALSE,FALSE
251,257.2398,1.59,1.45,2.07,1600000,F3026.png,TRUE,FALSE,1017,2,TRUE,1600000,FALSE,FALSE,FALSE
263,328.2318,1.59,1.45,1.96,1900000,F4162.png,TRUE,FALSE,2291,2,TRUE,1900000,FALSE,FALSE,FALSE
537,582.3696,1.87,1.76,2.1,35000000,F5632.png,TRUE,FALSE,3965,2,FALSE,35000000,FALSE,FALSE,FALSE
538,582.3782,1.87,1.73,1.99,35000000,F5633.png,TRUE,FALSE,3965,2,TRUE,35000000,FALSE,FALSE,FALSE
920,375.2426,2.64,2.41,2.7,5700000,F4667.png,TRUE,FALSE,2858,2,FALSE,5700000,FALSE,FALSE,FALSE
921,375.2484,2.64,2.5,3.24,5700000,F4671.png,TRUE,FALSE,2858,2,TRUE,5700000,FALSE,FALSE,FALSE
1001,582.3695,2.7,2.56,2.76,14000000,F5631.png,TRUE,FALSE,3966,2,FALSE,14000000,FALSE,FALSE,FALSE
1002,582.3782,2.7,1.99,2.81,14000000,F5634.png,TRUE,FALSE,3966,2,TRUE,14000000,FALSE,FALSE,FALSE
1088,353.0585,2.78,2.76,3.18,3400000,F4443.png,TRUE,FALSE,2612,3,FALSE,3400000,FALSE,FALSE,FALSE
1089,353.0613,2.78,2.76,3.13,3400000,F4445.png,TRUE,FALSE,2612,3,TRUE,3400000,FALSE,FALSE,FALSE
1098,353.0561,2.81,2.76,3.13,3400000,F4442.png,TRUE,FALSE,2612,3,TRUE,3400000,FALSE,FALSE,FALSE
