peak_id,id,medMz,medRt,log10_inten,class,formula,ppm_error,score_known_rt,score_MS2,level,accession,annotation
1,11,179.03517645233055,1.12,4.97,Metabolite,C9H6O4,-7.3,,,3,HMDB0255614,HMDB0255614 Ninhydrin C9H6O4
2,26,449.98177645233056,1.2,4.62,Unknown,Unknown,0,,,,,Unknown
3,32,270.00167645233057,1.26,5.26,Putative metabolite,C7H12N1O4P1S2,0.37,0,,4,,HMDB0252284 4-Methyl-1-homopiperazinedithiocarboxylic acid C7H14N2S2 + H1O3P1 -> C7H15N2O3P1S2 - H3N1O-1 -> C7H12N1O4P1S2
4,45,475.29677645233056,1.43,6.52,Unknown,Unknown,0,,,,,Unknown
5,46,633.3842764523305,1.43,6.57,Putative metabolite,C37H52N4O3S1,-1.58,0,,4,,No edge connections.
6,47,633.8857764523306,1.43,6.34,Unknown,Unknown,0,,,,,Unknown
7,48,640.3918764523305,1.43,6.18,Metabolite,C32H49N9O5,1.72,,,3,HMDB0251733,HMDB0251733 Elamipretide C32H49N9O5
8,49,685.4348764523305,1.43,5.9,Unknown,Unknown,0,,,,,Unknown
9,50,718.4591764523306,1.43,6.3,Unknown,Unknown,0,,,,,Unknown
10,51,721.5059764523305,1.43,6.92,Putative metabolite,C42H72O7S1,1.67,0,,4,,"HMDB0296371 DG(20:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/0:0) C43H74O8 + S1 -> C43H74O8S1 - C1H2O1 -> C42H72O7S1"
11,52,389.2535764523306,1.46,6.45,Metabolite,C20H36O7,-0.52,,,3,HMDB0012109,"HMDB0012109 5,6-Dihydroxyprostaglandin F1a C20H36O7"
12,53,391.28407645233057,1.46,7.4,Metabolite,C24H38O4,0.51,,0.8385373873295228,2.1,HMDB0251427,HMDB0251427 Dioctyl phthalate C24H38O4
13,54,392.28747645233057,1.46,6.81,Artifact,[13]C1C23H38O4,0.51,0,,,,HMDB0251427 Dioctyl phthalate C24H38O4 + [13]C1C-1 -> [13]C1C23H38O4
14,55,413.26597645233056,1.46,6.92,Artifact,C24H37Na1O4,0.73,0,,,,HMDB0251427 Dioctyl phthalate C24H38O4 + H-1Na1 -> C24H37Na1O4
15,56,441.7875764523306,1.46,7.58,Artifact,C25H42K0.5N0.5O3.5S0.5,0,0,,,,No edge connections.
16,57,442.2893764523306,1.46,7.23,Artifact,[13]C0.5C2.5H7.5I1.5Ni1.5O7.5,-0.45,0,,,,No edge connections.
17,58,442.7907764523306,1.46,6.69,Artifact,[18]O0.5C24H40.5O6.5,-0.23,0,,,,No edge connections.
18,59,445.6356764523306,1.46,6.6,Unknown,Unknown,0,,,,,Unknown
19,60,473.3174764523306,1.46,6.36,Unknown,Unknown,0,,,,,Unknown
20,61,491.7955764523306,1.46,6.78,Unknown,Unknown,0,,,,,Unknown
21,62,492.2972764523306,1.46,6.45,Putative metabolite,C28H45N1O2S2,-1.63,0,,4,,"HMDB0242446 (1S,2R)-N-Methyl-1-oxo-2-pyridin-3-ylthiane-2-carbothioamide C12H16N2O1S2 - H1N1 -> C12H15N1O1S2 + C16H30O1 -> C28H45N1O2S2"
22,63,498.8033764523306,1.46,6.54,Artifact,C23.5H45.5N0.5Na0.5O8.5P0.5,0,0,,,,No edge connections.
23,64,576.3686764523305,1.46,7,Putative metabolite,C29H54N1O8P1,-4.69,0,,4,,"HMDB0010394 LysoPC(20:3(8Z,11Z,14Z)/0:0) C28H52N1O7P1 + C1H2O1 -> C29H54N1O8P1"
24,65,576.8702764523306,1.46,6.8,Unknown,Unknown,0,,,,,Unknown
25,66,577.3718764523305,1.46,6.34,Artifact,[13]C1C28H54N1O8P1,-4.34,0,,,,Peak 23 C29H54N1O8P1 + [13]C1C-1 -> [13]C1C28H54N1O8P1
26,67,583.3764764523305,1.46,7.26,Putative metabolite,C32H55O7P1,-1.2,0,,4,,HMDB0248245 alpha-Tocopherol phosphate C29H51O5P1 + C2H4 -> C31H55O5P1 + C1O2 -> C32H55O7P1
27,68,583.8782764523305,1.46,7.11,Unknown,Unknown,0,,,,,Unknown
28,69,584.3796764523305,1.46,6.65,Unknown,Unknown,0,,,,,Unknown
29,70,663.4528764523305,1.46,7.28,Putative metabolite,C35H66O9S1,-4.23,0,,4,,HMDB0032086 Muricoreacin C35H64O9 + H2S1 -> C35H66O9S1
30,71,664.4562764523305,1.46,6.92,Artifact,[13]C1C34H66O9S1,-4.37,0,,,,Peak 29 C35H66O9S1 + [13]C1C-1 -> [13]C1C34H66O9S1
31,72,667.9496764523306,1.46,6.92,Artifact,C15F24H-1O2,1.95,0,,,,Peak 33 C15F24O2 - H1 -> C15F24H-1O2
32,73,668.4511764523305,1.46,6.85,Unknown,Unknown,0,,,,,Unknown
33,74,668.9526764523305,1.46,6.38,Unknown,Unknown,0,,,,,Unknown
34,75,680.4793764523305,1.46,6.49,Artifact,C35H69N1O9S1,-4.12,0,,,,Peak 29 C35H66O9S1 + H3N1 -> C35H69N1O9S1
35,76,713.4211764523305,1.46,7.04,Putative metabolite,C36H60N2O12,0.98,0,,4,,HMDB0242378 Cholylasparagine C28H46N2O7 + C6H10O5 -> C34H56N2O12 + C2H4 -> C36H60N2O12
36,77,714.4246764523306,1.46,6.6,Artifact,[13]C1C35H60N2O12,0.84,0,,,,Peak 35 C36H60N2O12 + [13]C1C-1 -> [13]C1C35H60N2O12
37,78,717.9574764523305,1.46,6.48,Unknown,Unknown,0,,,,,Unknown
38,79,722.5100764523305,1.46,6.64,Artifact,[13]C1C41H72O7S1,0.55,0,,,,Peak 10 C42H72O7S1 + [13]C1C-1 -> [13]C1C41H72O7S1
39,80,724.9654764523306,1.46,6.68,Unknown,Unknown,0,,,,,Unknown
40,81,725.4671764523305,1.46,6.58,Unknown,Unknown,0,,,,,Unknown
41,82,884.5739764523305,1.46,6.63,Artifact,C47H84N1Na2O9P1,1.36,0,,,,"HMDB0008392 PC(20:3(5Z,8Z,11Z)/P-18:1(11Z)) C46H84N1O7P1 + H-1Na1 -> C46H83N1Na1O7P1 + C1H1Na1O2 -> C47H84N1Na2O9P1"
42,83,996.5990764523306,1.46,6.36,Artifact,C52H87N1Na2O14,0.4,0,,,,Peak 191 C48H80O7 + N1Na1O3 -> C48H80N1Na1O10 + C4H7Na1O4 -> C52H87N1Na2O14
43,84,149.02317645233055,1.49,6.73,Artifact,C8H4O3,0.68,0,,,HMDB0000328,HMDB0251427 Dioctyl phthalate C24H38O4 - Library_MS2_fragment -> C8H4O3
44,85,226.17997645233055,1.49,6.4,Putative metabolite,C13H23N1O2,0.89,0,,4,,HMDB0013286 N-Undecanoylglycine C13H25N1O3 - H2O1 -> C13H23N1O2
45,86,228.19567645233056,1.49,6.58,Putative metabolite,C13H25N1O2,0.44,0,,4,,HMDB0013286 N-Undecanoylglycine C13H25N1O3 - O1 -> C13H25N1O2
46,87,295.1952764523306,1.49,6.11,Artifact,[13]C0.333333333333333C1.66666666666667H5I1Ni1O5,0,0,,,,No edge connections.
47,88,357.2142764523306,1.49,6.11,Artifact,C18H30N1O6,0.84,0,,,,Peak 35 C36H60N2O12 / 2 -> C18H30N1O6
48,89,384.91607645233057,1.49,5.99,Artifact,Ring_artifact_[34]S0.5C20H40N0.5O4P0.5,0,0,,,,No edge connections.
49,90,398.24107645233056,1.49,7.41,Artifact,C19H37N1Na1O4P1,5.03,0,,,,Peak 78 C19H38N1O4P1 + H-1Na1 -> C19H37N1Na1O4P1
50,91,399.2443764523306,1.49,6.78,Artifact,[13]C1C18H37N1Na1O4P1,5.02,0,,,,Peak 78 C19H38N1O4P1 + H-1Na1 -> C19H37N1Na1O4P1 + [13]C1C-1 -> [13]C1C18H37N1Na1O4P1
51,92,414.2150764523306,1.49,7.04,Artifact,C19H37K1N1O4P1,4.6,0,,,,Peak 78 C19H38N1O4P1 + H-1K1 -> C19H37K1N1O4P1
52,93,421.3170764523306,1.49,6.48,Putative metabolite,C22H44O7,-2.62,0,0,4,,HMDB0061822 Hexaethylene glycol C12H26O7 - C5H8 -> C7H18O7 - C2H4 -> C5H14O7 + C16H30O1 -> C21H44O8 - H2O1 -> C21H42O7 + C1H2 -> C22H44O7
53,94,430.2431764523306,1.49,7.04,Metabolite,C22H31N5O4,3.96,,,3,HMDB0254416,HMDB0254416 Melagatran C22H31N5O4
54,95,431.2465764523306,1.49,6.36,Artifact,[13]C1C21H31N5O4,3.95,0,,,,HMDB0254416 Melagatran C22H31N5O4 + [13]C1C-1 -> [13]C1C21H31N5O4
55,97,445.9701764523306,1.49,6.52,Unknown,Unknown,0,,,,,Unknown
56,98,476.3227764523306,1.49,6.28,Putative metabolite,C25H49N1O3S2,-0.21,0,,4,,HMDB0013639 8-[(Aminomethyl)sulfanyl]-6-sulfanyloctanoic acid C9H19N1O2S2 + C16H30O1 -> C25H49N1O3S2
57,99,526.3607764523306,1.49,7.45,Putative metabolite,C26H47N5O6,-1.71,0,,4,,HMDB0256711 Poststatin C26H47N5O7 - O1 -> C26H47N5O6
58,100,526.8625764523306,1.49,7.28,Unknown,Unknown,0,,,,,Unknown
59,101,527.3634764523305,1.49,6.8,Artifact,[13]C1C25H47N5O6,-0.38,0,,,,Peak 57 C26H47N5O6 + [13]C1C-1 -> [13]C1C25H47N5O6
60,102,527.8653764523306,1.49,6.26,Unknown,Unknown,0,,,,,Unknown
61,103,699.4053764523305,1.49,7.11,Putative metabolite,C35H58N2O12,1.29,0,,4,,HMDB0242378 Cholylasparagine C28H46N2O7 + C6H10O5 -> C34H56N2O12 + C1H2 -> C35H58N2O12
62,104,700.4086764523305,1.49,6.69,Artifact,C37F1H54N5O7,-1,0,,,,Peak 7 C35F1H50N5O5 + C2H4O2 -> C37F1H54N5O7
63,105,701.4109764523305,1.49,6.15,Artifact,[13]C1C36F1H54N5O7,0.57,0,,,,Peak 7 C35F1H50N5O5 + C2H4O2 -> C37F1H54N5O7 + [13]C1C-1 -> [13]C1C36F1H54N5O7
64,106,789.4667764523306,1.49,6.15,Metabolite,C37H74O13P2,1.27,,,3,HMDB0116524,HMDB0116524 PGP(a-13:0/i-18:0) C37H74O13P2
65,107,850.5411764523305,1.49,6.15,Artifact,C41H81N1Na1O13P1,0.47,0,,,,Peak 128 C39H78N1O11P1 + C2H3Na1O2 -> C41H81N1Na1O13P1
66,108,882.5674764523305,1.49,7.48,Artifact,C50H84K1N1O7S1,0.45,0,,,,Peak 209 C49H83N1O5S1 + C1H1K1O2 -> C50H84K1N1O7S1
67,109,883.5709764523306,1.49,7.15,Artifact,[13]C1C49H84K1N1O7S1,0.23,0,,,,Peak 209 C49H83N1O5S1 + C1H1K1O2 -> C50H84K1N1O7S1 + [13]C1C-1 -> [13]C1C49H84K1N1O7S1
68,110,257.5191764523306,1.52,6.18,Artifact,[13]C0.333333333333333C13.6666666666667H25.3333333333333N0.666666666666667O2.66666666666667S0.333333333333333,0,0,,,,No edge connections.
69,111,282.1415764523306,1.52,5.93,Artifact,[13]C1C14H20O5,0.36,0,,,,HMDB0250929 Deepoxy-deoxynivalenol C15H20O5 + [13]C1C-1 -> [13]C1C14H20O5
70,112,292.2017764523306,1.52,6.34,Metabolite,C16H25N3O2,0.69,,,3,HMDB0255234,HMDB0255234 N-Propionylprocainamide C16H25N3O2
71,113,294.8607764523306,1.52,6.63,Artifact,C16.6666666666667H28K0.333333333333333N0.333333333333333O2.33333333333333S0.333333333333333,0,0,,,,No edge connections.
72,114,300.1985764523306,1.52,7.54,Putative metabolite,C16H29N1O2S1,2.01,0,,4,,HMDB0059773 S-3-oxodecanoyl cysteamine C12H23N1O2S1 - C1H2 -> C11H21N1O2S1 + C5H8 -> C16H29N1O2S1
73,115,300.7001764523306,1.52,7.11,Artifact,C14H30N1O3.5P0.5S0.5,0,0,,,,No edge connections.
74,116,338.34157645233057,1.52,5.96,Metabolite,C22H43N1O1,0.59,,,3,HMDB0244507,HMDB0244507 13-Docosenamide C22H43N1O1
75,117,350.2065764523306,1.52,6.34,Artifact,C17H26N4.5O3.5,0.57,0,,,,No edge connections.
76,118,351.5774764523306,1.52,6.7,Unknown,Unknown,0,,,,,Unknown
77,119,376.2486764523306,1.52,6.72,Artifact,Ring_artifact_C19H38N1O4P1,0,0,,,,Peak 78 C19H38N1O4P1 + Ring_artifact -> Ring_artifact_C19H38N1O4P1
78,120,376.25917645233056,1.52,8.83,Artifact,C19H38N1O4P1,5.06,0,,,,Peak 118 C19H40N1O5P1 - H2O1 -> C19H38N1O4P1
79,121,377.2570764523306,1.52,6.88,Putative metabolite,C18H37N2O4P1,-1.86,0,,4,,HMDB0013648 Palmitoleoylethanolamde C18H35N1O2 - H-1N-1O1 -> C18H36N2O1 + H1O3P1 -> C18H37N2O4P1
80,123,378.2660764523306,1.52,7.18,Artifact,MS2_fragment_C25H35N3O1,-1.06,0,,,HMDB0259405,HMDB0259405 undecylprodigiosin C25H35N3O1 - Experiment_MS2_fragment -> MS2_fragment_C25H35N3O1
81,124,393.2857764523306,1.52,8.32,Putative metabolite,C20H40O7,-2.8,0,,4,,HMDB0061822 Hexaethylene glycol C12H26O7 - C5H8 -> C7H18O7 - C2H4 -> C5H14O7 + C16H30O1 -> C21H44O8 - H2O1 -> C21H42O7 - C1H2 -> C20H40O7
82,125,394.2832764523306,1.52,6.45,Metabolite,C25H35N3O1,5.09,,,3,HMDB0259405,HMDB0259405 undecylprodigiosin C25H35N3O1
83,127,395.2925764523306,1.52,6.71,Putative metabolite,C20H43O5P1,-1.27,0,,4,,HMDB0011144 LysoPA(O-18:0/0:0) C21H45O6P1 - C1H2O1 -> C20H43O5P1
84,128,401.3411764523306,1.52,6.11,Metabolite,C27H44O2,0.5,,,3,HMDB0003550,HMDB0003550 Calcidiol C27H44O2
85,129,434.24447645233056,1.52,6.08,Artifact,Ring_artifact_C22H43N1O7,0,0,,,,Peak 86 C22H43N1O7 + Ring_artifact -> Ring_artifact_C22H43N1O7
86,130,434.3122764523306,1.52,7.83,Putative metabolite,C22H43N1O7,-2.31,0,,4,,HMDB0000252 Sphingosine C18H37N1O2 + C6H8O6 -> C24H45N1O8 - C2H2O1 -> C22H43N1O7
87,131,435.31557645233056,1.52,7.15,Artifact,[13]C1C21H43N1O7,-2.3,0,,,,Peak 86 C22H43N1O7 + [13]C1C-1 -> [13]C1C21H43N1O7
88,132,437.19307645233056,1.52,6.72,Artifact,C24H29Na1O6,0.92,0,,,,HMDB0014838 Eplerenone C24H30O6 + H-1Na1 -> C24H29Na1O6
89,133,453.1671764523306,1.52,6.49,Artifact,C24H29K1O6,0.44,0,,,,HMDB0014838 Eplerenone C24H30O6 + H-1K1 -> C24H29K1O6
90,134,473.2642764523306,1.52,7.41,Artifact,C26H36N2O6,0.64,0,,,,HMDB0255800 Tropolone A C24H33N1O6 + C2H3N1 -> C26H36N2O6
91,136,599.3895764523305,1.52,8.18,Putative metabolite,C31H54N2O9,1,0,,4,,HMDB0033442 Mytilin B C14H22N2O8 + C16H30O1 -> C30H52N2O9 + C1H2 -> C31H54N2O9
