ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
52314,53058,302,2586,2630,2.788046273346368,Natural_abundance,[10]B1B-1,1,0,B1C15H21O9S2,[10]B1C15H21O9S2,161,1,0,-0.03208348509967863,,,,0.9679165,1
56316,58979,475,2850,2974,-2.8359621712427185,Biotransform,H-1N-1O1,0,0,C2H5N1O2,C2H4O3,234,0,0,,,,,0,0
18833,96276,486,997,4591,-0.18532546918989695,Biotransform,H-1N-1O1,0,0,C5H9N1,C5H8O1,274,0,0,,,,,0,0
14193,53613,492,651,2669,-0.17493990154698746,Biotransform,H-1N-1O1,0,0,C3H8N2O1,C3H7N1O2,290,0,0,,,,,0,0
14193,67921,493,651,3368,-0.17493990154698746,Biotransform,H-1N-1O1,0,0,C3H8N2O1,C3H7N1O2,294,0,0,,,,,0,0
55362,54121,496,2798,2702,-0.15416493177658647,Biotransform,H-1N-1O1,0,0,C4H8N2O1,C4H7N1O2,306,0,0,,,0.20620311307036204,,0.2062031,1
55362,61211,497,2798,3036,-0.15416493177658647,Biotransform,H-1N-1O1,0,0,C4H8N2O1,C4H7N1O2,310,0,0,,,0.293351430843925,,0.2933514,1
20885,18871,500,1266,1004,-0.15410941752893664,Biotransform,H-1N-1O1,0,0,C5H12N2,C5H11N1O1,322,0,0,,,,,0,0
96453,18871,503,4610,1004,-0.15410941752893664,Biotransform,H-1N-1O1,0,0,C5H12N2,C5H11N1O1,334,0,0,,,,,0,0
54121,37129,504,2702,2095,-0.15267815470313892,Biotransform,H-1N-1O1,0,0,C4H7N1O2,C4H6O3,338,0,0,,,,,0,0
31106,18483,511,1806,957,-1.0041561948295654,Biotransform,H-1N-1O1,0,0,C6H14N2,C6H13N1O1,356,0,0,,,,,0,0
31106,33046,512,1806,1929,-1.0041561948295654,Biotransform,H-1N-1O1,0,0,C6H14N2,C6H13N1O1,360,0,0,,,,,0,0
31106,20980,513,1806,1273,-0.13534350495787037,Biotransform,H-1N-1O1,0,0,C6H14N2,C6H13N1O1,364,0,0,,,,,0,0
30894,33469,518,1788,1963,4.9485383431699645,Biotransform,H-1N-1O1,0,0,C6H15N1O1,C6H14O2,374,0,0,,,,,0,0
41130,11805,523,2234,512,-0.127638386232266,Biotransform,H-1N-1O1,0,0,C6H7N3,C6H6N2O1,386,0,0,,,,,0,0
41130,58548,524,2234,2961,-0.127638386232266,Biotransform,H-1N-1O1,0,0,C6H7N3,C6H6N2O1,390,0,0,,,,,0,0
16926,48858,528,834,2471,-0.12359291521846859,Biotransform,H-1N-1O1,0,0,C5H7N3O1,C5H6N2O2,394,0,0,,,,,0,0
67955,57316,538,3369,2897,-0.11796740721976973,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,418,0,0,,,0.23160172606454307,,0.2316017,1
57316,62508,547,2897,3095,-0.1170948713151439,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,432,0,0,,,0.3227261971868536,,0.3227262,1
57316,80272,548,2897,3826,-0.1170948713151439,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,436,0,0,,,,,0,0
57316,42907,549,2897,2292,1.3862394343668156,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,440,0,0,,,,,0,0
62508,29364,552,3095,1707,-8.323946476682764,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,448,0,0,,,,,0,0
80272,29364,553,3826,1707,-8.323946476682764,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,452,0,0,,,,,0,0
42907,29364,554,2292,1707,-9.816257453946609,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,456,0,0,,,,,0,0
37768,37158,557,2120,2098,-0.11450006594981972,Biotransform,H-1N-1O1,0,0,C8H9N1O1,C8H8O2,469,0,0,,,,,0,0
27849,37792,566,1635,2121,-0.10667179879126543,Biotransform,H-1N-1O1,0,0,C9H7N1O1,C9H6O2,503,0,0,,,,,0,0
33051,17284,576,1930,853,0.5588517320437931,Biotransform,H-1N-1O1,0,0,C8H10N2O1,C8H9N1O2,540,0,0,,,,,0,0
27224,54346,581,1600,2734,-1.3724646769330264,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,553,0,0,,,,,0,0
27224,57851,582,1600,2922,-0.7358200812440656,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,557,0,0,,,,,0,0
33309,54346,583,1949,2734,-1.3724646769330264,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,561,0,0,,,,,0,0
33309,57851,584,1949,2922,-0.7358200812440656,Biotransform,H-1N-1O1,0,0,C7H12N2O2,C7H11N1O3,565,0,0,,,,,0,0
54346,20350,587,2734,1186,1.799479542734499,Biotransform,H-1N-1O1,0,0,C7H11N1O3,C7H10O4,579,0,0,,,,,0,0
57851,20350,588,2922,1186,1.1668000937681935,Biotransform,H-1N-1O1,0,0,C7H11N1O3,C7H10O4,583,0,0,,,,,0,0
27866,11196,590,1636,451,-0.09793276023145016,Biotransform,H-1N-1O1,0,0,C10H10N2,C10H9N1O1,591,0,0,,,,,0,0
27866,13077,591,1636,581,-0.09793276023145016,Biotransform,H-1N-1O1,0,0,C10H10N2,C10H9N1O1,596,0,0,,,,,0,0
27228,16644,594,1601,814,-0.09731097162293495,Biotransform,H-1N-1O1,0,0,C6H13N3O2,C6H12N2O3,606,0,0,,,,,0,0
16644,39113,597,814,2175,0.5241361929951641,Biotransform,H-1N-1O1,0,0,C6H12N2O3,C6H11N1O4,618,0,0,,,,,0,0
16644,62536,598,814,3099,0.5241361929951641,Biotransform,H-1N-1O1,0,0,C6H12N2O3,C6H11N1O4,622,0,0,,,,,0,0
95111,54170,607,4548,2707,-0.7087008578108301,Biotransform,H-1N-1O1,0,0,C6H14N2O3,C6H13N1O4,656,0,0,,,,,0,0
95111,58323,608,4548,2951,-0.7087008578108301,Biotransform,H-1N-1O1,0,0,C6H14N2O3,C6H13N1O4,660,0,0,,,,,0,0
36406,26142,615,2063,1532,0.49639816006486315,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,672,0,0,,,,,0,0
51973,26142,617,2568,1532,0.49639816006486315,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,676,0,0,,,,,0,0
54175,26142,619,2708,1532,0.49639816006486315,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,680,0,0,,,,,0,0
26142,86342,623,1532,4013,-0.091071122793575,Biotransform,H-1N-1O1,0,0,C7H10N2O3,C7H9N1O4,688,0,0,,,,,0,0
44400,30805,626,2342,1774,-0.09055364486367748,Biotransform,H-1N-1O1,0,0,C6H9N3O1S1,C6H8N2O2S1,692,0,0,,,,,0,0
19738,92697,627,1099,4363,-0.6715905736729416,Biotransform,H-1N-1O1,0,0,C6H13N5O1,C6H12N4O2,699,0,0,,,,,0,0
27093,50182,632,1592,2503,-0.6638586170720598,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,716,0,0,,,,,0,0
48055,66678,633,2452,3295,-0.08899272155787652,Biotransform,H-1N-1O1,0,0,C6H10N2O4,C6H9N1O5,720,0,0,,,,,0,0
57618,66678,634,2911,3295,-0.08899272155787652,Biotransform,H-1N-1O1,0,0,C6H10N2O4,C6H9N1O5,726,0,0,,,,,0,0
98385,58567,635,4700,2963,0.4821479732183213,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,732,0,0,,,0.1188218786983108,,0.1188219,1
98385,62286,636,4700,3079,0.4821479732183213,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,736,0,0,,,0.1188218786983108,,0.1188219,1
143558,58567,637,5620,2963,-0.08896852859472852,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,740,0,0,,,0.12959160608580308,,0.1295916,1
143558,62286,638,5620,3079,-0.08896852859472852,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,744,0,0,,,0.12959160608580308,,0.1295916,1
149432,58567,639,5859,2963,-0.08896852859472852,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,748,0,0,,,,,0,0
149432,62286,640,5859,3079,-0.08896852859472852,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,752,0,0,,,,,0,0
25151,80293,641,1464,3827,4.455848877337304,Biotransform,H-1N-1O1,0,0,C5H9N3O4,C5H8N2O5,756,0,0,,,,,0,0
65321,80293,642,3230,3827,-0.0884896315602537,Biotransform,H-1N-1O1,0,0,C5H9N3O4,C5H8N2O5,760,0,0,,,,,0,0
58567,50806,643,2963,2527,-0.0884713385714121,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,765,0,0,,,,,0,0
62286,50806,644,3079,2527,-0.0884713385714121,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,769,0,0,,,,,0,0
15842,50190,650,770,2505,-0.08602588835698803,Biotransform,H-1N-1O1,0,0,C8H12N4O1,C8H11N3O2,783,0,0,,,,,0,0
75869,124281,662,3671,5316,-5.997998076041195,Biotransform,H-1N-1O1,0,0,C3H8N1O6P1,C3H7O7P1,829,0,0,,,,,0,0
75869,84985,663,3671,3968,-0.08375591968160025,Biotransform,H-1N-1O1,0,0,C3H8N1O6P1,C3H7O7P1,834,0,0,,,,,0,0
31152,18255,664,1815,937,0.4535480857783447,Biotransform,H-1N-1O1,0,0,C9H19N3O1,C9H18N2O2,844,0,0,,,,,0,0
33313,18255,665,1950,937,0.4535480857783447,Biotransform,H-1N-1O1,0,0,C9H19N3O1,C9H18N2O2,846,0,0,,,,,0,0
18255,11827,668,937,516,-0.08325102318110432,Biotransform,H-1N-1O1,0,0,C9H18N2O2,C9H17N1O3,855,0,0,,,,,0,0
49424,36411,669,2486,2064,-0.08282662255788889,Biotransform,H-1N-1O1,0,0,C7H13N3O3,C7H12N2O4,859,0,0,,,,,0,0
49424,56329,670,2486,2852,-0.08282662255788889,Biotransform,H-1N-1O1,0,0,C7H13N3O3,C7H12N2O4,863,0,0,,,0.3593272891125565,,0.3593273,1
36411,64848,672,2064,3204,-0.08239554350288124,Biotransform,H-1N-1O1,0,0,C7H12N2O4,C7H11N1O5,871,0,0,,,,,0,0
56329,64848,673,2852,3204,-0.08239554350288124,Biotransform,H-1N-1O1,0,0,C7H12N2O4,C7H11N1O5,877,0,0,,,0.2919177351976748,,0.2919177,1
98397,65128,675,4703,3219,0.44641454076165216,Biotransform,H-1N-1O1,0,0,C7H16N4O2,C7H15N3O3,885,0,0,,,,,0,0
98397,56101,676,4703,2839,0.9752033697829711,Biotransform,H-1N-1O1,0,0,C7H16N4O2,C7H15N3O3,889,0,0,,,,,0,0
93869,65128,677,4478,3219,-0.0823748040871085,Biotransform,H-1N-1O1,0,0,C7H16N4O2,C7H15N3O3,893,0,0,,,,,0,0
93869,56101,678,4478,2839,0.44641430455223363,Biotransform,H-1N-1O1,0,0,C7H16N4O2,C7H15N3O3,897,0,0,,,,,0,0
74034,82411,682,3587,3898,-0.6049844604336508,Biotransform,H-1N-1O1,0,0,C6H10N2O5,C6H9N1O6,906,0,0,,,,,0,0
82411,87018,685,3898,4052,8.250972151085353,Biotransform,H-1N-1O1,0,0,C6H9N1O6,C6H8O7,925,0,0,,,,,0,0
16398,25679,691,799,1494,-0.07904403353516276,Biotransform,H-1N-1O1,0,0,C8H12N4O2,C8H11N3O3,948,0,0,,,,,0,0
16398,65345,692,799,3233,-0.07904403353516276,Biotransform,H-1N-1O1,0,0,C8H12N4O2,C8H11N3O3,951,0,0,,,,,0,0
19472,93131,704,1064,4409,-0.5692792989070393,Biotransform,H-1N-1O1,0,0,C7H10N2O3S1,C7H9N1O4S1,974,0,0,,,,,0,0
20069,42993,706,1142,2300,6.325939165017694,Biotransform,H-1N-1O1,0,0,C11H10N2S1,C11H9N1O1S1,978,0,0,,,,,0,0
20221,42993,707,1170,2300,5.83342664458065,Biotransform,H-1N-1O1,0,0,C11H10N2S1,C11H9N1O1S1,980,0,0,,,,,0,0
88001,30816,709,4146,1776,-0.07669096615436378,Biotransform,H-1N-1O1,0,0,C8H18N4O2,C8H17N3O3,986,0,0,,,,,0,0
88001,66117,710,4146,3271,-0.07669096615436378,Biotransform,H-1N-1O1,0,0,C8H18N4O2,C8H17N3O3,990,0,0,,,,,0,0
88001,75898,711,4146,3674,0.4156118595646793,Biotransform,H-1N-1O1,0,0,C8H18N4O2,C8H17N3O3,994,0,0,,,,,0,0
