ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,status,PubMed_Count,accession,FirstBlock,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_MS2,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
2,1,C9H6O4,178.026608672,7,Metabolite,174641,C9H6O4,,1,0,detected,1042,HMDB0255614,FEMOMIGRRWSMCU,5,Metabolite,0.45091421542132654,-0.9232297346199576,,,0,0,,0,-0.4723155191986311,4.973127853599698,178.02792354766945,1.12,0.1,-0.3723155,1,HMDB0255614 Ninhydrin C9H6O4
4,2,Unknown,448.97452354766943,0,Unknown,2,Unknown,,0,0,,0,,,14,Unknown,0,-0,,,0,0,,0,0,4.623249290397901,448.97452354766943,1.2,-0.5,-0.5,1,Unknown
6,3,C7H12N1O4P1S2,268.99453582399997,3,Metabolite,3212,C7H15N2O3P1S2,H3N1O-1,-1,2,,,,,22,Putative metabolite,0,-0.052174075851669825,0,,0,0,,0,-0.052174075851669825,5.2552725051033065,268.99442354766944,1.26,0,-0.0521741,1,HMDB0252284 4-Methyl-1-homopiperazinedithiocarboxylic acid C7H14N2S2 + H1O3P1 -> C7H15N2O3P1S2 - H3N1O-1 -> C7H12N1O4P1S2
14,4,Unknown,474.28952354766943,0,Unknown,4,Unknown,,0,0,,0,,,34,Unknown,0,-0,,,0,0,,0,0,6.518513939877887,474.28952354766943,1.43,-0.5,-0.5,1,Unknown
21,5,C37H52N4O3S1,632.376012294,14,Metabolite,91,C37H50N4O3,H2S1,1,2,,,,,45,Putative metabolite,0,-0.1998916882209968,0,,0,0,,0,-0.1998916882209968,6.568201724066995,632.3770235476695,1.43,0,-0.1998917,1,No edge connections.
26,6,Unknown,632.8785235476695,0,Unknown,6,Unknown,,0,0,,0,,,48,Unknown,0,-0,,,0,0,,0,0,6.342422680822207,632.8785235476695,1.43,-0.5,-0.5,1,Unknown
28,7,C32H49N9O5,639.3856657580001,13,Metabolite,171392,C32H49N9O5,,1,0,detected,119,HMDB0251733,SFVLTCAESLKEHH,51,Metabolite,0.4039590623023812,-0.2037522864628723,,,0,0,,0,0.2002067758395089,6.176091259055681,639.3846235476694,1.43,0.1,0.3002068,1,HMDB0251733 Elamipretide C32H49N9O5
39,8,Unknown,684.4276235476694,0,Unknown,8,Unknown,,0,0,,0,,,68,Unknown,0,-0,,,0,0,,0,0,5.897627091290442,684.4276235476694,1.43,-0.5,-0.5,1,Unknown
43,9,Unknown,717.4519235476695,0,Unknown,9,Unknown,,0,0,,0,,,72,Unknown,0,-0,,,0,0,,0,0,6.301029995663981,717.4519235476695,1.43,-0.5,-0.5,1,Unknown
49,10,C42H72O7S1,720.4998753739999,7,Metabolite,4641,C26H42O6S1,C16H30O1,1,1,,,,,87,Putative metabolite,0,-0.19983111201867376,0,,0,0,,0,-0.19983111201867376,6.919078092376074,720.4987235476694,1.43,0,-0.1998311,1,"HMDB0296371 DG(20:0/20:5(7Z,9Z,11E,13E,17Z)-3OH(5,6,15)/0:0) C43H74O8 + S1 -> C43H74O8S1 - C1H2O1 -> C42H72O7S1"
65,11,C20H36O7,388.246103492,3,Metabolite,13441,C20H36O7,,1,0,expected,1,HMDB0012109,SAAOVBGAFHJPIF,105,Metabolite,0.01505149978319906,-0.0708492845985681,,,0,0,,0,-0.05579778481536904,6.447158031342219,388.2463235476694,1.46,0.1,0.0442022,1,"HMDB0012109 5,6-Dihydroxyprostaglandin F1a C20H36O7"
74,12,C24H38O4,390.277009696,6,Metabolite,171116,C24H38O4,,1,0,detected,2895,HMDB0251427,MQIUGAXCHLFZKX,130,Metabolite,0.4730899278762555,-0.05962057907954815,,0.8385373873295228,0,0,,0,1.2520067361262301,7.3979400086720375,390.27682354766944,1.46,0.1,1.3520067,1,HMDB0251427 Dioctyl phthalate C24H38O4
101,13,[13]C1C23H38O4,391.280364536,6,Natural_abundance,12,C24H38O4,[13]C1C-1,1,0.01,,,,,168,Artifact,0,-0.04504069949624212,0,,0,0,,0.7520067361262301,0.706966036629988,6.8061799739838875,391.28022354766944,1.46,0,0.706966,1,HMDB0251427 Dioctyl phthalate C24H38O4 + [13]C1C-1 -> [13]C1C23H38O4
130,14,C24H37Na1O4,412.258954324,6,Adduct,12,C24H38O4,H-1Na1,1,0.01,,,,,211,Artifact,0,-0.0699731103919926,0,,0,0,,0.7520067361262301,0.6820336257342375,6.924279286061882,412.25872354766943,1.46,0,0.6820336,1,HMDB0251427 Dioctyl phthalate C24H38O4 + H-1Na1 -> C24H37Na1O4
144,15,C25H42K0.5N0.5O3.5S0.5,440.78027833400006,5,Multicharge,66,C50H84K1N1O7S1,2,-1,1.03,,,,,237,Artifact,0,-0.012822054313375417,0,,0,0,,0,-0.012822054313375417,7.57978359661681,440.7803235476694,1.46,0,-0.0128221,1,No edge connections.
168,16,[13]C0.5C2.5H7.5I1.5Ni1.5O7.5,441.28194866000007,-1.5,Multicharge,67,[13]C1C5H15I3Ni3O15,2,-1,0.03,,,,,253,Artifact,0,-0.04953966219231988,0,,0,0,,0,-0.04953966219231988,7.230448921378274,441.2821235476694,1.46,0,-0.0495397,1,No edge connections.
204,17,[18]O0.5C24H40.5O6.5,441.783439026,4.25,Multicharge,41,[18]O1C48H81O13,2,-1,1.03,,,,,313,Artifact,0,-0.023914904323305834,0,,0,0,,0,-0.023914904323305834,6.690196080028514,441.7835235476694,1.46,0,-0.0239149,1,No edge connections.
251,18,Unknown,444.6284235476694,0,Unknown,18,Unknown,,0,0,,0,,,322,Unknown,0,-0,,,0,0,,0,0,6.6020599913279625,444.6284235476694,1.46,-0.5,-0.5,1,Unknown
252,19,Unknown,472.3102235476694,0,Unknown,19,Unknown,,0,0,,0,,,323,Unknown,0,-0,,,0,0,,0,0,6.361727836017593,472.3102235476694,1.46,-0.5,-0.5,1,Unknown
260,20,Unknown,490.7883235476694,0,Unknown,20,Unknown,,0,0,,0,,,334,Unknown,0,-0,,,0,0,,0,0,6.778151250383644,490.7883235476694,1.46,-0.5,-0.5,1,Unknown
262,21,C28H45N1O2S2,491.28917115,7,Metabolite,2039,C12H15N1O1S2,C16H30O1,1,2,,,,,340,Putative metabolite,0,-0.2168777879354028,0,,0,0,,0,-0.2168777879354028,6.447158031342219,491.2900235476694,1.46,0,-0.2168778,1,"HMDB0242446 (1S,2R)-N-Methyl-1-oxo-2-pyridin-3-ylthiane-2-carbothioamide C12H16N2O1S2 - H1N1 -> C12H15N1O1S2 + C16H30O1 -> C28H45N1O2S2"
268,22,C23.5H45.5N0.5Na0.5O8.5P0.5,497.796115806,1.5,Multicharge,42,C47H91N1Na1O17P1,2,-1,0.03,,,,,350,Artifact,0,-0.0019439859988551013,0,,0,0,,0,-0.0019439859988551013,6.544068044350276,497.7961235476694,1.46,0,-0.001944,1,No edge connections.
278,23,C29H54N1O8P1,575.3587041879999,4,Metabolite,692,C28H54N1O7P1,C1O1,1,1,,,,,359,Putative metabolite,0,-0.5907965869232789,0,,0,0,,0,-0.5907965869232789,7,575.3614235476695,1.46,0,-0.5907966,1,"HMDB0010394 LysoPC(20:3(8Z,11Z,14Z)/0:0) C28H52N1O7P1 + C1H2O1 -> C29H54N1O8P1"
281,24,Unknown,575.8630235476695,0,Unknown,24,Unknown,,0,0,,0,,,365,Unknown,0,-0,,,0,0,,0,0,6.799340549453582,575.8630235476695,1.46,-0.5,-0.5,1,Unknown
291,25,[13]C1C28H54N1O8P1,576.362059028,4,Natural_abundance,23,C29H54N1O8P1,[13]C1C-1,1,1.01,,,,,384,Artifact,0,-0.5561867816650057,0,,0,0,,0,-0.5561867816650057,6.342422680822207,576.3646235476695,1.46,0,-0.5561868,1,Peak 23 C29H54N1O8P1 + [13]C1C-1 -> [13]C1C28H54N1O8P1
299,26,C32H55O7P1,582.36854059,6,Metabolite,689,C31H55O5P1,C1O2,1,2,,,,,390,Putative metabolite,0,-0.14659052255612234,0,,0,0,,0,-0.14659052255612234,7.2552725051033065,582.3692235476694,1.46,0,-0.1465905,1,HMDB0248245 alpha-Tocopherol phosphate C29H51O5P1 + C2H4 -> C31H55O5P1 + C1O2 -> C32H55O7P1
303,27,Unknown,582.8710235476694,0,Unknown,27,Unknown,,0,0,,0,,,392,Unknown,0,-0,,,0,0,,0,0,7.113943352306837,582.8710235476694,1.46,-0.5,-0.5,1,Unknown
304,28,Unknown,583.3724235476694,0,Unknown,28,Unknown,,0,0,,0,,,393,Unknown,0,-0,,,0,0,,0,0,6.653212513775344,583.3724235476694,1.46,-0.5,-0.5,1,Unknown
310,29,C35H66O9S1,662.4427544219999,3,Metabolite,5062,C35H64O9,H2S1,1,1,,,,,405,Putative metabolite,0,-0.5413912467198632,0,,0,0,,0,-0.5413912467198632,7.278753600952829,662.4456235476695,1.46,0,-0.5413912,1,HMDB0032086 Muricoreacin C35H64O9 + H2S1 -> C35H66O9S1
317,30,[13]C1C34H66O9S1,663.4461092619999,3,Natural_abundance,29,C35H66O9S1,[13]C1C-1,1,1.01,,,,,415,Artifact,0,-0.5490810837732585,0,,0,0,,0,-0.5490810837732585,6.919078092376074,663.4490235476695,1.46,0,-0.5490811,1,Peak 29 C35H66O9S1 + [13]C1C-1 -> [13]C1C34H66O9S1
321,31,C15F24H-1O2,666.9436810079999,4.5,Radical,33,C15F24O2,H1,-1,1.01,,,,,418,Artifact,0,-0.2356758835519143,0,,0,0,,0,-0.2356758835519143,6.924279286061882,666.9424235476695,1.46,0,-0.2356759,1,Peak 33 C15F24O2 - H1 -> C15F24H-1O2
322,32,Unknown,667.4439235476694,0,Unknown,32,Unknown,,0,0,,0,,,419,Unknown,0,-0,,,0,0,,0,0,6.8512583487190755,667.4439235476694,1.46,-0.5,-0.5,1,Unknown
327,33,Unknown,667.9454235476695,0,Unknown,33,Unknown,,0,0,,0,,,424,Unknown,0,-0,,,0,0,,0,0,6.380211241711606,667.9454235476695,1.46,-0.5,-0.5,1,Unknown
332,34,C35H69N1O9S1,679.4693035279998,3,Adduct,29,C35H66O9S1,H3N1,1,1.01,,,,,437,Artifact,0,-0.5187908517430475,0,,0,0,,0,-0.5187908517430475,6.491361693834273,679.4721235476695,1.46,0,-0.5187909,1,Peak 29 C35H66O9S1 + H3N1 -> C35H69N1O9S1
338,35,C36H60N2O12,712.41462538,8,Metabolite,1279,C20H30N2O11,C16H30O1,1,1,,,,,440,Putative metabolite,0,-0.12314323455206466,0,,0,0,,0,-0.12314323455206466,7.041392685158225,712.4139235476695,1.46,0,-0.1231432,1,HMDB0242378 Cholylasparagine C28H46N2O7 + C6H10O5 -> C34H56N2O12 + C2H4 -> C36H60N2O12
349,36,[13]C1C35H60N2O12,713.41798022,8,Natural_abundance,35,C36H60N2O12,[13]C1C-1,1,1.01,,,,,474,Artifact,0,-0.09753614745104479,0,,0,0,,0,-0.09753614745104479,6.6020599913279625,713.4174235476695,1.46,0,-0.0975361,1,Peak 35 C36H60N2O12 + [13]C1C-1 -> [13]C1C35H60N2O12
365,37,Unknown,716.9502235476695,0,Unknown,37,Unknown,,0,0,,0,,,480,Unknown,0,-0,,,0,0,,0,0,6.477121254719663,716.9502235476695,1.46,-0.5,-0.5,1,Unknown
373,38,[13]C1C41H72O7S1,721.5032302139999,7,Natural_abundance,10,C42H72O7S1,[13]C1C-1,1,1.01,,,,,525,Artifact,0,-0.07045469678121122,0,,0,0,,0,-0.07045469678121122,6.643452676486188,721.5028235476694,1.46,0,-0.0704547,1,Peak 10 C42H72O7S1 + [13]C1C-1 -> [13]C1C41H72O7S1
396,39,Unknown,723.9582235476695,0,Unknown,39,Unknown,,0,0,,0,,,535,Unknown,0,-0,,,0,0,,0,0,6.681241237375588,723.9582235476695,1.46,-0.5,-0.5,1,Unknown
399,40,Unknown,724.4599235476695,0,Unknown,40,Unknown,,0,0,,0,,,540,Unknown,0,-0,,,0,0,,0,0,6.57978359661681,724.4599235476695,1.46,-0.5,-0.5,1,Unknown
422,41,C47H84N1Na2O9P1,883.5679090879999,6,Adduct,142,C46H83N1Na1O7P1,C1H1Na1O2,1,0.02,,,,,580,Artifact,0,-0.1677206016412724,0,,0,0,,0,-0.1677206016412724,6.633468455579586,883.5667235476694,1.46,0,-0.1677206,1,"HMDB0008392 PC(20:3(5Z,8Z,11Z)/P-18:1(11Z)) C46H84N1O7P1 + H-1Na1 -> C46H83N1Na1O7P1 + C1H1Na1O2 -> C47H84N1Na2O9P1"
526,42,C52H87N1Na2O14,995.592195794,9,Adduct,286,C48H80N1Na1O10,C4H7Na1O4,1,1.02,,,,,703,Artifact,0,-0.04673679796353501,0,,0,0,,0,-0.04673679796353501,6.361727836017593,995.5918235476695,1.46,0,-0.0467368,1,Peak 191 C48H80O7 + N1Na1O3 -> C48H80N1Na1O10 + C4H7Na1O4 -> C52H87N1Na2O14
548,43,C8H4O3,148.01604398799998,6,Library_MS2_fragment,12,C24H38O4,Library_MS2_fragment,-1,0.01,expected,5,HMDB0000328,CVNYHSDFZXHMMJ,731,Artifact,0,-0.10171222599311205,0,,0,0,,0.7520067361262301,0.6502945101331181,6.732393759822968,148.01592354766944,1.49,0,0.6502945,1,HMDB0251427 Dioctyl phthalate C24H38O4 - Library_MS2_fragment -> C8H4O3
562,44,C13H23N1O2,225.17287898599997,3,Metabolite,426,C13H25N1O3,H2O1,-1,1,,,,,739,Putative metabolite,0,-0.08628832834093386,0,,0,0,,0,-0.08628832834093386,6.3979400086720375,225.17272354766945,1.49,0,-0.0862883,1,HMDB0013286 N-Undecanoylglycine C13H25N1O3 - H2O1 -> C13H23N1O2
564,45,C13H25N1O2,227.18852904999997,2,Metabolite,426,C13H25N1O3,O1,-1,1,,,,,752,Putative metabolite,0,-0.0580477868878043,0,,0,0,,0,-0.0580477868878043,6.57978359661681,227.18842354766943,1.49,0,-0.0580478,1,HMDB0013286 N-Undecanoylglycine C13H25N1O3 - O1 -> C13H25N1O2
566,46,[13]C0.333333333333333C1.66666666666667H5I1Ni1O5,294.18796577333336,-1,Multicharge,67,[13]C1C5H15I3Ni3O15,3,-1,0.03,,,,,783,Artifact,0,-0.02454822373354417,0,,0,0,,0,-0.02454822373354417,6.113943352306837,294.1880235476694,1.49,0,-0.0245482,1,No edge connections.
605,47,C18H30N1O6,356.20731269,4,Multicharge,35,C36H60N2O12,2,-1,1.01,,,,,815,Artifact,0,-0.10146560734650414,0,,0,0,,0,-0.10146560734650414,6.113943352306837,356.2070235476694,1.49,0,-0.1014656,1,Peak 35 C36H60N2O12 / 2 -> C18H30N1O6
620,48,Ring_artifact_[34]S0.5C20H40N0.5O4P0.5,383.9088235476694,,Ring_artifact,115,[34]S0.5C20H40N0.5O4P0.5,Ring_artifact,1,1.03,,,,,829,Artifact,0,-0,0,,0,0,,0,0,5.991226075692495,383.9088235476694,1.49,0,0,1,No edge connections.
