groupId,sample,peakMz,mzmax,mzmin,peakArea,peakIntensity,rt,rtmax,rtmin
11,p_glc,179.0352,179.0353,179.0351,30000,94000,1.12,1.4,1
26,p_glc,449.9818,449.982,449.9814,11000,42000,1.2,1.37,1
32,p_glc,270.0017,270.0019,270.0015,69000,180000,1.26,1.43,1
45,p_glc,475.2968,475.2972,475.2961,540000,3300000,1.43,1.8,1.35
46,p_glc,633.3843,633.3849,633.3835,360000,3700000,1.43,1.52,1.35
47,p_glc,633.8858,633.8864,633.8853,240000,2200000,1.43,1.55,1.35
48,p_glc,640.3919,640.3925,640.3913,190000,1500000,1.43,1.57,1.37
49,p_glc,685.4349,685.4357,685.4346,68000,790000,1.43,1.49,1.29
50,p_glc,718.4592,718.4601,718.459,210000,2000000,1.43,1.52,1.35
51,p_glc,721.506,721.5063,721.5058,800000,8300000,1.43,1.55,1.37
52,p_glc,389.2536,389.2539,389.2535,460000,2800000,1.46,1.66,1.37
53,p_glc,391.2841,391.2843,391.2839,4600000,25000000,1.46,1.97,1.4
54,p_glc,392.2875,392.2878,392.2872,1200000,6400000,1.46,1.97,1.4
55,p_glc,413.266,413.2671,413.2649,950000,8400000,1.46,1.77,1.37
56,p_glc,441.7876,441.7879,441.7875,7400000,38000000,1.46,1.89,1.37
57,p_glc,442.2894,442.29,442.2891,3600000,17000000,1.46,1.91,1.37
58,p_glc,442.7908,442.7916,442.7902,1000000,4900000,1.46,1.91,1.37
59,p_glc,445.6357,445.6368,445.6354,770000,4000000,1.46,1.86,1.37
60,p_glc,473.3175,473.3181,473.3171,380000,2300000,1.46,1.74,1.4
61,p_glc,491.7956,491.796,491.7954,1100000,6000000,1.46,1.86,1.37
62,p_glc,492.2973,492.298,492.2965,530000,2800000,1.46,1.86,1.37
63,p_glc,498.8034,498.8037,498.8032,410000,3500000,1.46,1.55,1.37
64,p_glc,576.3687,576.369,576.3682,1700000,10000000,1.46,2,1.37
65,p_glc,576.8703,576.8707,576.87,890000,6300000,1.46,1.66,1.37
66,p_glc,577.3719,577.3722,577.3715,320000,2200000,1.46,1.66,1.37
67,p_glc,583.3765,583.3771,583.3763,3300000,18000000,1.46,1.89,1.37
68,p_glc,583.8783,583.8787,583.878,2100000,13000000,1.46,1.89,1.37
69,p_glc,584.3797,584.3803,584.3786,870000,4500000,1.46,2.03,1.37
70,p_glc,663.4529,663.4536,663.4526,2800000,19000000,1.46,1.97,1.37
71,p_glc,664.4563,664.4575,664.456,1300000,8300000,1.46,1.94,1.37
72,p_glc,667.9497,667.9504,667.9493,1400000,8400000,1.46,1.91,1.37
73,p_glc,668.4512,668.4519,668.4506,800000,7100000,1.46,1.6,1.37
74,p_glc,668.9527,668.9532,668.9514,330000,2400000,1.46,1.6,1.37
75,p_glc,680.4794,680.4798,680.478,340000,3100000,1.46,1.6,1.37
76,p_glc,713.4212,713.4218,713.4205,1900000,11000000,1.46,2.06,1.37
77,p_glc,714.4247,714.4254,714.4242,690000,4000000,1.46,2,1.37
78,p_glc,717.9575,717.9582,717.9573,310000,3000000,1.46,1.55,1.35
79,p_glc,722.5101,722.5117,722.5093,630000,4400000,1.46,1.72,1.37
80,p_glc,724.9655,724.9661,724.9652,560000,4800000,1.46,1.57,1.35
