mz,rt,rtmin,rtmax,p_glc
124.0853,65.4,61.800000000000004,73.8,95000
181.0333,65.4,60,82.2,49000
286.9704,65.4,60,84,89000
308.9335,65.4,60,73.8,61000
319.0546,65.4,60,82.2,89000
367.9787,65.4,60,84,32000
531.9848,65.4,60,82.2,30000
597.0105,65.4,60,85.8,180000
620.9714,65.4,63.6,82.2,43000
761.0165,65.4,60,82.2,83000
179.0352,67.2,60,84,94000
218.9432,67.2,60,85.8,120000
284.9723,67.2,60,87.6,1000000
285.9757,67.2,60,84,77000
310.9017,67.2,60,84,82000
374.9626,67.2,60,84,64000
515.0074,67.2,60,85.8,420000
204.9674,68.39999999999999,60,84,42000
292.0356,68.39999999999999,60,84,150000
366.9753,68.39999999999999,60,87.6,340000
153.09,70.19999999999999,60,84,61000
183.124,70.19999999999999,60,84,62000
433.0044,70.19999999999999,60,87.6,550000
516.0108,70.19999999999999,60,84,61000
110.02,72,60,82.2,84000
449.9818,72,60,82.2,42000
456.1919,72,63.6,73.8,28000
196.9507,73.8,60,84,69000
316.08,73.8,60,84,56000
187.9986,75.6,60,85.8,73000
268.9984,75.6,60,87.6,2700000
270.0017,75.6,60,85.8,180000
292.9596,75.6,60,85.8,110000
421.1734,75.6,60,84,48000
612.9842,75.6,60,84,100000
694.9873,75.6,60,84,68000
701.6302,75.6,60,84,40000
225.881,77.4,60,82.2,58000
250.949,77.4,60,82.2,27000
349.9942,77.4,70.19999999999999,82.2,45000
80.9479,79.2,60,84,350000
215.0766,79.2,60,82.2,77000
283.8397,79.2,60,82.2,43000
456.9658,81,63.6,84,46000
475.2968,85.8,81,108,3300000
633.3843,85.8,81,91.2,3700000
633.8858,85.8,81,93,2200000
640.3919,85.8,82.2,94.2,1500000
685.4349,85.8,77.4,89.4,790000
718.4592,85.8,81,91.2,2000000
721.506,85.8,82.2,93,8300000
389.2536,87.6,82.2,99.6,2800000
391.2841,87.6,84,118.2,25000000
392.2875,87.6,84,118.2,6400000
413.266,87.6,82.2,106.2,8400000
441.7876,87.6,82.2,113.39999999999999,38000000
442.2894,87.6,82.2,114.6,17000000
442.7908,87.6,82.2,114.6,4900000
445.6357,87.6,82.2,111.60000000000001,4000000
473.3175,87.6,84,104.4,2300000
491.7956,87.6,82.2,111.60000000000001,6000000
492.2973,87.6,82.2,111.60000000000001,2800000
498.8034,87.6,82.2,93,3500000
576.3687,87.6,82.2,120,10000000
