id,mz,rt,rtmin,rtmax,p_glc,mean_inten
121,377.2571,1.52,1.43,2,150000000,150000000
125,394.2833,1.52,1.43,2,49000000,49000000
131,435.3156,1.52,1.43,1.89,14000000,14000000
152,119.0844,1.55,1.46,1.86,3200000,3200000
223,735.561,1.57,1.49,2.09,3500000,3500000
365,102.0913,1.69,1.63,2.11,1600000,1600000
389,243.1828,1.74,1.57,1.91,260000000,260000000
390,243.6844,1.74,1.6,1.91,77000000,77000000
430,520.3324,1.8,1.74,1.94,12000000,12000000
531,243.6844,2,1.91,3.08,39000000,39000000
865,768.5365,2.6,2.49,3.2,8200000,8200000
866,769.54,2.6,2.49,3.23,3500000,3500000
918,394.2891,2.66,2.49,2.91,5900000,5900000
1035,415.2175,2.68,2.26,3.08,14000000,14000000
1165,735.5615,2.71,2.54,3,790000,790000
1271,245.2693,2.83,2.8,3.03,1800000,1800000
1318,170.077,2.94,2.86,3.11,150000000,150000000
1321,172.0854,2.94,2.86,3.37,850000,850000
1342,171.0845,2.97,2.77,3.63,13000000,13000000
1354,524.3709,2.97,2.8,3.63,6900000,6900000
1368,441.3425,3,2.94,3.28,690000,690000
1416,221.1655,3.05,2.88,3.4,70000000,70000000
1418,221.6686,3.05,2.94,3.43,18000000,18000000
1440,264.0958,3.08,2.94,3.43,8800000,8800000
1569,101.0232,3.48,3.28,3.63,300000,300000
1572,302.2018,3.48,3.37,3.6,590000000,590000000
1580,248.1742,3.51,3.37,4.2,420000,420000
1582,302.1862,3.51,3.28,3.6,4300000,4300000
1585,303.1993,3.51,2.97,3.94,94000000,94000000
1586,304.2028,3.51,2.94,3.94,6000000,6000000
1592,247.1733,3.54,2.97,4.2,7200000,7200000
1606,202.1854,3.6,3.51,3.91,1100000000,1100000000
1608,85.0641,3.63,3.23,3.94,1200000,1200000
1621,203.1774,3.63,3.51,4.14,130000000,130000000
1623,204.1803,3.63,3.51,3.83,7500000,7500000
1768,234.161,4.17,3.89,4.92,920000,920000
1773,232.1476,4.2,3.94,4.23,110000000,110000000
1794,114.0685,4.29,4.23,4.63,120000000,120000000
1925,147.0264,5.03,4.74,5.35,160000,160000
1992,218.1446,5.37,5.23,5.43,190000000,190000000
2000,220.1453,5.4,5,6.15,1600000,1600000
2004,85.0285,5.43,5.17,5.86,1900000,1900000
2194,118.0844,6.64,6.35,7.89,240000000,240000000
2215,118.0668,6.7,6.61,6.87,1300000,1300000
2220,166.0821,6.7,6.5,7.12,400000000,400000000
2244,167.0895,6.72,6.38,8.09,40000000,40000000
2246,168.0904,6.72,6.47,7.57,1700000,1700000
2256,520.2187,6.72,6.55,6.87,820000,820000
