id,mz,rt,rtmin,rtmax,p_glc,image,prediction,EVA_remove,peak_group,n,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
121,377.2571,1.52,1.43,2,150000000,F4820.png,TRUE,FALSE,3220,2,FALSE,150000000,FALSE,FALSE,FALSE
122,377.2626,1.52,1.43,2,150000000,F4821.png,TRUE,FALSE,3220,2,TRUE,150000000,FALSE,FALSE,FALSE
125,394.2833,1.52,1.43,2,49000000,F5016.png,TRUE,FALSE,3435,2,FALSE,49000000,FALSE,FALSE,FALSE
126,394.2891,1.52,1.43,2.06,49000000,F5019.png,TRUE,FALSE,3435,2,TRUE,49000000,FALSE,FALSE,FALSE
131,435.3156,1.52,1.43,1.89,14000000,F5488.png,TRUE,FALSE,3957,2,FALSE,14000000,FALSE,FALSE,FALSE
152,119.0844,1.55,1.46,1.86,3200000,F449.png,TRUE,FALSE,2539,2,FALSE,3200000,FALSE,FALSE,FALSE
153,119.0854,1.55,1.43,2.03,3200000,F451.png,TRUE,FALSE,2539,2,TRUE,3200000,FALSE,FALSE,FALSE
223,735.561,1.57,1.49,2.09,3500000,F7497.png,TRUE,FALSE,6200,2,FALSE,3500000,FALSE,FALSE,FALSE
224,735.5737,1.57,1.52,1.91,3500000,F7502.png,TRUE,FALSE,6200,2,TRUE,3500000,FALSE,FALSE,FALSE
365,102.0913,1.69,1.63,2.11,1600000,F276.png,TRUE,FALSE,962,2,FALSE,1600000,FALSE,FALSE,FALSE
389,243.1828,1.74,1.57,1.91,260000000,F2426.png,TRUE,FALSE,634,2,FALSE,260000000,FALSE,FALSE,FALSE
390,243.6844,1.74,1.6,1.91,77000000,F2434.png,TRUE,FALSE,642,2,FALSE,77000000,FALSE,FALSE,FALSE
415,102.0904,1.77,1.63,2.17,1600000,F272.png,TRUE,FALSE,962,2,TRUE,1600000,FALSE,FALSE,FALSE
416,243.1781,1.77,1.72,2.2,260000000,F2425.png,TRUE,FALSE,634,2,TRUE,260000000,FALSE,FALSE,FALSE
430,520.3324,1.8,1.74,1.94,12000000,F6213.png,TRUE,FALSE,4775,2,FALSE,12000000,FALSE,FALSE,FALSE
433,243.6817,1.83,1.74,2,77000000,F2431.png,TRUE,FALSE,642,2,TRUE,77000000,FALSE,FALSE,FALSE
481,520.3395,1.89,1.77,2.8,12000000,F6214.png,TRUE,FALSE,4775,2,TRUE,12000000,FALSE,FALSE,FALSE
531,243.6844,2,1.91,3.08,39000000,F2435.png,TRUE,FALSE,643,2,FALSE,39000000,FALSE,FALSE,FALSE
865,768.5365,2.6,2.49,3.2,8200000,F7703.png,TRUE,FALSE,6426,2,FALSE,8200000,FALSE,FALSE,FALSE
866,769.54,2.6,2.49,3.23,3500000,F7715.png,TRUE,FALSE,6437,2,FALSE,3500000,FALSE,FALSE,FALSE
918,394.2891,2.66,2.49,2.91,5900000,F5020.png,TRUE,FALSE,3437,2,FALSE,5900000,FALSE,FALSE,FALSE
951,768.5515,2.66,2.51,2.97,8200000,F7706.png,TRUE,FALSE,6426,2,TRUE,8200000,FALSE,FALSE,FALSE
952,769.5552,2.66,2.54,2.91,3500000,F7717.png,TRUE,FALSE,6437,2,TRUE,3500000,FALSE,FALSE,FALSE
1035,415.2175,2.68,2.26,3.08,14000000,F5277.png,TRUE,FALSE,3725,2,FALSE,14000000,FALSE,FALSE,FALSE
1165,735.5615,2.71,2.54,3,790000,F7499.png,TRUE,FALSE,6203,2,FALSE,790000,FALSE,FALSE,FALSE
1271,245.2693,2.83,2.8,3.03,1800000,F2496.png,TRUE,FALSE,709,2,FALSE,1800000,FALSE,FALSE,FALSE
1290,245.2668,2.86,2.74,3.54,1800000,F2495.png,TRUE,FALSE,709,2,TRUE,1800000,FALSE,FALSE,FALSE
1318,170.077,2.94,2.86,3.11,150000000,F1158.png,TRUE,FALSE,7369,4,FALSE,150000000,FALSE,FALSE,FALSE
1319,170.0782,2.94,2.86,3.37,150000000,F1159.png,TRUE,FALSE,7369,4,TRUE,150000000,FALSE,FALSE,FALSE
1321,172.0854,2.94,2.86,3.37,850000,F1192.png,TRUE,FALSE,7407,2,FALSE,850000,FALSE,FALSE,FALSE
1340,170.0811,2.97,2.63,3.63,150000000,F1160.png,TRUE,FALSE,7369,4,TRUE,150000000,FALSE,FALSE,FALSE
1341,170.0841,2.97,2.86,3.34,150000000,F1162.png,TRUE,FALSE,7369,4,TRUE,150000000,FALSE,FALSE,FALSE
1342,171.0845,2.97,2.77,3.63,13000000,F1176.png,TRUE,FALSE,7389,2,FALSE,13000000,FALSE,FALSE,FALSE
1343,171.0872,2.97,2.86,3.23,13000000,F1179.png,TRUE,FALSE,7389,2,TRUE,13000000,FALSE,FALSE,FALSE
1354,524.3709,2.97,2.8,3.63,6900000,F6267.png,TRUE,FALSE,4833,2,FALSE,6900000,FALSE,FALSE,FALSE
1362,172.0878,3,2.83,3.37,850000,F1193.png,TRUE,FALSE,7407,2,TRUE,850000,FALSE,FALSE,FALSE
1368,441.3425,3,2.94,3.28,690000,F5557.png,TRUE,FALSE,4037,2,FALSE,690000,FALSE,FALSE,FALSE
1376,524.3629,3,2.91,3.11,6900000,F6264.png,TRUE,FALSE,4833,2,TRUE,6900000,FALSE,FALSE,FALSE
1397,441.3454,3.03,2.94,3.31,690000,F5558.png,TRUE,FALSE,4037,2,TRUE,690000,FALSE,FALSE,FALSE
1416,221.1655,3.05,2.88,3.4,70000000,F2021.png,TRUE,FALSE,211,2,FALSE,70000000,FALSE,FALSE,FALSE
1417,221.1697,3.05,2.09,3.71,70000000,F2022.png,TRUE,FALSE,211,2,TRUE,70000000,FALSE,FALSE,FALSE
1418,221.6686,3.05,2.94,3.43,18000000,F2028.png,TRUE,FALSE,218,2,FALSE,18000000,FALSE,FALSE,FALSE
1435,221.6714,3.08,2.57,3.71,18000000,F2030.png,TRUE,FALSE,218,2,TRUE,18000000,FALSE,FALSE,FALSE
1440,264.0958,3.08,2.94,3.43,8800000,F2892.png,TRUE,FALSE,1129,3,FALSE,8800000,FALSE,FALSE,FALSE
1455,264.0932,3.11,2.94,3.48,8800000,F2890.png,TRUE,FALSE,1129,3,TRUE,8800000,FALSE,FALSE,FALSE
1456,264.0994,3.11,2.83,3.6,8800000,F2893.png,TRUE,FALSE,1129,3,TRUE,8800000,FALSE,FALSE,FALSE
1569,101.0232,3.48,3.28,3.63,300000,F259.png,TRUE,FALSE,800,2,FALSE,300000,FALSE,FALSE,FALSE
1572,302.2018,3.48,3.37,3.6,590000000,F3703.png,TRUE,FALSE,2003,3,FALSE,590000000,FALSE,FALSE,FALSE
1573,302.2078,3.48,3.34,3.57,590000000,F3706.png,TRUE,FALSE,2003,3,TRUE,590000000,FALSE,FALSE,FALSE
1580,248.1742,3.51,3.37,4.2,420000,F2567.png,TRUE,FALSE,787,2,FALSE,420000,FALSE,FALSE,FALSE
1582,302.1862,3.51,3.28,3.6,4300000,F3698.png,TRUE,FALSE,2002,2,FALSE,4300000,FALSE,FALSE,FALSE
1583,302.1884,3.51,3.14,3.94,4300000,F3699.png,TRUE,FALSE,2002,2,TRUE,4300000,FALSE,FALSE,FALSE
1584,302.1959,3.51,2.97,3.94,590000000,F3702.png,TRUE,FALSE,2003,3,TRUE,590000000,FALSE,FALSE,FALSE
1585,303.1993,3.51,2.97,3.94,94000000,F3737.png,TRUE,FALSE,2041,2,FALSE,94000000,FALSE,FALSE,FALSE
1586,304.2028,3.51,2.94,3.94,6000000,F3750.png,TRUE,FALSE,2057,2,FALSE,6000000,FALSE,FALSE,FALSE
1590,101.0224,3.54,3.28,3.63,300000,F258.png,TRUE,FALSE,800,2,TRUE,300000,FALSE,FALSE,FALSE
1592,247.1733,3.54,2.97,4.2,7200000,F2545.png,TRUE,FALSE,762,2,FALSE,7200000,FALSE,FALSE,FALSE
1594,303.1935,3.54,3.17,3.91,94000000,F3735.png,TRUE,FALSE,2041,2,TRUE,94000000,FALSE,FALSE,FALSE
1595,304.2001,3.54,3.17,3.89,6000000,F3749.png,TRUE,FALSE,2057,2,TRUE,6000000,FALSE,FALSE,FALSE
1606,202.1854,3.6,3.51,3.91,1100000000,F1639.png,TRUE,FALSE,7888,7,FALSE,1100000000,FALSE,FALSE,FALSE
1608,85.0641,3.63,3.23,3.94,1200000,F137.png,TRUE,FALSE,7710,2,FALSE,1200000,FALSE,FALSE,FALSE
1609,85.0648,3.63,3.31,4,1200000,F139.png,TRUE,FALSE,7710,2,TRUE,1200000,FALSE,FALSE,FALSE
1615,202.1745,3.63,3.51,3.77,1100000000,F1633.png,TRUE,FALSE,7888,7,TRUE,1100000000,FALSE,FALSE,FALSE
1616,202.176,3.63,3.48,4.23,1100000000,F1634.png,TRUE,FALSE,7888,7,TRUE,1100000000,FALSE,FALSE,FALSE
1617,202.18,3.63,3.48,4.63,1100000000,F1636.png,TRUE,FALSE,7888,7,TRUE,1100000000,FALSE,FALSE,FALSE
