peak_id,id,medMz,medRt,log10_inten,class,formula,ppm_error,score_known_rt,score_MS2,level,accession,annotation
1,2,771.5159235476694,1.51,3.63,Metabolite,C42H77O10P1,2.85,,,3,HMDB0010578,"HMDB0010578 PG(16:0/20:3(5Z,8Z,11Z)) C42H77O10P1"
2,3,773.5321235476695,1.51,4.04,Metabolite,C42H79O10P1,2.19,,,3,HMDB0010634,HMDB0010634 PG(18:1(9Z)/18:1(9Z)) C42H79O10P1
3,4,817.5014235476694,1.51,3.4,Metabolite,C46H75O10P1,1.34,,,3,HMDB0010659,"HMDB0010659 PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H75O10P1"
4,5,818.5046235476694,1.51,3.15,Artifact,[13]C1C45H75O10P1,1.46,0,,,,"HMDB0010659 PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H75O10P1 + [13]C1C-1 -> [13]C1C45H75O10P1"
5,6,819.5184235476695,1.51,4.36,Metabolite,C46H77O10P1,-0.37,,,3,HMDB0010629,"HMDB0010629 PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H77O10P1"
6,7,865.5011235476695,1.51,3.78,Artifact,C42Ca1H80N2Na1O10P1,-1.15,0,,,,Peak 272 C40H79N2O8P1 + C2Ca1H2O2 -> C42Ca1H81N2O10P1 + H-1Na1 -> C42Ca1H80N2Na1O10P1
7,8,743.4850235476695,1.52,3.18,Metabolite,C40H73O10P1,2.42,,,3,HMDB0010576,"HMDB0010576 PG(16:0/18:3(6Z,9Z,12Z)) C40H73O10P1"
8,9,745.5008235476695,1.52,4.04,Metabolite,C40H75O10P1,2.28,,,3,HMDB0010575,"HMDB0010575 PG(16:0/18:2(9Z,12Z)) C40H75O10P1"
9,10,791.4854235476695,1.52,3.7,Artifact,C40H75Na2O10P1,-4.29,0,,,,HMDB0010574 PG(16:0/18:1(9Z)) C40H77O10P1 + H-2Na2 -> C40H75Na2O10P1
10,11,792.4897235476694,1.52,3.46,Artifact,[13]C1C43H73O10P1,0.63,0,,,,"HMDB0010599 PG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C44H73O10P1 + [13]C1C-1 -> [13]C1C43H73O10P1"
11,14,843.5155235476694,1.52,3.08,Metabolite,C41H82O13P2,0.36,,,3,HMDB0116528,HMDB0116528 PGP(a-13:0/i-22:0) C41H82O13P2
12,15,719.4841235476695,1.53,3.53,Metabolite,C38H73O10P1,3.75,,,3,HMDB0010571,HMDB0010571 PG(16:0/16:1(9Z)) C38H73O10P1
13,17,765.4708235476695,1.53,3.04,Metabolite,C42H71O10P1,0.52,,,3,HMDB0010666,"HMDB0010666 PG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)) C42H71O10P1"
14,18,773.5822235476695,1.53,4.04,Metabolite,C42H83N2O8P1,-1.03,,,3,HMDB0290687,"HMDB0290687 SM(d19:1/18:1(12Z)-2OH(9,10)) C42H83N2O8P1"
15,19,774.5868235476695,1.53,3.81,Artifact,[13]C1C41H83N2O8P1,-2.58,0,,,,"HMDB0290687 SM(d19:1/18:1(12Z)-2OH(9,10)) C42H83N2O8P1 + [13]C1C-1 -> [13]C1C41H83N2O8P1"
16,20,775.5911235476694,1.53,3.3,Artifact,[13]C2C40H83N2O8P1,-3.86,0,,,,"HMDB0290687 SM(d19:1/18:1(12Z)-2OH(9,10)) C42H83N2O8P1 + [13]C1C-1 -> [13]C1C41H83N2O8P1 + [13]C1C-1 -> [13]C2C40H83N2O8P1"
17,21,795.5152235476695,1.53,3.51,Artifact,C42H78Na1O10P1,0.63,0,,,,HMDB0010634 PG(18:1(9Z)/18:1(9Z)) C42H79O10P1 + H-1Na1 -> C42H78Na1O10P1
18,23,820.5213235476695,1.53,4.08,Artifact,[13]C1C45H77O10P1,0.24,0,,,,"HMDB0010629 PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H77O10P1 + [13]C1C-1 -> [13]C1C45H77O10P1"
19,24,272.11902354766943,1.55,3.11,Unknown,Unknown,0,,,,,Unknown
20,25,340.2017235476694,1.55,3.34,Artifact,[13]C1C21H28O3,-5.28,0,,,,HMDB0255731 Norethindrone acetate C22H28O3 + [13]C1C-1 -> [13]C1C21H28O3
