ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
37569,37547,491,1892,1891,-0.05692012995586671,Natural_abundance,[10]B1B-1,1,0,B1C18H26N8O10P1,[10]B1C18H26N8O10P1,441,1,0,-0.15043578449110462,,,,0.8495642,1
23167,22920,538,1141,1131,-5.743309783376997,Natural_abundance,[10]B1B-1,1,0,B1C17H21N4O3S1,[10]B1C17H21N4O3S1,491,1,0,-0.011327109462613378,,,,0.9886729,1
26358,26336,540,1287,1286,-2.2652322376684086,Natural_abundance,[10]B1B-1,1,0,B1C12H21O12,[10]B1C12H21O12,495,1,0,-0.0038364929479698944,,,,0.9961635,1
22199,22167,552,1096,1095,-0.9925045065388806,Natural_abundance,[10]B1B-1,1,0,B1C16H14N5O1S1,[10]B1C16H14N5O1S1,511,1,0,-0.006827277224144819,,,,0.9931727,1
27969,28070,554,1383,1392,-0.4125187833430923,Natural_abundance,[10]B1B-1,1,0,B1C8H9N2O9S1,[10]B1C8H9N2O9S1,518,1,0,-0.008289237700668405,,,,0.9917108,1
27947,28050,559,1382,1391,-0.4299116920054913,Natural_abundance,[10]B1B-1,1,0,B1C14H18N1O4S1,[10]B1C14H18N1O4S1,523,1,0,-0.008469975242828892,,,,0.99153,1
20742,20671,561,1015,1012,-1.5576510821696994,Natural_abundance,[10]B1B-1,1,0,B1C14H11N4S1,[10]B1C14H11N4S1,528,1,0,-9.418198880501614e-4,,,,0.9990582,1
26644,25659,584,1302,1270,0.9376921915187861,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,558,0,0,,,,,0,0
26644,20158,585,1302,957,8.712665719857343,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,562,0,0,,,,,0,0
38500,25659,588,1951,1270,-0.17302798990832574,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,574,0,0,,,,,0,0
38500,20158,589,1951,957,7.601954174258337,Biotransform,H-1N-1O1,0,0,C3H7N1O2,C3H6O3,578,0,0,,,0.183016788534494,,0.1830168,1
33622,24996,591,1696,1241,-2.033246856920457,Biotransform,H-1N-1O1,0,0,C3H7N1O3,C3H6O4,586,0,0,,,,,0,0
20657,18330,598,1011,814,-0.13423827820030526,Biotransform,H-1N-1O1,0,0,C5H9N1O2,C5H8O3,614,0,0,,,,,0,0
27906,25805,600,1379,1271,-0.12977083980680446,Biotransform,H-1N-1O1,0,0,C4H9N1O3,C4H8O4,622,0,0,,,,,0,0
21369,18841,610,1058,860,-7.810559739957734,Biotransform,H-1N-1O1,0,0,C5H7N1O3,C5H6O4,662,0,0,,,,,0,0
26482,32225,619,1291,1630,4.425646455525551,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,694,0,0,,,,,0,0
32225,42780,620,1630,2211,-0.8687633736910452,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,698,0,0,,,,,0,0
32225,24955,621,1630,1238,-0.11709482475033638,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,702,0,0,,,0.20931705204600035,,0.2093171,1
32225,36979,622,1630,1867,3.641230969649778,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,706,0,0,,,0.17788053966124934,,0.1778805,1
42780,41841,623,2211,2103,5.852926886967311,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,710,0,0,,,,,0,0
24955,41841,624,1238,2103,5.106781714202654,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,714,0,0,,,0.23004677657333322,,0.2300468,1
36979,41841,625,1867,2103,1.3760558505914313,Biotransform,H-1N-1O1,0,0,C4H7N1O4,C4H6O5,718,0,0,,,0.16940046136240744,,0.1694005,1
20095,18838,629,949,859,-2.16064256117261,Biotransform,H-1N-1O1,0,0,C6H11N1O3,C6H10O4,728,0,0,,,,,0,0
30803,22650,632,1583,1118,-1.4659837033294114,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,740,0,0,,,0.20121352925619546,,0.2012135,1
30803,35991,633,1583,1824,-0.10593410764172542,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,744,0,0,,,0.16378275100193956,,0.1637828,1
46000,24642,635,2421,1212,-5.544778417446516,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,752,0,0,,,,,0,0
22650,38442,639,1118,1943,-4.1582747134532605,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,771,0,0,,,,,0,0
22650,45849,640,1118,2403,-4.1582747134532605,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,775,0,0,,,,,0,0
22650,40821,641,1118,2049,-3.4827649980613624,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,779,0,0,,,,,0,0
35991,38442,642,1824,1943,-5.50928943897026,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,783,0,0,,,0.1267967955117865,,0.1267968,1
35991,45849,643,1824,2403,-5.50928943897026,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,787,0,0,,,,,0,0
35991,40821,644,1824,2049,-4.833778810958584,Biotransform,H-1N-1O1,0,0,C5H9N1O4,C5H8O5,791,0,0,,,0.13944601446946767,,0.139446,1
24642,18828,649,1212,856,-1.4558882652622323,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,811,0,0,,,,,0,0
18780,18823,656,849,855,-0.7220313743313281,Biotransform,H-1N-1O1,0,0,C7H13N1O3,C7H12O4,831,0,0,,,,,0,0
30098,25316,657,1557,1257,1.1380373593647777,Biotransform,H-1N-1O1,0,0,C6H11N1O4,C6H10O5,835,0,0,,,,,0,0
20278,25316,659,970,1257,0.5209540617352321,Biotransform,H-1N-1O1,0,0,C6H11N1O4,C6H10O5,843,0,0,,,,,0,0
36563,25316,661,1849,1257,-0.09612923606969909,Biotransform,H-1N-1O1,0,0,C6H11N1O4,C6H10O5,855,0,0,,,,,0,0
24711,38623,664,1218,1956,2.196088808000169,Biotransform,H-1N-1O1,0,0,C6H10N2O4,C6H9N1O5,871,0,0,,,,,0,0
24772,18968,665,1225,884,1.0533333378531597,Biotransform,H-1N-1O1,0,0,C7H14N2O3,C7H13N1O4,876,0,0,,,,,0,0
46088,33713,666,2448,1702,1.0532659612403503,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,880,0,0,,,0.5331737283587034,,0.5331737,1
33713,24926,669,1702,1236,0.4794539472393439,Biotransform,H-1N-1O1,0,0,C6H13N3O3,C6H12N2O4,892,0,0,,,,,0,0
23034,19373,674,1134,907,-0.6348434696249162,Biotransform,H-1N-1O1,0,0,C9H11N1O3,C9H10O4,928,0,0,,,,,0,0
41669,44065,676,2094,2268,0.4538995923021955,Biotransform,H-1N-1O1,0,0,C3H8N1O6P1,C3H7O7P1,939,0,0,,,0.5621370473064647,,0.562137,1
24749,32583,679,1221,1647,0.4488636745044935,Biotransform,H-1N-1O1,0,0,C7H13N3O3,C7H12N2O4,954,0,0,,,,,0,0
32583,35754,684,1647,1818,0.9754496526955528,Biotransform,H-1N-1O1,0,0,C7H12N2O4,C7H11N1O5,980,0,0,,,,,0,0
32583,37846,685,1647,1907,3.6200531208633335,Biotransform,H-1N-1O1,0,0,C7H12N2O4,C7H11N1O5,986,0,0,,,,,0,0
35754,22769,686,1818,1124,-0.6081533001714056,Biotransform,H-1N-1O1,0,0,C7H11N1O5,C7H10O6,992,0,0,,,,,0,0
37846,22769,687,1907,1124,-3.239074843304933,Biotransform,H-1N-1O1,0,0,C7H11N1O5,C7H10O6,1002,0,0,,,,,0,0
29685,41522,688,1525,2082,-0.08196420430582273,Biotransform,H-1N-1O1,0,0,C6H11N3O4,C6H10N2O5,1012,0,0,,,,,0,0
31820,40727,697,1616,2045,0.41368311683932596,Biotransform,H-1N-1O1,0,0,C7H13N3O4,C7H12N2O5,1052,0,0,,,,,0,0
35584,24461,707,1805,1201,1.6928165101634851,Biotransform,H-1N-1O1,0,0,C9H14N4O3,C9H13N3O4,1105,0,0,,,0.39229253199969055,,0.3922925,1
35584,18849,708,1805,862,2.133169273319595,Biotransform,H-1N-1O1,0,0,C9H14N4O3,C9H13N3O4,1109,0,0,,,,,0,0
27061,38258,728,1325,1931,-2.0293834157592467,Biotransform,H-1N-1O1,0,0,C15H11N1O3,C15H10O4,1213,0,0,,,,,0,0
37953,42145,731,1913,2136,-1.5982006509634132,Biotransform,H-1N-1O1,0,0,C6H14N1O8P1,C6H13O9P1,1243,0,0,,,,,0,0
37953,41247,732,1913,2071,-0.44448123270954176,Biotransform,H-1N-1O1,0,0,C6H14N1O8P1,C6H13O9P1,1253,0,0,,,,,0,0
36431,38707,735,1841,1961,1.4027717861488622,Biotransform,H-1N-1O1,0,0,C7H16N1O8P1,C7H15O9P1,1279,0,0,,,0.2606230832693269,,0.2606231,1
28280,37331,736,1414,1883,0.6703551759421639,Biotransform,H-1N-1O1,0,0,C10H18N4O5,C10H17N3O6,1286,0,0,,,,,0,0
37331,37354,737,1883,1884,-0.05642263327070676,Biotransform,H-1N-1O1,0,0,C10H17N3O6,C10H16N2O7,1296,0,0,,,,,0,0
37331,43974,738,1883,2260,-0.05642263327070676,Biotransform,H-1N-1O1,0,0,C10H17N3O6,C10H16N2O7,1307,0,0,,,,,0,0
18667,4892,750,839,201,-2.6990541923562277,Biotransform,H-1N-1O1,0,0,C15H27N1O5,C15H26O6,1382,0,0,,,,,0,0
24760,22226,783,1223,1097,0.8387187344744151,Biotransform,H-1N-1O1,0,0,C16H22N2O4S1,C16H21N1O5S1,1646,0,0,,,,,0,0
34074,38723,786,1723,1962,-0.619396069059833,Biotransform,H-1N-1O1,0,0,C10H14N5O7P1,C10H13N4O8P1,1682,0,0,,,0.23950250648525573,,0.2395025,1
44004,45242,813,2262,2334,-0.03855936991640165,Biotransform,H-1N-1O1,0,0,C9H15N3O11P2,C9H14N2O12P2,1920,0,0,,,0.21013376118873867,,0.2101338,1
44004,42489,814,2262,2183,0.4564894476321757,Biotransform,H-1N-1O1,0,0,C9H15N3O11P2,C9H14N2O12P2,1927,0,0,,,0.21113715215980483,,0.2111372,1
32181,30329,821,1628,1570,0.424819611534918,Biotransform,H-1N-1O1,0,0,C17H27N3O6S2,C17H26N2O7S2,1958,0,0,,,,,0,0
41425,22010,823,2078,1089,1.5446799323775025,Biotransform,H-1N-1O1,0,0,C14H23N2O12P1,C14H22N1O13P1,1990,0,0,,,,,0,0
45527,39936,834,2368,2004,-0.6520660950049796,Biotransform,H-1N-1O1,0,0,C9H16N3O14P3,C9H15N2O15P3,2063,0,0,,,0.20513959092764913,,0.2051396,1
45527,45282,835,2368,2339,2.4473158289654506,Biotransform,H-1N-1O1,0,0,C9H16N3O14P3,C9H15N2O15P3,2068,0,0,,,0.19276863600789698,,0.1927686,1
31545,36323,838,1608,1834,-0.8495631856798563,Biotransform,H-1N-1O1,0,0,C21H32N2O9S1,C21H31N1O10S1,2078,0,0,,,0.27506838317384774,,0.2750684,1
12095,13148,861,432,489,-0.910344417231416,Biotransform,H-1N-1O1,0,0,C30H51N3O7,C30H50N2O8,2177,0,0,,,,,0,0
