ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,status,PubMed_Count,accession,FirstBlock,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_MS2,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
1,1,C42H77O10P1,772.525435154,5,Metabolite,9927,C42H77O10P1,,1,0,quantified,0,HMDB0010578,NDGDVGUDTIGKCF,2,Metabolite,0.4,-0.36547367353206506,,,0,0,,0,0.034526326467934965,3.6334684555795866,772.5231764523305,1.51,0.1,0.1345263,1,"HMDB0010578 PG(16:0/20:3(5Z,8Z,11Z)) C42H77O10P1"
22,2,C42H79O10P1,774.5410852179999,4,Metabolite,9983,C42H79O10P1,,1,0,quantified,299,HMDB0010634,DSNRWDQKZIEDDB,43,Metabolite,0.5238560627359832,-0.2757706631044231,,,0,0,,0,0.24808539963156007,4.041392685158225,774.5393764523305,1.51,0.1,0.3480854,1,HMDB0010634 PG(18:1(9Z)/18:1(9Z)) C42H79O10P1
61,3,C46H75O10P1,818.50978509,10,Metabolite,10008,C46H75O10P1,,1,0,quantified,0,HMDB0010659,GMXYXYLCBAOPHA,92,Metabolite,0.4,-0.16930733292877173,,,0,0,,0,0.2306926670712283,3.3979400086720375,818.5086764523305,1.51,0.1,0.3306927,1,"HMDB0010659 PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H75O10P1"
128,4,[13]C1C45H75O10P1,819.5131399300001,10,Natural_abundance,3,C46H75O10P1,[13]C1C-1,1,0.01,,,,,233,Artifact,0,-0.1927177259286553,0,,0,0,,0,-0.1927177259286553,3.146128035678238,819.5118764523305,1.51,0,-0.1927177,1,"HMDB0010659 PG(18:2(9Z,12Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H75O10P1 + [13]C1C-1 -> [13]C1C45H75O10P1"
207,5,C46H77O10P1,820.525435154,9,Metabolite,9978,C46H77O10P1,,1,0,quantified,0,HMDB0010629,TZGMUGQUTJEGJC,325,Metabolite,0.4,-0.03675972740378332,,,0,0,,0,0.3632402725962167,4.361727836017593,820.5256764523306,1.51,0.1,0.4632403,1,"HMDB0010629 PG(18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C46H77O10P1"
284,6,C42Ca1H80N2Na1O10P1,866.5074191299999,3,Adduct,11,C42Ca1H81N2O10P1,H-1Na1,1,0.02,,,,,457,Artifact,0,-0.1381007117543007,0,,0,0,,0,-0.1381007117543007,3.7781512503836434,866.5083764523305,1.51,0,-0.1381007,1,Peak 272 C40H79N2O8P1 + C2Ca1H2O2 -> C42Ca1H81N2O10P1 + H-1Na1 -> C42Ca1H80N2Na1O10P1
359,7,C40H73O10P1,744.494135026,5,Metabolite,9925,C40H73O10P1,,1,0,detected,0,HMDB0010576,MVHBCRUZHMRQHX,544,Metabolite,0.3,-0.31205310794233787,,,0,0,,0,-0.012053107942337882,3.1760912590556813,744.4922764523305,1.52,0.1,0.0879469,1,"HMDB0010576 PG(16:0/18:3(6Z,9Z,12Z)) C40H73O10P1"
366,8,C40H75O10P1,746.50978509,4,Metabolite,9924,C40H75O10P1,,1,0,quantified,3873,HMDB0010575,ATBOMIWRCZXYSZ,570,Metabolite,0.5794079808191547,-0.28610436587823823,,,0,0,,0,0.29330361494091645,4.041392685158225,746.5080764523306,1.52,0.1,0.3933036,1,"HMDB0010575 PG(16:0/18:2(9Z,12Z)) C40H75O10P1"
400,9,C40H75Na2O10P1,792.48932441,3,Adduct,216,C40H77O10P1,H-2Na2,1,0.01,,,,,621,Artifact,0,-0.5287204236248395,0,,0,0,,0,-0.5287204236248395,3.6989700043360187,792.4926764523306,1.52,0,-0.5287204,1,HMDB0010574 PG(16:0/18:1(9Z)) C40H77O10P1 + H-2Na2 -> C40H75Na2O10P1
414,10,[13]C1C43H73O10P1,793.497489866,9,Natural_abundance,9,C44H73O10P1,[13]C1C-1,1,0.01,,,,,701,Artifact,0,-0.08087827562157597,0,,0,0,,0,-0.08087827562157597,3.462397997898956,793.4969764523305,1.52,0,-0.0808783,1,"HMDB0010599 PG(16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C44H73O10P1 + [13]C1C-1 -> [13]C1C43H73O10P1"
452,11,C41H82O13P2,844.523065664,2,Metabolite,98650,C41H82O13P2,,1,0,expected,0,HMDB0116528,DCKQQIZXIWWGDK,733,Metabolite,0,-0.04280695241715959,,,0,0,,0,-0.04280695241715959,3.0791812460476247,844.5227764523305,1.52,0.1,0.057193,1,HMDB0116528 PGP(a-13:0/i-22:0) C41H82O13P2
504,12,C38H73O10P1,720.494135026,3,Metabolite,9920,C38H73O10P1,,1,0,detected,0,HMDB0010571,NOFOTAHTYLXZNV,796,Metabolite,0.3,-0.4785905837629676,,,0,0,,0,-0.1785905837629676,3.531478917042255,720.4913764523305,1.53,0.1,-0.0785906,1,HMDB0010571 PG(16:0/16:1(9Z)) C38H73O10P1
523,13,C42H71O10P1,766.4784849619999,8,Metabolite,10015,C42H71O10P1,,1,0,expected,0,HMDB0010666,CRMBDNVWTUGBMN,834,Metabolite,0,-0.06662118985665924,,,0,0,,0,-0.06662118985665924,3.041392685158225,766.4780764523306,1.53,0.1,0.0333788,1,"HMDB0010666 PG(18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z)) C42H71O10P1"
530,14,C42H83N2O8P1,774.588704126,3,Metabolite,206431,C42H83N2O8P1,,1,0,predicted,0,HMDB0290687,HUBLAPUSCIEDEP,863,Metabolite,0,-0.12463490726114974,,,0,0,,0,-0.12463490726114974,4.041392685158225,774.5894764523305,1.53,0.1,-0.0246349,1,"HMDB0290687 SM(d19:1/18:1(12Z)-2OH(9,10)) C42H83N2O8P1"
549,15,[13]C1C41H83N2O8P1,775.5920589660001,3,Natural_abundance,14,C42H83N2O8P1,[13]C1C-1,1,0.01,,,,,887,Artifact,0,-0.32515262165929,0,,0,0,,0,-0.32515262165929,3.8129133566428557,775.5940764523306,1.53,0,-0.3251526,1,"HMDB0290687 SM(d19:1/18:1(12Z)-2OH(9,10)) C42H83N2O8P1 + [13]C1C-1 -> [13]C1C41H83N2O8P1"
567,16,[13]C2C40H83N2O8P1,776.5954138060001,3,Natural_abundance,15,[13]C1C41H83N2O8P1,[13]C1C-1,1,0.02,,,,,917,Artifact,0,-0.47686450977557293,0,,0,0,,0,-0.47686450977557293,3.3010299956639813,776.5983764523305,1.53,0,-0.4768645,1,"HMDB0290687 SM(d19:1/18:1(12Z)-2OH(9,10)) C42H83N2O8P1 + [13]C1C-1 -> [13]C1C41H83N2O8P1 + [13]C1C-1 -> [13]C2C40H83N2O8P1"
