groupId,sample,peakMz,mzmax,mzmin,peakArea,peakIntensity,rt,rtmax,rtmin
2,n_293T_2,771.5159,771.5219,771.5101,1000,4300,1.51,2.05,1.44
3,n_293T_2,773.5321,773.5402,773.5275,4400,11000,1.51,2.61,1.43
4,n_293T_2,817.5014,817.5138,817.4977,290,2500,1.51,1.64,1.45
5,n_293T_2,818.5046,818.5077,818.5008,98,1400,1.51,1.56,1.47
6,n_293T_2,819.5184,819.5266,819.5153,3600,23000,1.51,1.69,1.42
7,n_293T_2,865.5011,865.5081,865.4954,1200,6000,1.51,1.88,1.43
8,n_293T_2,743.485,743.4873,743.4808,170,1500,1.52,1.62,1.48
9,n_293T_2,745.5008,745.5071,745.4966,2900,11000,1.52,2.29,1.44
10,n_293T_2,791.4854,791.4972,791.4816,710,5000,1.52,1.69,1.44
11,n_293T_2,792.4897,792.4963,792.4837,360,2900,1.52,1.69,1.45
14,n_293T_2,843.5155,843.5224,843.5128,88,1200,1.52,1.56,1.47
15,n_293T_2,719.4841,719.488,719.4759,910,3400,1.53,2.06,1.47
17,n_293T_2,765.4708,765.4767,765.4678,72,1100,1.53,1.57,1.49
18,n_293T_2,773.5822,773.587,773.5784,1100,11000,1.53,1.69,1.47
19,n_293T_2,774.5868,774.5891,774.5839,520,6500,1.53,1.59,1.48
20,n_293T_2,775.5911,775.5928,775.5876,120,2000,1.53,1.57,1.49
21,n_293T_2,795.5152,795.5245,795.5105,450,3200,1.53,1.64,1.44
23,n_293T_2,820.5213,820.5274,820.5167,1900,12000,1.53,1.7,1.43
24,n_293T_2,272.119,272.1194,272.1185,93,1300,1.55,1.59,1.5
25,n_293T_2,340.2017,340.2039,340.2006,200,2200,1.55,1.61,1.49
26,n_293T_2,548.2626,548.2656,548.2583,140,1800,1.55,1.61,1.51
27,n_293T_2,569.2408,569.243,569.2395,190,3200,1.55,1.59,1.5
28,n_293T_2,717.4699,717.4811,717.4677,190,1700,1.55,1.62,1.48
29,n_293T_2,794.5052,794.5113,794.5022,270,3200,1.55,1.57,1.45
30,n_293T_2,982.5748,982.5819,982.5684,96,1200,1.55,1.61,1.51
32,n_293T_2,325.1828,325.1842,325.181,3700,15000,1.56,2.64,1.44
33,n_293T_2,326.1864,326.1878,326.185,350,3100,1.56,1.68,1.49
34,n_293T_2,339.1981,339.2002,339.1956,2400,10000,1.56,2.52,1.45
37,n_293T_2,467.3006,467.3039,467.2957,1000,4900,1.56,2.12,1.49
38,n_293T_2,468.3048,468.3068,468.2999,85,1100,1.56,1.62,1.52
39,n_293T_2,473.2795,473.2818,473.2746,24000,65000,1.56,3.06,1.43
41,n_293T_2,485.2797,485.2816,485.2761,5300,17000,1.56,2.72,1.44
45,n_293T_2,547.2599,547.2657,547.2573,1100,6500,1.56,2.06,1.49
46,n_293T_2,585.428,585.4315,585.426,150,1800,1.56,1.62,1.51
47,n_293T_2,980.5672,980.5736,980.5627,1300,6400,1.56,2.1,1.48
48,n_293T_2,981.5699,981.5752,981.5615,380,3500,1.56,1.68,1.49
49,n_293T_2,1151.7187,1151.7249,1151.7132,80,1200,1.56,1.61,1.53
50,n_293T_2,265.1469,265.1487,265.1449,1400,6200,1.57,2.23,1.48
51,n_293T_2,274.1265,274.1274,274.1251,140,1800,1.57,1.61,1.51
52,n_293T_2,311.1671,311.1691,311.1649,3700,15000,1.57,2.58,1.47
53,n_293T_2,312.1707,312.1721,312.1681,270,2800,1.57,1.65,1.5
54,n_293T_2,365.34,365.341,365.3373,120,1500,1.57,1.64,1.52
55,n_293T_2,387.0958,387.0976,387.0936,150,1900,1.57,1.62,1.51
56,n_293T_2,445.366,445.3678,445.365,130,1700,1.57,1.62,1.52
57,n_293T_2,461.3609,461.365,461.3561,100,1200,1.57,1.64,1.52
58,n_293T_2,465.2861,465.2938,465.2826,3200,11000,1.57,2.44,1.47
59,n_293T_2,466.2903,466.2978,466.285,500,2800,1.57,1.81,1.48
60,n_293T_2,474.2834,474.2858,474.2812,7500,20000,1.57,3.08,1.43
61,n_293T_2,486.2831,486.2853,486.2789,1400,5600,1.57,2.18,1.45
62,n_293T_2,585.3266,585.3304,585.3238,710,4300,1.57,1.84,1.5
63,n_293T_2,586.3282,586.3344,586.3239,300,2200,1.57,1.78,1.52
64,n_293T_2,640.3973,640.3999,640.3933,190,1400,1.57,1.74,1.55
65,n_293T_2,941.5761,941.5858,941.5718,1500,8300,1.57,2.06,1.5
66,n_293T_2,942.5795,942.5919,942.5706,420,2700,1.57,1.84,1.51
67,n_293T_2,1149.7137,1149.7205,1149.7064,780,4400,1.57,1.96,1.5
68,n_293T_2,1150.7173,1150.7318,1150.7085,340,2700,1.57,1.72,1.51
69,n_293T_2,165.0404,165.0412,165.0398,3700,12000,1.58,2.61,1.45
70,n_293T_2,225.025,225.0264,225.0237,970,2800,1.58,2.05,1.5
72,n_293T_2,273.1276,273.1312,273.1259,3500,15000,1.58,2.06,1.48
73,n_293T_2,273.6285,273.6303,273.6274,480,3900,1.58,1.76,1.5
74,n_293T_2,297.1513,297.1555,297.1493,750,4300,1.58,1.9,1.51
75,n_293T_2,313.0769,313.0803,313.0755,3200,13000,1.58,2.55,1.47
76,n_293T_2,315.0752,315.0768,315.0734,190,2300,1.58,1.62,1.51
77,n_293T_2,357.012,357.0136,357.0096,440,2300,1.58,1.88,1.52
78,n_293T_2,431.0307,431.0333,431.0283,310,1800,1.58,1.84,1.52
80,n_293T_2,447.0612,447.0642,447.058,540,3700,1.58,1.8,1.51
81,n_293T_2,448.062,448.0638,448.0576,110,1400,1.58,1.64,1.53
82,n_293T_2,449.0583,449.0598,449.0574,110,1200,1.58,1.65,1.53
83,n_293T_2,479.3709,479.3747,479.3679,490,2000,1.58,1.97,1.53
84,n_293T_2,699.3975,699.404,699.3954,180,1600,1.58,1.67,1.53
85,n_293T_2,700.4339,700.4396,700.4301,340,2200,1.58,1.8,1.55
87,n_293T_2,940.5726,940.5778,940.5678,3200,16000,1.58,2.29,1.49
88,n_293T_2,1111.7274,1111.7365,1111.7194,380,2000,1.58,1.84,1.52
89,n_293T_2,91.0219,91.0224,91.0212,200,1400,1.59,1.74,1.52
90,n_293T_2,149.0093,149.0104,149.0081,1200,4800,1.59,2.07,1.49
92,n_293T_2,299.0253,299.0306,299.0231,1400,5400,1.59,2.07,1.51
93,n_293T_2,314.0777,314.0795,314.0746,720,3500,1.59,2,1.5
95,n_293T_2,374.0441,374.0468,374.041,410,2200,1.59,1.87,1.52
96,n_293T_2,375.0408,375.0432,375.0368,230,1800,1.59,1.76,1.53
97,n_293T_2,415.3049,415.309,415.3024,350,2100,1.59,1.85,1.55
98,n_293T_2,443.2447,443.2466,443.2429,3000,12000,1.59,2.12,1.51
99,n_293T_2,785.4729,785.4775,785.4681,170,1800,1.59,1.7,1.56
100,n_293T_2,1109.7179,1109.7235,1109.71,2000,9800,1.59,2.09,1.5
101,n_293T_2,1110.7219,1110.7293,1110.7164,1200,6100,1.59,2.06,1.51
102,n_293T_2,241.0563,241.0578,241.0547,520,2300,1.6,1.85,1.5
104,n_293T_2,298.0465,298.049,298.0442,530,2100,1.6,1.91,1.51
105,n_293T_2,309.2781,309.2798,309.2761,570,3400,1.6,1.98,1.55
107,n_293T_2,365.2645,365.2689,365.2622,270,1700,1.6,1.83,1.56
108,n_293T_2,371.0639,371.0654,371.0621,1400,5600,1.6,2.09,1.5
109,n_293T_2,372.0639,372.0678,372.0603,300,1800,1.6,1.81,1.52
110,n_293T_2,373.044,373.0479,373.0412,1800,7400,1.6,2.06,1.51
111,n_293T_2,388.1533,388.1568,388.1518,2600,9300,1.6,2.51,1.52
113,n_293T_2,417.32,417.3227,417.3178,960,4100,1.6,2.07,1.53
114,n_293T_2,433.0118,433.0169,433.006,110,1200,1.6,1.64,1.53
116,n_293T_2,444.2466,444.2504,444.2444,950,4400,1.6,2.03,1.52
117,n_293T_2,686.419,686.4227,686.4148,320,2400,1.6,1.78,1.55
118,n_293T_2,698.3929,698.3978,698.3883,1900,7900,1.6,2.24,1.51
120,n_293T_2,893.6063,893.6117,893.5988,3000,6800,1.6,2.72,1.55
124,n_293T_2,918.6169,918.6249,918.6058,250,1100,1.6,1.85,1.56
125,n_293T_2,239.0591,239.0602,239.0583,6900,18000,1.61,2.48,1.01
126,n_293T_2,240.0595,240.0609,240.0582,1100,3700,1.61,2.06,1.49
127,n_293T_2,280.2354,280.2372,280.2338,190,1300,1.61,1.78,1.59
128,n_293T_2,285.2694,285.2718,285.268,750,3500,1.61,2.04,1.55
129,n_293T_2,297.0458,297.0473,297.0446,2600,9100,1.61,2.09,1.37
130,n_293T_2,304.2347,304.2355,304.2333,200,1600,1.61,1.75,1.57
131,n_293T_2,311.2939,311.296,311.292,220,1700,1.61,1.77,1.56
132,n_293T_2,327.2311,327.2324,327.2293,3400,15000,1.61,2.31,1.52
133,n_293T_2,358.2371,358.2401,358.2351,700,3500,1.61,2,1.55
134,n_293T_2,370.2764,370.2779,370.2744,1700,6700,1.61,2.26,1.52
135,n_293T_2,377.2512,377.2533,377.2486,980,3900,1.61,1.89,1.55
136,n_293T_2,388.2219,388.2257,388.2176,570,2200,1.61,2.05,1.56
137,n_293T_2,388.251,388.2549,388.2479,850,4300,1.61,2.06,1.53
138,n_293T_2,389.2882,389.2905,389.2853,1000,4100,1.61,2.09,1.55
139,n_293T_2,390.2374,390.2404,390.2355,3500,13000,1.61,2.42,1.53
140,n_293T_2,391.2395,391.2429,391.2353,600,3500,1.61,1.86,1.55
141,n_293T_2,410.2197,410.2274,410.2175,2000,11000,1.61,1.99,1.53
142,n_293T_2,412.2168,412.2194,412.2138,620,3200,1.61,1.96,1.55
143,n_293T_2,419.2493,419.2538,419.2458,120,1700,1.61,1.64,1.55
144,n_293T_2,422.2508,422.2534,422.2473,400,1400,1.61,1.93,1.55
146,n_293T_2,848.5328,848.5372,848.5276,9300,32000,1.61,2.82,1.5
147,n_293T_2,849.5357,849.5413,849.5308,4900,18000,1.61,2.66,1.51
150,n_293T_2,894.615,894.6205,894.6035,3200,7400,1.61,2.68,1.55
151,n_293T_2,914.5873,914.5971,914.5784,860,2900,1.61,2.12,1.55
152,n_293T_2,205.1593,205.1603,205.1578,2700,7600,1.62,2.32,1.01
153,n_293T_2,281.2475,281.2488,281.2465,17000,65000,1.62,2.64,1.51
154,n_293T_2,283.2635,283.2645,283.2626,47000,170000,1.62,2.64,1.49
155,n_293T_2,284.2664,284.2675,284.2655,9500,33000,1.62,2.61,1.4
156,n_293T_2,303.2315,303.2329,303.2297,2000,9400,1.62,2.11,1.55
157,n_293T_2,305.247,305.25,305.2455,920,4200,1.62,2.04,1.55
158,n_293T_2,329.245,329.2475,329.2401,930,4900,1.62,1.86,1.55
159,n_293T_2,371.2798,371.2831,371.2778,190,1400,1.62,1.74,1.55
160,n_293T_2,374.2442,374.2456,374.2412,420000,1300000,1.62,3.84,1.51
161,n_293T_2,375.2469,375.2484,375.2442,97000,290000,1.62,3.86,1.51
162,n_293T_2,376.2489,376.2507,376.2469,13000,42000,1.62,2.93,1.52
163,n_293T_2,411.2231,411.2263,411.2197,490,2600,1.62,1.86,1.55
164,n_293T_2,659.5165,659.519,659.5136,3000,15000,1.62,2.07,1.55
165,n_293T_2,660.5193,660.5227,660.5155,540,2900,1.62,1.96,1.57
166,n_293T_2,678.4818,678.4857,678.4763,150,1300,1.62,1.76,1.59
167,n_293T_2,697.3897,697.3953,697.3869,5600,18000,1.62,2.96,1.51
168,n_293T_2,860.5335,860.5383,860.528,2100,7300,1.62,2.29,1.52
169,n_293T_2,867.5407,867.5456,867.5258,3100,12000,1.62,1.97,1.55
172,n_293T_2,890.5885,890.5922,890.5857,6600,18000,1.62,2.64,1.53
173,n_293T_2,892.6021,892.6069,892.598,6000,15000,1.62,2.61,1.53
