mz,rt,rtmin,rtmax,n_293T_2
769.5024,90.6,88.2,104.4,1700
771.5159,90.6,86.39999999999999,122.99999999999999,4300
773.5321,90.6,85.8,156.6,11000
817.5014,90.6,87,98.39999999999999,2500
818.5046,90.6,88.2,93.60000000000001,1400
819.5184,90.6,85.19999999999999,101.39999999999999,23000
865.5011,90.6,85.8,112.8,6000
743.485,91.2,88.8,97.2,1500
745.5008,91.2,86.39999999999999,137.4,11000
791.4854,91.2,86.39999999999999,101.39999999999999,5000
792.4897,91.2,87,101.39999999999999,2900
797.5305,91.2,88.2,108,1900
841.5,91.2,88.2,94.80000000000001,1300
843.5155,91.2,88.2,93.60000000000001,1200
719.4841,91.8,88.2,123.60000000000001,3400
765.4708,91.8,89.4,94.2,1100
773.5822,91.8,88.2,101.39999999999999,11000
774.5868,91.8,88.8,95.4,6500
775.5911,91.8,89.4,94.2,2000
795.5152,91.8,86.39999999999999,98.39999999999999,3200
805.4991,91.8,88.8,93.60000000000001,1300
820.5213,91.8,85.8,102,12000
272.119,93,90,95.4,1300
340.2017,93,89.4,96.60000000000001,2200
548.2626,93,90.6,96.60000000000001,1800
569.2408,93,90,95.4,3200
717.4699,93,88.8,97.2,1700
794.5052,93,87,94.2,3200
982.5748,93,90.6,96.60000000000001,1200
309.1704,93.60000000000001,89.4,125.39999999999999,1900
325.1828,93.60000000000001,86.39999999999999,158.4,15000
326.1864,93.60000000000001,89.4,100.8,3100
339.1981,93.60000000000001,87,151.2,10000
353.1985,93.60000000000001,90,116.39999999999999,1800
397.2234,93.60000000000001,90.6,99.6,1000
467.3006,93.60000000000001,89.4,127.2,4900
468.3048,93.60000000000001,91.2,97.2,1100
473.2795,93.60000000000001,85.8,183.6,65000
475.2865,93.60000000000001,88.2,133.20000000000002,3600
485.2797,93.60000000000001,86.39999999999999,163.20000000000002,17000
487.2866,93.60000000000001,90,97.2,1100
489.2744,93.60000000000001,85.8,168.6,9200
490.28,93.60000000000001,87,126.6,3000
547.2599,93.60000000000001,89.4,123.60000000000001,6500
585.428,93.60000000000001,90.6,97.2,1800
980.5672,93.60000000000001,88.8,126,6400
981.5699,93.60000000000001,89.4,100.8,3500
1151.7187,93.60000000000001,91.8,96.60000000000001,1200
265.1469,94.2,88.8,133.8,6200
274.1265,94.2,90.6,96.60000000000001,1800
311.1671,94.2,88.2,154.8,15000
312.1707,94.2,90,99,2800
365.34,94.2,91.2,98.39999999999999,1500
