id,mz,rt,rtmin,rtmax,n_293T_2,mean_inten
1530,71.014,9.49,9.05,9.62,12000,12000
2425,71.0141,11.66,11.54,11.79,1800,1800
1663,72.0091,9.8,9.73,9.87,1200,1200
2323,73.0296,11.18,11.09,11.37,4600,4600
1638,74.0247,9.78,9.65,9.97,11000,11000
1888,74.0247,10.15,9.97,10.43,9700,9700
1578,75.0089,9.54,9.49,9.61,2400,2400
3897,76.9701,14.93,14.89,15.15,2200,2200
1555,78.9186,9.53,9.42,9.72,9300,9300
2294,78.9593,11.1,10.99,11.49,55000,55000
1767,79.9576,9.9,9.79,10.2,19000,19000
2619,79.9576,12.42,12.31,12.64,11000,11000
1556,80.9165,9.53,9.41,9.74,8300,8300
1866,84.0455,10.07,9.95,10.17,1400,1400
1531,85.0294,9.49,9.06,9.61,7900,7900
2655,85.0294,12.59,12.53,12.82,1400,1400
1094,88.0402,7.32,7.15,7.73,3900,3900
1557,88.0403,9.53,9.42,9.87,13000,13000
2150,88.0404,10.68,10.47,10.83,13000,13000
2249,88.0404,11.01,10.9,11.15,5000,5000
1520,89.0244,9.48,8.95,9.68,50000,50000
1142,89.0251,7.67,7.35,8.95,190000,190000
1143,90.0278,7.67,7.43,8.34,6400,6400
1516,90.0278,9.47,9.2,9.57,1500,1500
89,91.0219,1.59,1.52,1.74,1400,1400
1146,91.0287,7.68,7.51,7.91,1300,1300
1712,93.0456,9.85,9.74,9.96,2600,2600
1449,95.0137,9.2,9.11,9.33,1100,1100
2620,96.9608,12.42,12.18,12.83,150000,150000
2295,96.9693,11.1,11,11.4,6800,6800
2621,97.9598,12.42,12.35,12.53,1300,1300
2622,98.9562,12.42,12.32,12.63,7300,7300
1021,99.0088,3.83,3.77,3.89,1900,1900
1036,100.0225,5.57,5.36,5.93,1300,1300
1510,101.0244,9.46,9.06,9.61,6100,6100
2395,101.0244,11.51,11.42,11.64,4500,4500
1873,101.0719,10.08,9.94,10.2,3400,3400
1483,102.0196,9.38,9.3,9.43,1600,1600
