id,mz,rt,rtmin,rtmax,n_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
1530,71.014,9.49,9.05,9.62,12000,F1.png,TRUE,FALSE,FALSE,12000,FALSE,FALSE,FALSE
2425,71.0141,11.66,11.54,11.79,1800,F2.png,TRUE,FALSE,FALSE,1800,FALSE,FALSE,FALSE
1663,72.0091,9.8,9.73,9.87,1200,F3.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
2323,73.0296,11.18,11.09,11.37,4600,F4.png,TRUE,FALSE,FALSE,4600,FALSE,FALSE,FALSE
1638,74.0247,9.78,9.65,9.97,11000,F5.png,TRUE,FALSE,FALSE,11000,FALSE,FALSE,FALSE
1888,74.0247,10.15,9.97,10.43,9700,F6.png,TRUE,FALSE,FALSE,9700,FALSE,FALSE,FALSE
1338,74.0248,8.91,8.82,9.02,1600,F7.png,FALSE,TRUE,FALSE,1600,FALSE,FALSE,FALSE
1578,75.0089,9.54,9.49,9.61,2400,F8.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
2780,76.9701,14.14,13.8,14.16,2700,F9.png,FALSE,TRUE,FALSE,2700,FALSE,FALSE,FALSE
3897,76.9701,14.93,14.89,15.15,2200,F10.png,TRUE,FALSE,FALSE,2200,FALSE,FALSE,FALSE
1555,78.9186,9.53,9.42,9.72,9300,F11.png,TRUE,FALSE,FALSE,9300,FALSE,FALSE,FALSE
2066,78.959,10.47,10.4,10.57,12000,F12.png,FALSE,TRUE,FALSE,12000,FALSE,FALSE,FALSE
2294,78.9593,11.1,10.99,11.49,55000,F13.png,TRUE,FALSE,FALSE,55000,FALSE,FALSE,FALSE
1767,79.9576,9.9,9.79,10.2,19000,F14.png,TRUE,FALSE,FALSE,19000,FALSE,FALSE,FALSE
2619,79.9576,12.42,12.31,12.64,11000,F15.png,TRUE,FALSE,FALSE,11000,FALSE,FALSE,FALSE
1556,80.9165,9.53,9.41,9.74,8300,F16.png,TRUE,FALSE,FALSE,8300,FALSE,FALSE,FALSE
1866,84.0455,10.07,9.95,10.17,1400,F17.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1531,85.0294,9.49,9.06,9.61,7900,F18.png,TRUE,FALSE,FALSE,7900,FALSE,FALSE,FALSE
2655,85.0294,12.59,12.53,12.82,1400,F19.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1094,88.0402,7.32,7.15,7.73,3900,F20.png,TRUE,FALSE,FALSE,3900,FALSE,FALSE,FALSE
1557,88.0403,9.53,9.42,9.87,13000,F21.png,TRUE,FALSE,FALSE,13000,FALSE,FALSE,FALSE
2150,88.0404,10.68,10.47,10.83,13000,F22.png,TRUE,FALSE,FALSE,13000,FALSE,FALSE,FALSE
2249,88.0404,11.01,10.9,11.15,5000,F23.png,TRUE,FALSE,FALSE,5000,FALSE,FALSE,FALSE
1520,89.0244,9.48,8.95,9.68,50000,F24.png,TRUE,FALSE,FALSE,50000,FALSE,FALSE,FALSE
1142,89.0251,7.67,7.35,8.95,190000,F25.png,TRUE,FALSE,FALSE,190000,FALSE,FALSE,FALSE
1143,90.0278,7.67,7.43,8.34,6400,F26.png,TRUE,FALSE,FALSE,6400,FALSE,FALSE,FALSE
1516,90.0278,9.47,9.2,9.57,1500,F27.png,TRUE,FALSE,FALSE,1500,FALSE,FALSE,FALSE
89,91.0219,1.59,1.52,1.74,1400,F28.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1146,91.0287,7.68,7.51,7.91,1300,F29.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1712,93.0456,9.85,9.74,9.96,2600,F30.png,TRUE,FALSE,FALSE,2600,FALSE,FALSE,FALSE
3896,94.9806,14.92,14.89,15.16,1100,F31.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
1449,95.0137,9.2,9.11,9.33,1100,F32.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1538,95.0137,9.5,9.35,9.57,1500,F33.png,FALSE,TRUE,FALSE,1500,FALSE,FALSE,FALSE
2720,96.9602,13.08,12.83,13.46,2600,F34.png,FALSE,TRUE,FALSE,2600,FALSE,FALSE,FALSE
2620,96.9608,12.42,12.18,12.83,150000,F35.png,TRUE,FALSE,FALSE,150000,FALSE,FALSE,FALSE
2059,96.9691,10.46,10.41,10.51,1500,F36.png,FALSE,TRUE,FALSE,1500,FALSE,FALSE,FALSE
2295,96.9693,11.1,11,11.4,6800,F37.png,TRUE,FALSE,FALSE,6800,FALSE,FALSE,FALSE
2621,97.9598,12.42,12.35,12.53,1300,F38.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
2622,98.9562,12.42,12.32,12.63,7300,F39.png,TRUE,FALSE,FALSE,7300,FALSE,FALSE,FALSE
2798,99.0062,14.2,14.06,15.09,6000,F40.png,FALSE,TRUE,FALSE,6000,FALSE,FALSE,FALSE
1021,99.0088,3.83,3.77,3.89,1900,F41.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
1036,100.0225,5.57,5.36,5.93,1300,F42.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1510,101.0244,9.46,9.06,9.61,6100,F43.png,TRUE,FALSE,FALSE,6100,FALSE,FALSE,FALSE
2395,101.0244,11.51,11.42,11.64,4500,F44.png,TRUE,FALSE,FALSE,4500,FALSE,FALSE,FALSE
782,101.0606,2.92,2.86,3.03,1300,F45.png,FALSE,TRUE,FALSE,1300,FALSE,FALSE,FALSE
1873,101.0719,10.08,9.94,10.2,3400,F46.png,TRUE,FALSE,FALSE,3400,FALSE,FALSE,FALSE
1483,102.0196,9.38,9.3,9.43,1600,F47.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
2119,102.0561,10.56,10.43,10.85,70000,F48.png,TRUE,FALSE,FALSE,70000,FALSE,FALSE,FALSE
1074,103.0551,7.19,7.02,7.39,1600,F49.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
2120,103.0592,10.56,10.48,10.66,2900,F50.png,TRUE,FALSE,FALSE,2900,FALSE,FALSE,FALSE
1982,104.0354,10.32,10.21,10.5,11000,F51.png,TRUE,FALSE,FALSE,11000,FALSE,FALSE,FALSE
1484,105.0192,9.38,9.26,9.52,8000,F52.png,TRUE,FALSE,FALSE,8000,FALSE,FALSE,FALSE
1671,108.01220000000001,9.82,9.73,9.93,1700,F53.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1867,109.0406,10.07,9.91,10.24,9400,F54.png,TRUE,FALSE,FALSE,9400,FALSE,FALSE,FALSE
1683,110.0722,9.83,9.76,9.94,1700,F55.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
2682,111.0088,12.76,12.55,13.59,9800,F56.png,TRUE,FALSE,FALSE,9800,FALSE,FALSE,FALSE
1005,111.0198,3.53,3.45,3.69,1400,F57.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1768,111.947,9.9,9.83,10.03,1900,F58.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
2628,111.947,12.44,12.35,12.52,1100,F59.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
2353,112.0406,11.32,10.97,11.51,13000,F60.png,TRUE,FALSE,FALSE,13000,FALSE,FALSE,FALSE
1030,112.0516,4.69,4.49,5.44,6000,F61.png,TRUE,FALSE,FALSE,6000,FALSE,FALSE,FALSE
1243,113.0243,8.57,8.42,8.63,1100,F62.png,FALSE,TRUE,FALSE,1100,FALSE,FALSE,FALSE
1532,113.0245,9.49,9.03,9.67,24000,F63.png,TRUE,FALSE,FALSE,24000,FALSE,FALSE,FALSE
1912,113.0355,10.22,10.18,10.3,1300,F64.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
2165,114.0193,10.73,10.64,10.75,1200,F65.png,TRUE,FALSE,FALSE,1200,FALSE,FALSE,FALSE
2250,114.0196,11.01,10.91,11.13,4000,F66.png,TRUE,FALSE,FALSE,4000,FALSE,FALSE,FALSE
1558,114.0275,9.53,9.34,9.55,1200,F67.png,FALSE,TRUE,FALSE,1200,FALSE,FALSE,FALSE
1206,114.0561,8.39,8.24,8.69,12000,F68.png,TRUE,FALSE,FALSE,12000,FALSE,FALSE,FALSE
2146,115.0036,10.67,10.62,10.8,3400,F69.png,FALSE,TRUE,FALSE,3400,FALSE,FALSE,FALSE
2424,115.0041,11.65,11.5,11.84,14000,F70.png,TRUE,FALSE,FALSE,14000,FALSE,FALSE,FALSE
1144,115.0206,7.67,7.44,7.87,3800,F71.png,FALSE,TRUE,FALSE,3800,FALSE,FALSE,FALSE
978,115.0401,3.3,3.18,3.86,4400,F72.png,TRUE,FALSE,FALSE,4400,FALSE,FALSE,FALSE
1342,116.0352,8.92,8.78,9.09,4500,F73.png,TRUE,FALSE,FALSE,4500,FALSE,FALSE,FALSE
1214,116.0722,8.47,8.23,8.83,43000,F74.png,TRUE,FALSE,FALSE,43000,FALSE,FALSE,FALSE
