peak_id,id,medMz,medRt,log10_inten,class,formula,ppm_error,score_known_rt,score_MS2,level,accession,annotation
1,1,591.4006764523306,1.5,3.59,Putative metabolite,C33H54N2O7,-0.51,0,,4,,HMDB0240277 Kerdlan C27H44N2O2 + C6H10O5 -> C33H54N2O7
2,2,592.4029764523306,1.5,3.18,Artifact,[13]C1C32H54N2O7,1.35,0,,,,Peak 1 C33H54N2O7 + [13]C1C-1 -> [13]C1C32H54N2O7
3,3,476.29857645233056,1.52,3.45,Artifact,C22H46K1N1O7,-0.42,0,,,,Peak 61 C22H47N1O7 + H-1K1 -> C22H46K1N1O7
4,4,505.3242764523306,1.52,3.11,Artifact,[13]C1C27Cl1H47N1Na1O3,1.19,0,,,,Peak 233 C26Cl1H44N1O1 + C2H3Na1O2 -> C28Cl1H47N1Na1O3 + [13]C1C-1 -> [13]C1C27Cl1H47N1Na1O3
5,5,520.3527764523305,1.52,3.34,Putative metabolite,C32H45N3O3,1.16,0,,4,,HMDB0251773 Emetine C29H40N2O4 + C5H8 -> C34H48N2O4 - C2H4 -> C32H44N2O4 - H-1N-1O1 -> C32H45N3O3
6,6,533.3503764523306,1.52,3.73,Artifact,MS2_fragment_C33H54N2O7,-3.57,0,,,,Peak 1 C33H54N2O7 - Experiment_MS2_fragment -> MS2_fragment_C33H54N2O7
7,9,603.4008764523305,1.52,3.54,Artifact,[13]C1C38H53O5,-1.49,0,,,,"HMDB0302460 5-Hydroxycapsanthin-5,6-epoxide C39H54O5 - H1 -> C39H53O5 + [13]C1C-1 -> [13]C1C38H53O5"
8,10,604.4014764523305,1.52,3.2,Artifact,[13]C2C37H53O5,2.98,0,,,,"HMDB0302460 5-Hydroxycapsanthin-5,6-epoxide C39H54O5 - H1 -> C39H53O5 + [13]C1C-1 -> [13]C1C38H53O5 + [13]C1C-1 -> [13]C2C37H53O5"
9,11,774.9719764523305,1.52,3.3,Unknown,Unknown,0,,,,,Unknown
10,12,781.9810764523305,1.52,3.15,Unknown,Unknown,0,,,,,Unknown
11,13,819.2540764523305,1.52,3.08,Artifact,[2]H1C38H42N1O19,2.93,0,,,,No edge connections.
12,14,843.5118764523305,1.52,3.28,Artifact,C44H77Na2O10P1,0.47,0,,,,Peak 488 C40H71O6P1 + C4H7Na1O4 -> C44H78Na1O10P1 + H-1Na1 -> C44H77Na2O10P1
13,15,967.2922764523305,1.52,3.15,Artifact,[13]C1C57H47N1O11S1,5.48,0,,,,Peak 93 C56H44O11S1 + C2H3N1 -> C58H47N1O11S1 + [13]C1C-1 -> [13]C1C57H47N1O11S1
14,16,1039.3122764523307,1.52,3.04,Artifact,C39H61N8O17P3S1,3.85,0,,,,Peak 55 C37H58N7O17P3S1 + C2H3N1 -> C39H61N8O17P3S1
15,18,493.3247764523306,1.53,3.38,Artifact,C22H49K1N2O7,0.41,0,,,,Peak 61 C22H47N1O7 + H-1K1 -> C22H46K1N1O7 + H3N1 -> C22H49K1N2O7
16,19,504.3211764523306,1.53,3.58,Artifact,C28Cl1H47N1Na1O3,0.6,0,,,,Peak 233 C26Cl1H44N1O1 + C2H3Na1O2 -> C28Cl1H47N1Na1O3
17,22,633.8848764523306,1.53,3.76,Unknown,Unknown,0,,,,,Unknown
18,23,685.4328764523306,1.53,3,Artifact,C35H65Na1O9S1,-1.31,0,,,,Peak 71 C35H66O9S1 + H-1Na1 -> C35H65Na1O9S1
19,24,729.5053764523306,1.53,3,Metabolite,C40H73O9P1,1.51,,,3,HMDB0263571,"HMDB0263571 PA(17:0/20:3(6,8,11)-OH(5)) C40H73O9P1"
20,25,747.5137764523305,1.53,3.23,Metabolite,C40H75O10P1,4.42,,,3,HMDB0010575,"HMDB0010575 PG(16:0/18:2(9Z,12Z)) C40H75O10P1"
21,26,775.4828764523305,1.53,3.45,Artifact,C47Cl1H72K1O4,0,0,,,,Peak 519 C47H72O4 + H-1K1 -> C47H71K1O4 + Cl1H1 -> C47Cl1H72K1O4
22,27,782.4831764523306,1.53,3.18,Artifact,B1C43H68N1O9Si1,-0.38,0,,,,Peak 480 C43H67N1O5 + H4O4Si1 -> C43H71N1O9Si1 + B1H-3 -> B1C43H68N1O9Si1
23,28,785.5107764523306,1.53,3.11,Artifact,C37H77N2O11P1Si1,-0.13,0,,,,Peak 469 C37H75N2O8P1 + H2O3Si1 -> C37H77N2O11P1Si1
24,29,793.4990764523305,1.53,3.08,Artifact,C42H74Na1O10P1,-0.13,0,,,,"HMDB0263571 PA(17:0/20:3(6,8,11)-OH(5)) C40H73O9P1 - H2O1 -> C40H71O8P1 + C2H3Na1O2 -> C42H74Na1O10P1"
25,30,795.5140764523305,1.53,3.08,Metabolite,C44H75O10P1,3.78,,,3,HMDB0010584,"HMDB0010584 PG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C44H75O10P1"
26,31,817.2551764523305,1.53,3.23,Putative metabolite,C34H41N8O14P1,0.12,0,,4,,HMDB0304894 Sarecycline C24H29N3O8 + C10H12N5O6P1 -> C34H41N8O14P1
27,32,818.2566764523306,1.53,3.11,Artifact,[13]C1C33H41N8O14P1,2.32,0,,,,Peak 26 C34H41N8O14P1 + [13]C1C-1 -> [13]C1C33H41N8O14P1
28,33,821.5301764523306,1.53,3.52,Artifact,C44H78Na1O10P1,0.12,0,,,,Peak 488 C40H71O6P1 + C4H7Na1O4 -> C44H78Na1O10P1
