ilp_nodes1,ilp_nodes2,edge_id,node1,node2,mass_dif,category,linktype,direction,rdbe,formula1,formula2,ilp_edge_id,score_category,score_chromatogram_artifact,score_inten_isotope,score_MS2_library_fragment,score_MS2_similarity,score_MS2_abiotic_mz_appearance,cplex_score,ilp_solution
29437,29391,685,1653,1652,-2.841193067798297,Natural_abundance,[10]B1B-1,1,0,B1C18H24N6O18P3,[10]B1C18H24N6O18P3,776,1,0,-0.0064463738508445875,,,,0.9935536,1
24486,44568,998,1278,2753,1.42876152862219,Biotransform,H-1N-1O1,0,0,C6H12N2O1,C6H11N1O2,938,0,0,,,,,0,0
37852,32622,1007,2218,1898,-0.1179682112230833,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,974,0,0,,,,,0,0
28619,32622,1008,1604,1898,-6.93343811533715,Biotransform,H-1N-1O1,0,0,C4H9N3O2,C4H8N2O3,978,0,0,,,,,0,0
32622,36979,1009,1898,2170,1.3862488123449985,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,982,0,0,,,0.4435462016652272,,0.4435462,1
32622,35732,1010,1898,2062,2.137919355006332,Biotransform,H-1N-1O1,0,0,C4H8N2O3,C4H7N1O4,986,0,0,,,0.4435462016652272,,0.4435462,1
30271,31408,1019,1751,1839,6.7394348921391005,Biotransform,H-1N-1O1,0,0,C5H11N3O2,C5H10N2O3,1022,0,0,,,,,0,0
31408,43354,1020,1839,2584,-2.8260514677191173,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,1026,0,0,,,,,0,0
31408,35354,1021,1839,2035,-2.146020875976225,Biotransform,H-1N-1O1,0,0,C5H10N2O3,C5H9N1O4,1030,0,0,,,0.24537818584929297,,0.2453782,1
44503,24181,1022,2749,1245,-1.4656344002745123,Biotransform,H-1N-1O1,0,0,C6H14N2O2,C6H13N1O3,1034,0,0,,,,,0,0
24181,16739,1024,1245,667,0.570139151925871,Biotransform,H-1N-1O1,0,0,C6H13N1O3,C6H12O4,1042,0,0,,,,,0,0
24282,18730,1034,1258,810,0.5307309198203449,Biotransform,H-1N-1O1,0,0,C10H10N2,C10H9N1O1,1062,0,0,,,0.5020679871914127,,0.502068,1
44024,25567,1035,2695,1392,4.869004137383666,Biotransform,H-1N-1O1,0,0,C7H16N2O2,C7H15N1O3,1066,0,0,,,,,0,0
29960,28038,1041,1695,1537,2.8483930470648358,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,1082,0,0,,,,,0,0
28136,28038,1043,1551,1537,1.672396479125089,Biotransform,H-1N-1O1,0,0,C7H11N3O2,C7H10N2O3,1086,0,0,,,,,0,0
24079,28033,1046,1229,1536,-2.3870181124701095,Biotransform,H-1N-1O1,0,0,C7H15N3O2,C7H14N2O3,1092,0,0,,,,,0,0
44955,33267,1047,2812,1943,1.0532692873471379,Biotransform,H-1N-1O1,0,0,C6H14N4O2,C6H13N3O3,1096,0,0,,,0.2830690108993185,,0.283069,1
39676,42715,1048,2337,2551,1.5292161168763747,Biotransform,H-1N-1O1,0,0,C3H8N1O6P1,C3H7O7P1,1100,0,0,,,,,0,0
28043,31849,1049,1538,1860,0.44886499390022055,Biotransform,H-1N-1O1,0,0,C7H13N3O3,C7H12N2O4,1106,0,0,,,,,0,0
31849,36528,1050,1860,2131,0.4465285865085083,Biotransform,H-1N-1O1,0,0,C7H12N2O4,C7H11N1O5,1109,0,0,,,0.2796527651929845,,0.2796528,1
34379,26850,1062,2002,1471,-1.830021594655788,Biotransform,H-1N-1O1,0,0,C9H14N4O3,C9H13N3O4,1140,0,0,,,,,0,0
34379,22866,1063,2002,1118,0.37175630790186937,Biotransform,H-1N-1O1,0,0,C9H14N4O3,C9H13N3O4,1144,0,0,,,,,0,0
39147,42825,1069,2294,2558,1.9528127412982028,Biotransform,H-1N-1O1,0,0,C9F1H14N3O2S1,C9F1H13N2O3S1,1164,0,0,,,,,0,0
36909,42578,1077,2162,2542,-0.06036016376309024,Biotransform,H-1N-1O1,0,0,C10H15N3O5,C10H14N2O6,1191,0,0,,,,,0,0
36909,30612,1078,2162,1784,0.7145804034493584,Biotransform,H-1N-1O1,0,0,C10H15N3O5,C10H14N2O6,1198,0,0,,,,,0,0
30284,36179,1087,1754,2096,1.033845559896045,Biotransform,H-1N-1O1,0,0,C10H18N4O5,C10H17N3O6,1253,0,0,,,0.19060822114897197,,0.1906082,1
39645,39511,1091,2334,2322,1.3250364805158499,Biotransform,H-1N-1O1,0,0,C10H19N5O5,C10H18N4O6,1280,0,0,,,,,0,0
35595,39846,1096,2048,2346,-1.3444595795279968,Biotransform,H-1N-1O1,0,0,C11H20N2O8,C11H19N1O9,1311,0,0,,,0.31159973115345985,,0.3115997,1
19180,31935,1097,841,1866,-3.222844498513133,Biotransform,H-1N-1O1,0,0,C12H22N6S2,C12H21N5O1S2,1315,0,0,,,,,0,0
38788,36802,1100,2265,2154,0.2605340478601574,Biotransform,H-1N-1O1,0,0,C9H14N3O8P1,C9H13N2O9P1,1329,0,0,,,0.23199038190432714,,0.2319904,1
33380,37105,1110,1952,2179,-0.9067152426691033,Biotransform,H-1N-1O1,0,0,C10H14N5O7P1,C10H13N4O8P1,1420,0,0,,,,,0,0
32273,26525,1119,1877,1453,5.731559932253861,Biotransform,H-1N-1O1,0,0,C21H20N2O5,C21H19N1O6,1495,0,0,,,,,0,0
26525,27495,1120,1453,1504,2.314594789724407,Biotransform,H-1N-1O1,0,0,C21H19N1O6,C21H18O7,1507,0,0,,,,,0,0
25020,23767,1123,1330,1193,0.9903946400993603,Biotransform,H-1N-1O1,0,0,C17H21N7O4,C17H20N6O5,1539,0,0,,,0.40830855548225753,,0.4083086,1
42670,44081,1130,2547,2704,-0.03855940373972839,Biotransform,H-1N-1O1,0,0,C9H15N3O11P2,C9H14N2O12P2,1575,0,0,,,,,0,0
42670,40115,1131,2547,2366,1.6941108272426753,Biotransform,H-1N-1O1,0,0,C9H15N3O11P2,C9H14N2O12P2,1581,0,0,,,,,0,0
116283,23825,1132,4627,1201,-3.70335741457591,Biotransform,H-1N-1O1,0,0,C22H36N2O5,C22H35N1O6,1588,0,0,,,,,0,0
47160,27981,1144,2995,1532,-1.7536874634046442,Biotransform,H-1N-1O1,0,0,C18H16N4O11,C18H15N3O12,1624,0,0,,,,,0,0
22504,20792,1150,1054,938,0.5959179547477285,Biotransform,H-1N-1O1,0,0,C25H40N4O5,C25H39N3O6,1641,0,0,,,,,0,0
43840,43533,1155,2663,2611,2.6539381556639996,Biotransform,H-1N-1O1,0,0,C9H16N3O14P3,C9H15N2O15P3,1663,0,0,,,,,0,0
26377,26743,1207,1444,1462,2.7357953692691273,Biotransform,H-1N-1O1,0,0,C27F4H26N4O4S1,C27F4H25N3O5S1,1819,0,0,,,0.4284472248938139,,0.4284472,1
48788,51129,1260,3084,3192,4.561762965168612,Biotransform,H-1N-1O1,0,0,C15H25N5O20P4,C15H24N4O21P4,1892,0,0,,,,,0,0
47725,17084,1268,3026,688,0.6438032758133513,Biotransform,H-1N-1O1,0,0,C37F1H66N1O13,C37F1H65O14,1910,0,0,,,,,0,0
47725,20949,1269,3026,947,1.4412101002967301,Biotransform,H-1N-1O1,0,0,C37F1H66N1O13,C37F1H65O14,1914,0,0,,,,,0,0
6290,10949,1272,315,419,5.03437412189513,Biotransform,H-1N-1O1,0,0,C43H83N2O7P1,C43H82N1O8P1,1918,0,0,,,,,0,0
7455,11357,1279,344,426,4.666240399796352,Biotransform,H-1N-1O1,0,0,C43H85N2O8P1,C43H84N1O9P1,1934,0,0,,,,,0,0
43803,43698,1291,2657,2642,1.7758486696231501,Biotransform,H-1N-1O1,0,0,C12H27N1O29P6,C12H26O30P6,1965,0,0,,,0.3148697870755159,,0.3148698,1
43806,43706,1326,2658,2644,3.147095174191264,Biotransform,H-1N-1O1,0,0,C60H119N2O7P1,C60H118N1O8P1,1994,0,0,,,0.6367151113862197,,0.6367151,1
30557,30579,4127,1780,1781,2.7575979892770546,Natural_abundance,[29]Si1Si-1,1,0,C6H41N6Na1O24Si6,[29]Si1C6H41N6Na1O24Si5,7600,1,0,-0.06631116377374688,,,,0.9336888,1
