ilp_node_id,node_id,formula,mass,rdbe,category,parent_id,parent_formula,transform,direction,steps,status,PubMed_Count,accession,FirstBlock,struct_set_id,class,score_database_origin,score_mz,score_known_rt,score_MS2,score_RDBE,score_element_ratio,score_missing_isotope_Cl,score_propagation,sum_score,log10_inten,medMz,medRt,score_class,cplex_score,ilp_solution,path
2,1,C33H54N2O7,590.393102088,8,Metabolite,1080,C27H44N2O2,C6H10O5,1,1,,,,,3,Putative metabolite,0,-0.06806051518570644,0,,0,0,,0,-0.06806051518570644,3.591064607026499,590.3934235476695,1.5,0,-0.0680605,1,HMDB0240277 Kerdlan C27H44N2O2 + C6H10O5 -> C33H54N2O7
6,2,[13]C1C32H54N2O7,591.396456928,8,Natural_abundance,1,C33H54N2O7,[13]C1C-1,1,1.01,,,,,12,Artifact,0,-0.15501029849324482,0,,0,0,,0,-0.15501029849324482,3.1760912590556813,591.3957235476695,1.5,0,-0.1550103,1,Peak 1 C33H54N2O7 + [13]C1C-1 -> [13]C1C32H54N2O7
15,3,C22H46K1N1O7,475.291134722,1,Adduct,61,C22H47N1O7,H-1K1,1,0.02,,,,,24,Artifact,0,-0.04966052795321516,0,,0,0,,0,-0.04966052795321516,3.4471580313422194,475.29132354766944,1.52,0,-0.0496605,1,Peak 61 C22H47N1O7 + H-1K1 -> C22H46K1N1O7
40,4,[13]C1C27Cl1H47N1Na1O3,504.31757158399995,5,Natural_abundance,16,C28Cl1H47N1Na1O3,[13]C1C-1,1,1.02,,,,,88,Artifact,0,-0.13583611830662326,0,,0,0,,0,-0.13583611830662326,3.113943352306837,504.3170235476694,1.52,0,-0.1358361,1,Peak 233 C26Cl1H44N1O1 + C2H3Na1O2 -> C28Cl1H47N1Na1O3 + [13]C1C-1 -> [13]C1C27Cl1H47N1Na1O3
61,5,C32H45N3O3,519.34609233,12,Metabolite,759,C32H42N2O4,H3N1O-1,1,2,,,,,103,Putative metabolite,0,-0.13689867387104246,0,,0,0,,0,-0.13689867387104246,3.342422680822206,519.3455235476695,1.52,0,-0.1368987,1,HMDB0251773 Emetine C29H40N2O4 + C5H8 -> C34H48N2O4 - C2H4 -> C32H44N2O4 - H-1N-1O1 -> C32H45N3O3
71,6,MS2_fragment_C33H54N2O7,532.3411822476695,,Experiment_MS2_fragment,1,C33H54N2O7,Experiment_MS2_fragment,-1,1.01,,,,,116,Artifact,0,-0.4558401793662588,0,,0,0,,0,-0.4558401793662588,3.7323937598229686,532.3431235476695,1.52,0,-0.4558402,1,Peak 1 C33H54N2O7 - Experiment_MS2_fragment -> MS2_fragment_C33H54N2O7
80,7,[13]C1C38H53O5,602.3926546360001,13.5,Natural_abundance,269,C39H53O5,[13]C1C-1,1,0.02,,,,,123,Artifact,0,-0.20105483979262284,0,,0,0,,0,-0.20105483979262284,3.5440680443502757,602.3936235476694,1.52,0,-0.2010548,1,"HMDB0302460 5-Hydroxycapsanthin-5,6-epoxide C39H54O5 - H1 -> C39H53O5 + [13]C1C-1 -> [13]C1C38H53O5"
102,8,[13]C2C37H53O5,603.3960094760001,13.5,Natural_abundance,7,[13]C1C38H53O5,[13]C1C-1,1,0.03,,,,,146,Artifact,0,-0.36997434159287323,0,,0,0,,0,-0.36997434159287323,3.2041199826559246,603.3942235476695,1.52,0,-0.3699743,1,"HMDB0302460 5-Hydroxycapsanthin-5,6-epoxide C39H54O5 - H1 -> C39H53O5 + [13]C1C-1 -> [13]C1C38H53O5 + [13]C1C-1 -> [13]C2C37H53O5"
117,9,Unknown,773.9647235476695,0,Unknown,9,Unknown,,0,0,,0,,,167,Unknown,0,-0,,,0,0,,0,0,3.3010299956639813,773.9647235476695,1.52,-0.5,-0.5,1,Unknown
118,10,Unknown,780.9738235476694,0,Unknown,10,Unknown,,0,0,,0,,,168,Unknown,0,-0,,,0,0,,0,0,3.146128035678238,780.9738235476694,1.52,-0.5,-0.5,1,Unknown
129,11,[2]H1C38H42N1O19,818.2492049119999,17,Natural_abundance,27,C38H43N1O19,[2]H1H-1,1,1.02,,,,,193,Artifact,0,-0.3637895882006877,0,,0,0,,0,-0.3637895882006877,3.0791812460476247,818.2468235476695,1.52,0,-0.3637896,1,No edge connections.
153,12,C44H77Na2O10P1,842.504974474,6,Adduct,28,C44H78Na1O10P1,H-1Na1,1,0.03,,,,,221,Artifact,0,-0.05206591373992986,0,,0,0,,0,-0.05206591373992986,3.278753600952829,842.5046235476694,1.52,0,-0.0520659,1,Peak 488 C40H71O6P1 + C4H7Na1O4 -> C44H78Na1O10P1 + H-1Na1 -> C44H77Na2O10P1
200,13,[13]C1C57H47N1O11S1,966.290336904,35,Natural_abundance,35,C58H47N1O11S1,[13]C1C-1,1,1.02,,,,,263,Artifact,0,-0.6873395251489816,0,,0,0,,0,-0.6873395251489816,3.146128035678238,966.2850235476694,1.52,0,-0.6873395,1,Peak 93 C56H44O11S1 + C2H3N1 -> C58H47N1O11S1 + [13]C1C-1 -> [13]C1C57H47N1O11S1
205,14,C39H61N8O17P3S1,1038.308822772,14,Adduct,55,C37H58N7O17P3S1,C2H3N1,1,1.01,,,,,273,Artifact,0,-0.42126487971460835,0,,0,0,,0,-0.42126487971460835,3.041392685158225,1038.3053235476693,1.52,0,-0.4212649,1,Peak 55 C37H58N7O17P3S1 + C2H3N1 -> C39H61N8O17P3S1
208,15,C22H49K1N2O7,492.317683828,1,Adduct,3,C22H46K1N1O7,H3N1,1,0.03,,,,,298,Artifact,0,-0.040695351765489614,0,,0,0,,0,-0.040695351765489614,3.380211241711606,492.3175235476694,1.53,0,-0.0406954,1,Peak 61 C22H47N1O7 + H-1K1 -> C22H46K1N1O7 + H3N1 -> C22H49K1N2O7
220,16,C28Cl1H47N1Na1O3,503.31421674399996,5,Adduct,233,C26Cl1H44N1O1,C2H3Na1O2,1,1.01,,,,,306,Artifact,0,-0.07281642382139566,0,,0,0,,0,-0.07281642382139566,3.57978359661681,503.3139235476694,1.53,0,-0.0728164,1,Peak 233 C26Cl1H44N1O1 + C2H3Na1O2 -> C28Cl1H47N1Na1O3
225,17,Unknown,632.8776235476695,0,Unknown,17,Unknown,,0,0,,0,,,307,Unknown,0,-0,,,0,0,,0,0,3.7634279935629373,632.8776235476695,1.53,-0.5,-0.5,1,Unknown
227,18,C35H65Na1O9S1,684.4246990499998,3,Adduct,71,C35H66O9S1,H-1Na1,1,1.01,,,,,310,Artifact,0,-0.16884576033836712,0,,0,0,,0,-0.16884576033836712,3,684.4256235476695,1.53,0,-0.1688458,1,Peak 71 C35H66O9S1 + H-1Na1 -> C35H65Na1O9S1
231,19,C40H73O9P1,728.499220406,5,Metabolite,180562,C40H73O9P1,,1,0,predicted,0,HMDB0263571,HIYKHXAAVXSYHO,312,Metabolite,0,-0.1882051311357187,,,0,0,,0,-0.1882051311357187,3,728.4981235476695,1.53,0.1,-0.0882051,1,"HMDB0263571 PA(17:0/20:3(6,8,11)-OH(5)) C40H73O9P1"
239,20,C40H75O10P1,746.50978509,4,Metabolite,11170,C40H75O10P1,,1,0,quantified,3873,HMDB0010575,ATBOMIWRCZXYSZ,352,Metabolite,0.5794079808191547,-0.5461318786039907,,,0,0,,0,0.03327610221516397,3.230448921378274,746.5065235476694,1.53,0.1,0.1332761,1,"HMDB0010575 PG(16:0/18:2(9Z,12Z)) C40H75O10P1"
249,21,C47Cl1H72K1O4,774.4756203940001,12,Adduct,380,C47H71K1O4,Cl1H1,1,0.03,,,,,393,Artifact,0,-5.090007469346305e-4,0,,0,0,,0,-5.090007469346305e-4,3.4471580313422194,774.4756235476694,1.53,0,-5.09e-4,1,Peak 519 C47H72O4 + H-1K1 -> C47H71K1O4 + Cl1H1 -> C47Cl1H72K1O4
286,22,B1C43H68N1O9Si1,781.4756397560001,13,Adduct,238,C43H71N1O9Si1,B1H-3,1,1.02,,,,,435,Artifact,0,-0.04539355658802229,0,,0,0,,0,-0.04539355658802229,3.1760912590556813,781.4759235476695,1.53,0,-0.0453936,1,Peak 480 C43H67N1O5 + H4O4Si1 -> C43H71N1O9Si1 + B1H-3 -> B1C43H68N1O9Si1
301,23,C37H77N2O11P1Si1,784.503424284,2,Adduct,469,C37H75N2O8P1,H2O3Si1,1,0.02,,,,,446,Artifact,0,-0.015816321903031606,0,,0,0,,0,-0.015816321903031606,3.113943352306837,784.5035235476695,1.53,0,-0.0158163,1,Peak 469 C37H75N2O8P1 + H2O3Si1 -> C37H77N2O11P1Si1
318,24,C42H74Na1O10P1,792.491729718,6,Adduct,138,C40H71O8P1,C2H3Na1O2,1,0.01,,,,,463,Artifact,0,-0.014799786856234174,0,,0,0,,0,-0.014799786856234174,3.0791812460476247,792.4918235476695,1.53,0,-0.0147998,1,"HMDB0263571 PA(17:0/20:3(6,8,11)-OH(5)) C40H73O9P1 - H2O1 -> C40H71O8P1 + C2H3Na1O2 -> C42H74Na1O10P1"
343,25,C44H75O10P1,794.50978509,8,Metabolite,11179,C44H75O10P1,,1,0,quantified,0,HMDB0010584,HUFCXYMYEWLLHT,489,Metabolite,0.4,-0.46593861808855,,,0,0,,0,-0.06593861808855,3.0791812460476247,794.5068235476695,1.53,0.1,0.0340614,1,"HMDB0010584 PG(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z)) C44H75O10P1"
352,26,C34H41N8O14P1,816.247984562,19,Metabolite,1206,C24H29N3O8,C10H12N5O6P1,1,1,,,,,520,Putative metabolite,0,-0.009343718421715184,0,,0,0,,0,-0.009343718421715184,3.230448921378274,816.2479235476694,1.53,0,-0.0093437,1,HMDB0304894 Sarecycline C24H29N3O8 + C10H12N5O6P1 -> C34H41N8O14P1
358,27,[13]C1C33H41N8O14P1,817.2513394020001,19,Natural_abundance,26,C34H41N8O14P1,[13]C1C-1,1,1.01,,,,,537,Artifact,0,-0.2930332197446575,0,,0,0,,0,-0.2930332197446575,3.113943352306837,817.2494235476695,1.53,0,-0.2930332,1,Peak 26 C34H41N8O14P1 + [13]C1C-1 -> [13]C1C33H41N8O14P1
373,28,C44H78Na1O10P1,820.5230298460001,6,Fragment,208,C45H80Na1O11P1,C1H2O1,-1,0.02,,,,,567,Artifact,0,-0.016193684809307874,0,,0,0,,0,-0.016193684809307874,3.5185139398778875,820.5229235476695,1.53,0,-0.0161937,1,Peak 488 C40H71O6P1 + C4H7Na1O4 -> C44H78Na1O10P1
422,29,[13]C1C43H78Na1O10P1,821.5263846860001,6,Natural_abundance,28,C44H78Na1O10P1,[13]C1C-1,1,0.03,,,,,734,Artifact,0,-0.00591302817628619,0,,0,0,,0,-0.00591302817628619,3.230448921378274,821.5264235476694,1.53,0,-0.005913,1,Peak 488 C40H71O6P1 + C4H7Na1O4 -> C44H78Na1O10P1 + [13]C1C-1 -> [13]C1C43H78Na1O10P1
510,30,C42H81N2Na2O11P1,866.5373372419999,3,Adduct,425,C42H81N1Na1O8P1,N1Na1O3,1,0.02,,,,,830,Artifact,0,-0.10295204542406652,0,,0,0,,0.06705747596573508,-0.03589456945833144,3.361727836017593,866.5366235476695,1.53,0,-0.0358946,1,HMDB0007972 PC(16:0/18:1(9Z)) C42H82N1O8P1 + H-2Na2 -> C42H80N1Na2O8P1 + H1N1O3 -> C42H81N2Na2O11P1
625,31,C43H46N4O15S1,890.268037542,23,Metabolite,2011,C43H44N4O15,H2S1,1,2,,,,,943,Putative metabolite,0,-0.012075811136696209,0,,0,0,,0,-0.012075811136696209,3.255272505103306,890.2681235476695,1.53,0,-0.0120758,1,HMDB0253093 Heptacarboxyporphyrin C27H14N4O14 + C16H30O1 -> C43H44N4O15 + H2S1 -> C43H46N4O15S1
632,32,C40H45N8O12P2,891.2632169399999,22.5,Radical,33,C40H46N8O12P2,H1,-1,1.02,,,,,949,Artifact,0,-0.6040033387093829,0,,0,0,,0,-0.6040033387093829,3.2041199826559246,891.2675235476695,1.53,0,-0.6040033,1,No edge connections.
636,33,[13]C1C39H45N8O12P2,892.2665717799999,22.5,Natural_abundance,32,C40H45N8O12P2,[13]C1C-1,1,1.03,,,,,959,Artifact,0,-0.06279406073864753,0,,0,0,,0,-0.06279406073864753,3.113943352306837,892.2661235476695,1.53,0,-0.0627941,1,No edge connections.
648,34,C36H58N2O24P2,964.285473736,10,Metabolite,3008,C20H28N2O23P2,C16H30O1,1,2,,,,,967,Putative metabolite,0,-0.019468862515148982,0,,0,0,,0,-0.019468862515148982,3.2041199826559246,964.2853235476695,1.53,0,-0.0194689,1,No edge connections.
654,35,C58H47N1O11S1,965.286982064,35,Adduct,93,C56H44O11S1,C2H3N1,1,1.01,,,,,972,Artifact,0,-0.03127096836960833,0,,0,0,,0,-0.03127096836960833,3.146128035678238,965.2872235476694,1.53,0,-0.031271,1,Peak 93 C56H44O11S1 + C2H3N1 -> C58H47N1O11S1
661,36,Unknown,482.6375235476694,0,Unknown,36,Unknown,,0,0,,0,,,979,Unknown,0,-0,,,0,0,,0,0,3.3010299956639813,482.6375235476694,1.54,-0.5,-0.5,1,Unknown
664,37,C30H38N2O4,490.283157716,13,Metabolite,266,C30H35N1O4,H3N1,1,2,,,,,988,Putative metabolite,0,-0.04227956507942361,0,,0,0,,0,-0.04227956507942361,3.1760912590556813,490.2833235476694,1.54,0,-0.0422796,1,HMDB0259765 VAPIPROST C30H39N1O4 - H-1N-1O1 -> C30H40N2O3 - H2 -> C30H38N2O3 + O1 -> C30H38N2O4
680,38,B1C33H38N1O2,491.299559966,16,Adduct,117,C33H41N1O2,B1H-3,1,1.01,,,,,1040,Artifact,0,-0.04161963564485342,0,,0,0,,0,-0.04161963564485342,4.113943352306837,491.29972354766943,1.54,0,-0.0416196,1,Peak 117 C33H41N1O2 + B1H-3 -> B1C33H38N1O2
691,39,Unknown,531.3499235476695,0,Unknown,39,Unknown,,0,0,,0,,,1044,Unknown,0,-0,,,0,0,,0,0,3.4471580313422194,531.3499235476695,1.54,-0.5,-0.5,1,Unknown
695,40,C33H52N4O8,632.3785146639999,10,Metabolite,2028,C17H22N4O7,C16H30O1,1,1,,,,,1047,Putative metabolite,0,-0.5121767008139659,0,,0,0,,0,-0.5121767008139659,3.9138138523837167,632.3759235476695,1.54,0,-0.5121767,1,HMDB0251150 Diaziquone C16H20N4O6 + C1H2O1 -> C17H22N4O7 + C16H30O1 -> C33H52N4O8
700,41,[13]C1C32H52N4O8,633.381869504,10,Natural_abundance,40,C33H52N4O8,[13]C1C-1,1,1.01,,,,,1054,Artifact,0,-0.3445702376772765,0,,0,0,,0,-0.3445702376772765,3.4471580313422194,633.3801235476694,1.54,0,-0.3445702,1,Peak 40 C33H52N4O8 + [13]C1C-1 -> [13]C1C32H52N4O8
