groupId,sample,peakMz,mzmax,mzmin,peakArea,peakIntensity,rt,rtmax,rtmin
1,p_293T_2,591.4007,591.4054,591.3978,340,3900,1.5,1.61,1.45
2,p_293T_2,592.403,592.4084,592.4003,98,1500,1.5,1.56,1.47
3,p_293T_2,476.2986,476.3045,476.2941,410,2800,1.52,1.7,1.45
4,p_293T_2,505.3243,505.3258,505.3219,120,1300,1.52,1.6,1.48
5,p_293T_2,520.3528,520.355,520.3515,190,2200,1.52,1.58,1.46
6,p_293T_2,533.3504,533.3543,533.3482,560,5400,1.52,1.62,1.45
9,p_293T_2,603.4009,603.4052,603.3973,390,3500,1.52,1.68,1.46
10,p_293T_2,604.4015,604.4044,604.3946,130,1600,1.52,1.58,1.47
11,p_293T_2,774.972,774.9774,774.9685,170,2000,1.52,1.6,1.47
12,p_293T_2,781.9811,781.9852,781.9785,97,1400,1.52,1.58,1.49
13,p_293T_2,819.2541,819.2585,819.2463,80,1200,1.52,1.58,1.49
14,p_293T_2,843.5119,843.5141,843.5093,170,1900,1.52,1.58,1.46
15,p_293T_2,967.2923,967.2964,967.286,86,1400,1.52,1.57,1.49
16,p_293T_2,1039.3126,1039.3164,1039.3071,68,1100,1.52,1.57,1.49
18,p_293T_2,493.3248,493.3321,493.3189,330,2400,1.53,1.68,1.46
19,p_293T_2,504.3212,504.3254,504.3152,560,3800,1.53,1.75,1.46
22,p_293T_2,633.8849,633.8887,633.8827,630,5800,1.53,1.65,1.46
23,p_293T_2,685.4329,685.4349,685.4304,70,1000,1.53,1.58,1.5
24,p_293T_2,729.5054,729.5119,729.502,89,1000,1.53,1.6,1.49
25,p_293T_2,747.5138,747.5158,747.5107,150,1700,1.53,1.58,1.47
26,p_293T_2,775.4829,775.4902,775.4767,330,2800,1.53,1.62,1.46
27,p_293T_2,782.4832,782.49,782.4808,100,1500,1.53,1.58,1.49
28,p_293T_2,785.5108,785.5169,785.5055,97,1300,1.53,1.57,1.48
29,p_293T_2,793.4991,793.5093,793.4965,98,1200,1.53,1.6,1.48
30,p_293T_2,795.5141,795.5243,795.5115,110,1200,1.53,1.58,1.47
31,p_293T_2,817.2552,817.2577,817.2496,140,1700,1.53,1.6,1.48
32,p_293T_2,818.2567,818.2597,818.2518,110,1300,1.53,1.61,1.49
33,p_293T_2,821.5302,821.5435,821.5264,380,3300,1.53,1.62,1.46
34,p_293T_2,822.5337,822.5407,822.5297,160,1700,1.53,1.6,1.47
37,p_293T_2,867.5439,867.5496,867.527,200,2300,1.53,1.62,1.5
38,p_293T_2,891.2754,891.2788,891.2727,140,1800,1.53,1.58,1.48
39,p_293T_2,892.2748,892.2782,892.2721,110,1600,1.53,1.58,1.49
40,p_293T_2,893.2734,893.2762,893.268,93,1300,1.53,1.58,1.49
41,p_293T_2,965.2926,965.2995,965.2902,110,1600,1.53,1.58,1.48
42,p_293T_2,966.2945,966.2972,966.2913,100,1400,1.53,1.58,1.48
43,p_293T_2,483.6448,483.6479,483.6393,210,2000,1.54,1.65,1.49
44,p_293T_2,491.2906,491.294,491.2887,170,1500,1.54,1.61,1.46
45,p_293T_2,492.307,492.3163,492.2986,960,13000,1.54,1.61,1.52
46,p_293T_2,532.3572,532.3665,532.3501,310,2800,1.54,1.64,1.47
48,p_293T_2,633.3832,633.3901,633.3791,1000,8200,1.54,1.71,1.46
49,p_293T_2,634.3874,634.3915,634.3842,250,2800,1.54,1.6,1.47
50,p_293T_2,640.391,640.3993,640.385,660,6000,1.54,1.72,1.47
51,p_293T_2,640.8921,640.8943,640.8893,410,4000,1.54,1.67,1.48
52,p_293T_2,641.3957,641.3995,641.3939,240,2200,1.54,1.64,1.49
53,p_293T_2,708.5098,708.5116,708.5076,1100,14000,1.54,1.61,1.47
54,p_293T_2,709.5125,709.5242,709.5098,600,7000,1.54,1.63,1.48
55,p_293T_2,710.5143,710.5161,710.5121,140,1900,1.54,1.6,1.49
56,p_293T_2,721.5054,721.5068,721.5007,3500,35000,1.54,1.68,1.45
57,p_293T_2,722.5086,722.5124,722.5051,2400,17000,1.54,1.7,1.46
59,p_293T_2,726.4701,726.4732,726.4675,150,1800,1.54,1.61,1.49
60,p_293T_2,743.2373,743.239,743.2344,91,1300,1.54,1.58,1.49
63,p_293T_2,854.2433,854.2476,854.2383,120,1400,1.54,1.62,1.5
64,p_293T_2,866.5514,866.5564,866.5422,300,2900,1.54,1.62,1.48
65,p_293T_2,867.0553,867.0574,867.0505,140,1700,1.54,1.6,1.49
67,p_293T_2,998.2839,998.2897,998.272,370,3300,1.54,1.67,1.48
68,p_293T_2,1002.2817,1002.2914,1002.275,100,1200,1.54,1.62,1.5
69,p_293T_2,1073.3057,1073.3102,1073.3004,140,1700,1.54,1.61,1.49
70,p_293T_2,1074.3029,1074.3062,1074.2933,150,1700,1.54,1.63,1.49
71,p_293T_2,1075.3029,1075.3056,1075.299,78,1100,1.54,1.6,1.5
72,p_293T_2,437.3432,437.3455,437.3381,1700,16000,1.55,1.81,1.48
73,p_293T_2,438.3466,438.3481,438.3433,200,2700,1.55,1.63,1.5
