mz,rt,rtmin,rtmax,p_293T_2
591.4007,90,87,96.60000000000001,3900
592.403,90,88.2,93.60000000000001,1500
476.2986,91.2,87,102,2800
505.3243,91.2,88.8,96,1300
520.3528,91.2,87.6,94.80000000000001,2200
533.3504,91.2,87,97.2,5400
534.3516,91.2,88.2,96.60000000000001,1900
545.3478,91.2,87.6,97.2,4000
603.4009,91.2,87.6,100.8,3500
604.4015,91.2,88.2,94.80000000000001,1600
774.972,91.2,88.2,96,2000
781.9811,91.2,89.4,94.80000000000001,1400
819.2541,91.2,89.4,94.80000000000001,1200
843.5119,91.2,87.6,94.80000000000001,1900
967.2923,91.2,89.4,94.2,1400
1039.3126,91.2,89.4,94.2,1100
339.2878,91.8,88.2,99,1400
493.3248,91.8,87.6,100.8,2400
504.3212,91.8,87.6,105,3800
546.3509,91.8,88.2,94.80000000000001,1500
578.3721,91.8,90,97.2,1000
633.8849,91.8,87.6,99,5800
685.4329,91.8,90,94.80000000000001,1000
729.5054,91.8,89.4,96,1000
747.5138,91.8,88.2,94.80000000000001,1700
775.4829,91.8,87.6,97.2,2800
782.4832,91.8,89.4,94.80000000000001,1500
785.5108,91.8,88.8,94.2,1300
793.4991,91.8,88.8,96,1200
795.5141,91.8,88.2,94.80000000000001,1200
817.2552,91.8,88.8,96,1700
818.2567,91.8,89.4,96.60000000000001,1300
821.5302,91.8,87.6,97.2,3300
822.5337,91.8,88.2,96,1700
839.5598,91.8,87.6,97.8,2300
859.5444,91.8,88.8,94.2,1100
867.5439,91.8,90,97.2,2300
891.2754,91.8,88.8,94.80000000000001,1800
892.2748,91.8,89.4,94.80000000000001,1600
893.2734,91.8,89.4,94.80000000000001,1300
965.2926,91.8,88.8,94.80000000000001,1600
966.2945,91.8,88.8,94.80000000000001,1400
483.6448,92.4,89.4,99,2000
491.2906,92.4,87.6,96.60000000000001,1500
492.307,92.4,91.2,96.60000000000001,13000
532.3572,92.4,88.2,98.39999999999999,2800
607.3896,92.4,90,96,1000
633.3832,92.4,87.6,102.6,8200
634.3874,92.4,88.2,96,2800
640.391,92.4,88.2,103.2,6000
640.8921,92.4,88.8,100.19999999999999,4000
641.3957,92.4,89.4,98.39999999999999,2200
708.5098,92.4,88.2,96.60000000000001,14000
709.5125,92.4,88.8,97.8,7000
710.5143,92.4,89.4,96,1900
721.5054,92.4,87,100.8,35000
722.5086,92.4,87.6,102,17000
723.5104,92.4,88.8,94.80000000000001,4700
726.4701,92.4,89.4,96.60000000000001,1800
743.2373,92.4,89.4,94.80000000000001,1300
762.2085,92.4,86.39999999999999,96.60000000000001,1200
812.5415,92.4,88.8,96.60000000000001,1300
854.2433,92.4,90,97.2,1400
866.5514,92.4,88.8,97.2,2900
867.0553,92.4,89.4,96,1700
984.5875,92.4,89.4,97.8,1800
998.2839,92.4,88.8,100.19999999999999,3300
1002.2817,92.4,90,97.2,1200
1073.3057,92.4,89.4,96.60000000000001,1700
1074.3029,92.4,89.4,97.8,1700
1075.3029,92.4,90,96,1100
437.3432,93,88.8,108.60000000000001,16000
438.3466,93,90,97.8,2700
473.3146,93,91.2,96,1700
479.3078,93,90,96,1400
498.8018,93,88.2,106.2,8700
499.3038,93,88.8,101.39999999999999,5000
499.8052,93,90,96,1400
540.0267,93,90,97.8,1700
569.4337,93,91.8,97.2,1300
575.4903,93,90,99,2000
647.4565,93,89.4,96.60000000000001,2200
663.4516,93,87,158.4,49000
664.455,93,88.2,157.20000000000002,23000
665.4578,93,88.8,103.8,5800
680.4781,93,88.2,98.39999999999999,20000
681.4816,93,88.8,102.6,9400
682.4852,93,89.4,97.8,2300
717.9554,93,88.2,108,6400
718.4577,93,88.2,100.19999999999999,6100
719.4661,93,90,94.80000000000001,1200
724.9636,93,88.2,107.4,14000
725.4657,93,88.2,122.4,12000
725.9666,93,88.8,103.2,5400
776.2294,93,88.8,121.79999999999998,8100
777.2299,93,88.8,120,5700
778.2276,93,88.8,103.8,5200
779.2277,93,89.4,99.6,2700
780.2265,93,90,98.39999999999999,1300
850.2478,93,88.8,111,7000
851.2489,93,88.8,119.4,5300
852.2469,93,88.8,110.4,5200
853.2467,93,89.4,99,2700
924.267,93,88.8,109.80000000000001,5100
925.2679,93,88.8,102,4400
926.2658,93,88.8,102.6,4400
927.2651,93,89.4,97.8,2300
928.2626,93,90,97.8,1300
983.5847,93,88.8,104.4,5800
996.598,93,88.2,108,13000
997.6011,93,88.8,109.2,7700
998.6042,93,89.4,98.39999999999999,2400
999.2858,93,88.8,100.8,3200
1000.285,93,88.8,100.19999999999999,3100
1001.2839,93,89.4,97.2,1900
1072.3037,93,89.4,99,1600
281.1644,93.60000000000001,60.6,101.39999999999999,2100
391.2834,93.60000000000001,88.8,224.4,460000
413.2646,93.60000000000001,88.8,162.6,18000
414.2675,93.60000000000001,90,104.4,4900
429.239,93.60000000000001,91.2,100.8,2200
430.0866,93.60000000000001,88.8,103.8,1600
431.0838,93.60000000000001,90,100.8,1800
436.3399,93.60000000000001,88.8,99,55000
446.3031,93.60000000000001,91.8,101.39999999999999,1800
447.1126,93.60000000000001,88.8,121.2,6800
449.3397,93.60000000000001,88.2,122.99999999999999,26000
450.3422,93.60000000000001,89.4,107.4,8400
451.3441,93.60000000000001,91.2,98.39999999999999,1500
474.3122,93.60000000000001,91.2,96.60000000000001,2100
475.2952,93.60000000000001,84.6,94.80000000000001,8400
478.9733,93.60000000000001,90,96.60000000000001,1500
484.3226,93.60000000000001,89.4,96.60000000000001,2100
491.7939,93.60000000000001,88.2,108,12000
492.7967,93.60000000000001,89.4,99,1900
521.117,93.60000000000001,90,104.4,2300
523.2971,93.60000000000001,91.2,96.60000000000001,1000
540.1578,93.60000000000001,88.2,122.99999999999999,3500
540.3606,93.60000000000001,90,97.2,1900
547.4575,93.60000000000001,91.2,98.39999999999999,1800
554.1731,93.60000000000001,90,115.19999999999999,4400
556.1717,93.60000000000001,91.2,99.6,1700
577.516,93.60000000000001,90,96.60000000000001,1100
583.3751,93.60000000000001,87.6,123.60000000000001,47000
583.8767,93.60000000000001,88.2,123.60000000000001,31000
584.3781,93.60000000000001,88.8,123.60000000000001,13000
584.8802,93.60000000000001,89.4,100.19999999999999,3100
613.1795,93.60000000000001,60.6,112.2,4300
628.1919,93.60000000000001,88.8,122.99999999999999,7900
629.1929,93.60000000000001,89.4,118.8,4600
631.1898,93.60000000000001,91.2,97.2,1400
702.2108,93.60000000000001,88.8,124.19999999999999,8900
703.2109,93.60000000000001,89.4,111.60000000000001,5900
704.2092,93.60000000000001,89.4,104.4,4700
705.2083,93.60000000000001,90,98.39999999999999,2200
711.4997,93.60000000000001,89.4,94.80000000000001,1200
713.4192,93.60000000000001,88.2,185.39999999999998,36000
714.4227,93.60000000000001,88.8,108,15000
715.4248,93.60000000000001,90,104.4,4100
803.5322,93.60000000000001,90,105,5900
810.0388,93.60000000000001,89.4,100.8,3600
918.5421,93.60000000000001,91.2,96.60000000000001,1800
982.5819,93.60000000000001,88.2,105,10000
1165.7442,93.60000000000001,88.2,161.4,20000
1166.747,93.60000000000001,88.8,143.4,14000
1167.7501,93.60000000000001,89.4,122.99999999999999,5300
113.1318,94.2,91.2,105.6,3100
121.0274,94.2,90,99,1100
149.0228,94.2,60.6,126,98000
150.0257,94.2,60.6,122.4,8700
167.0328,94.2,88.8,175.2,20000
168.0362,94.2,91.8,97.8,1600
261.1474,94.2,88.8,174.60000000000002,29000
262.151,94.2,90,121.79999999999998,5100
279.1586,94.2,60.6,127.8,89000
280.1616,94.2,60.6,128.4,15000
298.0819,94.2,92.4,98.39999999999999,1200
356.0684,94.2,91.8,101.39999999999999,1600
357.0641,94.2,91.8,99,1500
357.2129,94.2,91.2,96,1600
371.0992,94.2,90,118.2,9400
372.1002,94.2,90,111.60000000000001,3200
373.0961,94.2,90,99.6,2800
388.3759,94.2,91.8,99.6,1300
392.2863,94.2,88.2,222.6,120000
408.3064,94.2,91.8,99,2200
429.0866,94.2,88.8,122.99999999999999,4100
443.2922,94.2,90,99,2500
445.1175,94.2,88.8,122.4,14000
445.3661,94.2,91.8,99,1200
448.1108,94.2,88.8,102.6,2400
464.1407,94.2,89.4,119.4,8900
464.3758,94.2,91.2,100.19999999999999,2000
466.1349,94.2,90,97.2,1400
486.3437,94.2,90,100.19999999999999,6100
487.3446,94.2,91.8,100.19999999999999,2100
522.1173,94.2,91.2,96,1300
536.163,94.2,84,123.60000000000001,45000
537.1632,94.2,87,122.99999999999999,24000
538.1609,94.2,81.60000000000001,122.99999999999999,20000
539.16010000000006,94.2,88.8,122.99999999999999,7800
555.1748,94.2,91.2,100.8,2300
566.3001,94.2,91.2,100.8,2300
577.3695,94.2,89.4,105,5000
630.1902,94.2,90,103.8,3400
635.3642,94.2,91.2,103.2,6700
636.3676,94.2,92.4,98.39999999999999,2200
637.3615,94.2,92.4,99.6,2700
658.5104,94.2,89.4,100.19999999999999,1000
667.9476,94.2,88.8,123.60000000000001,22000
668.4495,94.2,88.8,172.79999999999998,18000
668.9509,94.2,89.4,121.79999999999998,7700
669.4527,94.2,90,102,2400
850.5398,94.2,89.4,104.4,7000
886.5726,94.2,92.4,98.39999999999999,1600
1073.6777,94.2,91.8,101.39999999999999,5000
1074.6824,94.2,91.8,100.19999999999999,3300
1152.7316,94.2,90,116.39999999999999,3600
297.0812,94.80000000000001,90,123.60000000000001,4500
335.2202,94.80000000000001,92.4,99,1300
390.1107,94.80000000000001,91.8,103.2,2300
427.2489,94.80000000000001,91.8,100.8,1500
429.3707,94.80000000000001,89.4,104.4,12000
430.3739,94.80000000000001,90,107.4,2900
441.7864,94.80000000000001,88.8,122.99999999999999,65000
442.2878,94.80000000000001,88.8,122.99999999999999,34000
442.7895,94.80000000000001,89.4,108.60000000000001,9900
445.6348,94.80000000000001,90,111.60000000000001,6500
446.1182,94.80000000000001,89.4,114.6,6000
463.1434,94.80000000000001,89.4,122.4,14000
463.3761,94.80000000000001,91.2,109.80000000000001,3800
465.1387,94.80000000000001,87.6,112.2,3700
540.4425,94.80000000000001,72,103.8,2300
576.3669,94.80000000000001,88.8,122.99999999999999,20000
576.8686,94.80000000000001,89.4,122.99999999999999,14000
851.5419,94.80000000000001,89.4,101.39999999999999,3400
882.5669,94.80000000000001,88.2,225,140000
883.5697,94.80000000000001,88.8,222,74000
884.5724,94.80000000000001,89.4,174.60000000000002,24000
911.5656,94.80000000000001,92.4,97.8,2300
925.579,94.80000000000001,93,98.39999999999999,1500
1168.7515,94.80000000000001,91.2,102.6,1400
281.0499,96,91.2,111,2600
369.349,96,92.4,100.19999999999999,1700
389.2545,96,91.2,102,2600
390.2667,96,93,101.39999999999999,1800
399.2425,96,91.2,112.8,4200
414.2135,96,92.4,110.4,2800
419.2341,96,90,98.39999999999999,1600
423.3212,96,91.8,124.19999999999999,8100
424.36130000000003,96,60,105,1700
430.2414,96,90,186,26000
431.2443,96,91.2,108,6200
448.3269,96,92.4,155.39999999999998,2600
487.2827,96,94.2,100.8,1600
527.8639,96,91.8,119.4,3700
621.369,96,93.60000000000001,102,1000
885.5747,96,90,99.6,6200
1054.7207,96,92.4,99.6,1900
1151.7287,96,89.4,106.2,4900
316.1766,96.60000000000001,93,105.6,3600
338.3402,96.60000000000001,60,144,12000
339.3434,96.60000000000001,92.4,107.4,2700
398.2386,96.60000000000001,88.2,157.79999999999998,17000
403.3492,96.60000000000001,93.60000000000001,120.6,2200
407.2967,96.60000000000001,93,105,2300
421.3161,96.60000000000001,90,124.19999999999999,200000
422.3186,96.60000000000001,91.2,124.19999999999999,54000
445.9693,96.60000000000001,90,111,5700
526.3605,96.60000000000001,88.8,118.8,77000
567.3609,96.60000000000001,91.8,105.6,2200
627.4178,96.60000000000001,93.60000000000001,118.8,1600
699.4033,96.60000000000001,90,108.60000000000001,44000
700.4064,96.60000000000001,90,108.60000000000001,17000
701.4095,96.60000000000001,91.8,108,4400
774.4958,96.60000000000001,93,111.60000000000001,5800
1051.712,96.60000000000001,89.4,157.79999999999998,35000
1052.7147,96.60000000000001,90,153.6,21000
117.0691,97.2,94.2,100.19999999999999,1400
300.6994,97.2,93,123.60000000000001,6100
315.1732,97.2,91.8,166.79999999999998,16000
331.2829,97.2,94.2,102,1200
379.2668,97.2,93,121.79999999999998,3500
383.3294,97.2,93,102.6,1300
435.3133,97.2,91.2,123.60000000000001,50000
460.2673,97.2,92.4,108,48000
461.2705,97.2,92.4,106.2,14000
468.387,97.2,60.6,121.79999999999998,2900
526.861,97.2,89.4,220.8,45000
527.3633,97.2,90,108.60000000000001,21000
599.3883,97.2,89.4,227.4,420000
600.3915,97.2,90,226.2,150000
1053.7193,97.2,91.2,107.4,7300
1153.7347,97.2,91.2,98.39999999999999,1300
223.0626,97.8,88.8,129,4500
350.2052,97.8,93,106.2,3100
351.2422,97.8,91.8,120.6,9100
356.2606,97.8,94.2,109.2,2300
375.1324,97.8,93.60000000000001,108,2700
376.2591,97.8,91.2,228.6,980000
377.2617,97.8,91.2,225,220000
378.2637,97.8,91.8,184.2,32000
385.3435,97.8,93,126.6,2500
392.1079,97.8,93,108,3000
393.2858,97.8,90,228.6,1300000
394.2883,97.8,89.4,225,290000
402.3431,97.8,93,160.2,12000
434.3111,97.8,90,122.99999999999999,180000
473.2625,97.8,91.8,108,96000
474.2656,97.8,92.4,108,30000
556.4387,97.8,88.8,126,3000
600.4621,97.8,96.60000000000001,105,1800
601.3935,97.8,91.2,188.4,32000
602.3958,97.8,92.4,109.80000000000001,5200
751.5112,97.8,93,150.6,70000
773.4917,97.8,93,116.39999999999999,15000
829.5543,97.8,94.2,113.39999999999999,2300
852.5512,97.8,91.2,120,2300
1145.7943,97.8,94.80000000000001,99.6,1300
300.198,98.39999999999999,92.4,123.60000000000001,20000
317.304,98.39999999999999,94.2,103.8,2100
395.2901,98.39999999999999,91.8,186.6,42000
396.2929,98.39999999999999,93,126.6,4700
397.1987,98.39999999999999,94.2,120.6,2700
401.3396,98.39999999999999,92.4,162,39000
644.4914,98.39999999999999,90,120,2800
752.5152,98.39999999999999,92.4,174.60000000000002,43000
860.6088,98.39999999999999,93.60000000000001,145.8,9300
863.63,98.39999999999999,94.2,120.6,3900
879.5697,98.39999999999999,94.80000000000001,111.60000000000001,1500
881.5838,98.39999999999999,93.60000000000001,123.60000000000001,3500
1185.8182,98.39999999999999,93.60000000000001,114.6,2100
281.1372,99,94.2,112.8,5600
337.0511,99,96.60000000000001,101.39999999999999,1300
351.5769,99,92.4,111,4600
415.2101,99,91.8,225,310000
416.2131,99,94.80000000000001,102.6,84000
417.2156,99,94.80000000000001,102.6,15000
432.2361,99,92.4,220.2,100000
433.2394,99,93,158.4,29000
434.2432,99,96,122.99999999999999,3300
437.1913,99,94.2,111,2700
768.5397,99,91.8,225,530000
769.541,99,91.8,225,250000
821.6144,99,93.60000000000001,129.60000000000002,16000
830.5659,99,93,162,30000
849.6378,99,94.80000000000001,103.2,2000
854.5662,99,93,174.60000000000002,17000
856.5808,99,93,180,24000
862.6255,99,93.60000000000001,127.2,7900
864.6242,99,94.2,155.39999999999998,4500
871.5596,99,94.2,108.60000000000001,1200
880.5819,99,93,122.99999999999999,6300
1143.7875,99,93.60000000000001,120,3700
1160.7889,99,97.8,108,2400
1162.8484,99,96.60000000000001,111.60000000000001,1800
119.085,99.6,93,175.8,4600
257.1845,99.6,98.39999999999999,103.2,1700
330.2443,99.6,94.2,136.2,8700
331.2475,99.6,96.60000000000001,105,1800
344.2591,99.6,93.60000000000001,123.60000000000001,4400
358.275,99.6,94.2,100.8,1100
386.2749,99.6,94.2,121.79999999999998,3700
392.2533,99.6,98.39999999999999,104.4,2600
434.7783,99.6,92.4,123.60000000000001,44000
435.7814,99.6,94.2,122.4,6000
512.4128,99.6,60.6,121.2,2900
528.368,99.6,93,107.4,1800
771.5993,99.6,93.60000000000001,124.80000000000001,51000
832.5825,99.6,92.4,161.4,140000
836.6107,99.6,93,157.79999999999998,49000
