id,mz,rt,rtmin,rtmax,p_293T_2,mean_inten
2264,60.0442,10.33,10.23,10.44,6300,6300
1661,60.063,8.75,8.57,8.83,1400,1400
1606,60.0805,8.51,8.43,8.61,6900,6900
1369,61.0392,5,4.84,5.66,5200,5200
3482,62.9812,14.25,14.13,14.77,1100,1100
3924,64.0152,14.43,14.15,14.78,1100,1100
1474,69.0695,7.64,7.47,7.97,3200,3200
3104,70.0647,13.55,13.41,13.75,2400,2400
1577,70.0651,8.41,8.22,8.88,31000,31000
1583,71.068,8.43,8.33,8.53,1400,1400
2201,72.0803,10.21,10.12,10.33,2600,2600
1597,72.0807,8.45,8.26,8.91,23000,23000
2024,74.0599,9.77,9.67,9.91,28000,28000
2189,76.0387,10.18,10.06,10.27,1900,1900
4627,78.9549,14.65,14.45,14.88,1100,1100
1136,80.0491,2.95,2.63,3.2,3200,3200
2025,83.0597,9.77,9.61,9.99,4500,4500
1676,84.0439,8.83,8.64,8.89,2800,2800
2371,84.044,10.58,10.45,10.82,46000,46000
2169,84.0442,10.07,9.88,10.36,77000,77000
3136,84.0804,13.87,13.69,14.13,17000,17000
2178,85.047,10.1,9.93,10.25,3300,3300
2373,85.047,10.59,10.51,10.69,1700,1700
1877,86.0595,9.45,9.41,9.51,1700,1700
2354,86.0957,10.5,10.4,10.62,1700,1700
1470,86.0966,7.63,6.97,8.34,76000,76000
1475,87.0992,7.64,7.1,7.92,3600,3600
2516,88.0386,11.02,10.97,11.07,1000,1000
2401,88.0387,10.71,10.63,10.84,3400,3400
1925,90.0544,9.67,9.42,9.97,21000,21000
2554,90.0544,11.11,11.05,11.2,1100,1100
2079,93.0441,9.84,9.74,9.93,1900,1900
2080,95.0595,9.84,9.75,9.95,1900,1900
2791,98.9747,11.85,11.77,12,1600,1600
2493,98.9831,10.92,10.83,11.27,4900,4900
2175,101.0702,10.08,9.92,10.28,5900,5900
2370,102.0541,10.57,10.47,10.76,15000,15000
2027,102.0543,9.77,9.64,9.95,15000,15000
1415,103.0535,7.18,6.91,7.66,6700,6700
1549,104.0522,8.1,7.93,8.33,3200,3200
2012,104.106,9.75,9.69,9.81,1300,1300
1607,104.1069,8.51,8.39,8.77,310000,310000
3807,104.9916,14.4,14.05,15,61000,61000
1608,105.1096,8.51,8.41,8.63,17000,17000
3925,105.9945,14.43,14.2,14.67,1300,1300
2256,106.0492,10.32,10.22,10.45,6800,6800
2136,108.0107,9.94,9.87,10.01,1500,1500
2081,110.0271,9.84,9.74,9.93,1600,1600
2082,110.0708,9.84,9.69,10.13,55000,55000
2083,111.0734,9.84,9.73,9.99,3700,3700
1380,112.0496,6.26,5.98,6.59,1500,1500
1636,113.1065,8.65,8.59,8.75,5700,5700
167,113.1318,1.57,1.52,1.76,3100,3100
1922,114.0653,9.66,9.44,9.82,4500,4500
2568,114.0653,11.12,11,11.27,9700,9700
1368,114.0658,4.69,4.43,5.9,24000,24000
1363,115.0683,4.65,4.55,4.94,1500,1500
2402,116.0334,10.71,10.64,10.83,3500,3500
3105,116.0697,13.55,13.39,13.8,4000,4000
1578,116.0703,8.41,8.21,8.9,70000,70000
279,117.0691,1.62,1.57,1.67,1400,1400
1579,117.0729,8.41,8.26,8.67,4200,4200
1598,118.0856,8.45,8.29,8.85,21000,21000
1391,118.0861,7.13,6.7,8.29,180000,180000
1694,119.0483,8.98,8.85,9.25,5200,5200
357,119.085,1.66,1.55,2.93,4600,4600
1388,119.0885,7.08,6.7,8.27,11000,11000
2500,120.0435,10.98,10.91,11.1,2900,2900
2028,120.065,9.77,9.63,9.99,49000,49000
1408,120.0807,7.17,6.76,8.13,200000,200000
4160,120.965,14.5,14.1,14.94,14000,14000
2029,121.0678,9.77,9.7,9.9,2600,2600
1409,121.0833,7.17,6.87,7.83,18000,18000
1748,122.0702,9.1,9.01,9.38,1300,1300
1617,122.0706,8.59,8.48,8.74,31000,31000
1692,123.0433,8.96,8.82,9.3,9600,9600
2245,123.0543,10.31,10.21,10.42,5800,5800
1137,123.0549,2.95,2.33,3.75,170000,170000
1621,123.0735,8.6,8.52,8.67,2500,2500
1138,124.0575,2.95,2.63,3.21,12000,12000
2355,124.9988,10.5,10.36,10.78,20000,20000
2132,126.0212,9.93,9.78,10.23,62000,62000
2128,127.0231,9.92,9.86,10.03,2200,2200
1799,127.038,9.21,9.01,9.62,1800,1800
2133,128.017,9.93,9.85,10.05,3300,3300
3455,128.9524,14.24,14.03,15.07,33000,33000
1709,129.0536,9.01,8.91,9.16,1900,1900
1981,129.0648,9.71,9.53,9.94,26000,26000
3142,129.1009,13.9,13.73,14.04,2600,2600
1555,129.1013,8.22,8.09,8.41,1500,1500
1648,129.1378,8.71,8.56,8.98,4100,4100
2177,129.6658,10.09,9.95,10.19,1600,1600
2883,130.049,11.99,11.87,12.14,3100,3100
2943,130.049,12.33,12.24,12.43,1300,1300
2374,130.0492,10.59,10.42,11.12,130000,130000
1677,130.0493,8.83,8.62,9.01,18000,18000
2170,130.0497,10.07,9.87,10.42,580000,580000
1974,130.0677,9.7,9.65,9.79,1400,1400
3143,130.0855,13.9,13.66,14.16,65000,65000
1328,130.1582,4.05,3.87,4.7,6300,6300
2379,131.0329,10.6,10.55,10.67,1100,1100
1396,131.0482,7.15,6.92,7.57,4300,4300
1675,131.052,8.82,8.67,8.88,1200,1200
2375,131.052,10.59,10.47,10.76,7800,7800
2171,131.0523,10.07,9.9,10.35,34000,34000
3144,131.0882,13.9,13.73,14.07,4500,4500
1918,131.6865,9.61,9.46,9.76,2000,2000
2172,132.0534,10.07,9.93,10.26,4500,4500
2569,132.0758,11.12,11,11.27,11000,11000
1920,132.0767,9.64,9.42,10.01,810000,810000
1529,132.0812,8.01,7.96,8.09,1100,1100
1471,132.1016,7.63,6.95,8.37,99000,99000
2956,133.0268,12.41,12.36,12.48,1100,1100
1545,133.0311,8.09,7.89,8.46,16000,16000
2230,133.0598,10.28,10.16,10.38,3600,3600
819,133.0638,2.06,1.98,2.1,2000,2000
1921,133.0787,9.64,9.42,9.91,44000,44000
3099,133.0963,13.53,13.38,13.84,4500,4500
1476,133.1044,7.64,7.03,7.99,7100,7100
1385,134.0261,6.79,6.59,6.96,1100,1100
2664,134.0264,11.33,11.21,11.52,10000,10000
1541,134.0339,8.07,7.99,8.22,1000,1000
2520,134.044,11.03,10.91,11.18,7600,7600
2403,134.0441,10.71,10.6,10.91,16000,16000
1235,134.0592,3.21,3.08,3.72,10000,10000
1923,134.0802,9.66,9.43,9.81,3900,3900
883,135.0796,2.08,2.04,2.35,3400,3400
1366,136.0469,4.67,4.51,5.18,2400,2400
1897,136.0471,9.53,9.41,9.63,22000,22000
2792,136.0606,11.85,11.78,11.98,1500,1500
1700,136.075,8.99,8.79,9.38,36000,36000
4443,136.9389,14.59,14.07,15.01,31000,31000
1895,137.0503,9.52,9.46,9.55,1100,1100
1693,137.078,8.96,8.87,9.21,3300,3300
1584,138.0514,8.43,8.27,8.6,2800,2800
1465,138.0645,7.57,7.47,7.62,1300,1300
4628,138.937,14.65,14.16,14.91,4500,4500
1228,139.0968,3.15,3.07,3.29,1900,1900
1557,139.0969,8.23,8.16,8.36,1400,1400
1169,139.1217,2.97,2.95,3.03,1300,1300
1387,140.0672,7.01,6.84,7.46,2400,2400
2913,140.9938,12.16,12.08,12.26,1500,1500
1749,143.0304,9.1,9.05,9.15,1100,1100
1618,144.047,8.59,8.49,8.71,16000,16000
1763,144.0643,9.14,8.96,9.28,1100,1100
2400,144.0646,10.7,10.63,10.78,2200,2200
1530,144.0797,8.01,7.88,8.18,1700,1700
1383,144.101,6.35,5.93,6.92,3200,3200
1715,144.101,9.02,8.88,9.17,3300,3300
4673,144.9263,14.66,14.03,15.08,19000,19000
3559,144.9834,14.31,14.1,14.84,4800,4800
1281,145.0309,3.65,3.5,3.74,1900,1900
1440,145.0485,7.38,7.18,7.65,1800,1800
1881,145.0485,9.46,8.93,9.67,4600,4600
2960,146.026,12.43,12.35,12.5,1000,1000
1371,146.0261,5.53,5.19,6.8,7600,7600
2665,146.0263,11.33,11.06,11.56,17000,17000
1159,146.0591,2.96,2.94,3.03,1600,1600
1531,146.0593,8.01,7.84,8.26,4500,4500
2074,146.0912,9.81,9.7,9.97,4900,4900
1710,146.1172,9.01,8.84,9.32,63000,63000
5329,146.1642,14.91,14.88,15.13,1100,1100
1645,146.1643,8.7,8.25,9.02,6600,6600
2164,146.6411,10.04,9.98,10.17,1200,1200
2669,147.0288,11.34,11.23,11.43,1200,1200
1695,147.0433,8.98,8.83,9.28,7200,7200
2166,147.0762,10.06,9.88,10.4,410000,410000
3139,147.112,13.88,13.65,14.18,79000,79000
1707,147.1197,9,8.89,9.16,4300,4300
1365,148.0417,4.66,4.39,5.62,5600,5600
1550,148.0417,8.13,7.99,8.24,1400,1400
2947,148.0598,12.34,12.18,12.51,20000,20000
2376,148.0599,10.59,10.44,10.98,250000,250000
2167,148.0786,10.06,9.91,10.33,26000,26000
1518,148.0958,7.94,7.81,8.09,1100,1100
3140,148.1146,13.88,13.71,14.07,5700,5700
169,149.0228,1.57,1.01,2.1,98000,98000
1416,149.0578,7.18,6.94,7.52,5800,5800
2372,149.0627,10.58,10.46,10.76,15000,15000
779,149.0799,2.05,2,2.08,1700,1700
2165,149.08,10.04,9.94,10.21,2800,2800
170,150.0257,1.57,1.01,2.04,8700,8700
1546,150.0576,8.09,7.88,8.48,27000,27000
2377,150.064,10.59,10.52,10.7,2100,2100
2185,151.0467,10.15,9.98,10.27,2500,2500
1547,151.0602,8.09,7.97,8.26,1800,1800
1611,151.0856,8.55,8.5,8.62,1100,1100
2184,152.0309,10.14,10.02,10.26,1700,1700
1241,152.0699,3.23,3,3.75,42000,42000
1243,153.0729,3.24,3.11,3.66,3700,3700
1898,154.0577,9.53,9.41,9.67,36000,36000
1899,155.0607,9.53,9.46,9.56,1900,1900
2360,156.041,10.53,10.45,10.65,2000,2000
5255,156.041,14.84,14.63,14.92,2800,2800
2670,156.0757,11.34,11.16,11.85,2700,2700
