id,mz,rt,rtmin,rtmax,p_293T_2,image,prediction,EVA_remove,is_duplicate,mean_inten,low_inten,high_blank,high_QC_var
2264,60.0442,10.33,10.23,10.44,6300,F1.png,TRUE,FALSE,FALSE,6300,FALSE,FALSE,FALSE
1661,60.063,8.75,8.57,8.83,1400,F2.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
1606,60.0805,8.51,8.43,8.61,6900,F3.png,TRUE,FALSE,FALSE,6900,FALSE,FALSE,FALSE
1369,61.0392,5,4.84,5.66,5200,F4.png,TRUE,FALSE,FALSE,5200,FALSE,FALSE,FALSE
3482,62.9812,14.25,14.13,14.77,1100,F5.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
3924,64.0152,14.43,14.15,14.78,1100,F6.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1474,69.0695,7.64,7.47,7.97,3200,F7.png,TRUE,FALSE,FALSE,3200,FALSE,FALSE,FALSE
3104,70.0647,13.55,13.41,13.75,2400,F8.png,TRUE,FALSE,FALSE,2400,FALSE,FALSE,FALSE
1577,70.0651,8.41,8.22,8.88,31000,F9.png,TRUE,FALSE,FALSE,31000,FALSE,FALSE,FALSE
1583,71.068,8.43,8.33,8.53,1400,F10.png,TRUE,FALSE,FALSE,1400,FALSE,FALSE,FALSE
2201,72.0803,10.21,10.12,10.33,2600,F11.png,TRUE,FALSE,FALSE,2600,FALSE,FALSE,FALSE
1597,72.0807,8.45,8.26,8.91,23000,F12.png,TRUE,FALSE,FALSE,23000,FALSE,FALSE,FALSE
2024,74.0599,9.77,9.67,9.91,28000,F13.png,TRUE,FALSE,FALSE,28000,FALSE,FALSE,FALSE
2189,76.0387,10.18,10.06,10.27,1900,F14.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
1420,77.0381,7.23,6.81,7.64,1700,F15.png,FALSE,TRUE,FALSE,1700,FALSE,FALSE,FALSE
4627,78.9549,14.65,14.45,14.88,1100,F16.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1136,80.0491,2.95,2.63,3.2,3200,F17.png,TRUE,FALSE,FALSE,3200,FALSE,FALSE,FALSE
2025,83.0597,9.77,9.61,9.99,4500,F18.png,TRUE,FALSE,FALSE,4500,FALSE,FALSE,FALSE
2026,84.0436,9.77,9.71,9.86,1200,F19.png,FALSE,TRUE,FALSE,1200,FALSE,FALSE,FALSE
1676,84.0439,8.83,8.64,8.89,2800,F20.png,TRUE,FALSE,FALSE,2800,FALSE,FALSE,FALSE
2371,84.044,10.58,10.45,10.82,46000,F21.png,TRUE,FALSE,FALSE,46000,FALSE,FALSE,FALSE
2169,84.0442,10.07,9.88,10.36,77000,F22.png,TRUE,FALSE,FALSE,77000,FALSE,FALSE,FALSE
3136,84.0804,13.87,13.69,14.13,17000,F23.png,TRUE,FALSE,FALSE,17000,FALSE,FALSE,FALSE
1892,85.0278,9.5,8.96,9.61,1800,F24.png,FALSE,TRUE,FALSE,1800,FALSE,FALSE,FALSE
2178,85.047,10.1,9.93,10.25,3300,F25.png,TRUE,FALSE,FALSE,3300,FALSE,FALSE,FALSE
2373,85.047,10.59,10.51,10.69,1700,F26.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1877,86.0595,9.45,9.41,9.51,1700,F27.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
2354,86.0957,10.5,10.4,10.62,1700,F28.png,TRUE,FALSE,FALSE,1700,FALSE,FALSE,FALSE
1470,86.0966,7.63,6.97,8.34,76000,F29.png,TRUE,FALSE,FALSE,76000,FALSE,FALSE,FALSE
1475,87.0992,7.64,7.1,7.92,3600,F30.png,TRUE,FALSE,FALSE,3600,FALSE,FALSE,FALSE
2516,88.0386,11.02,10.97,11.07,1000,F31.png,TRUE,FALSE,FALSE,1000,FALSE,FALSE,FALSE
2272,88.0387,10.35,10.26,10.4,1500,F32.png,FALSE,TRUE,FALSE,1500,FALSE,FALSE,FALSE
2401,88.0387,10.71,10.63,10.84,3400,F33.png,TRUE,FALSE,FALSE,3400,FALSE,FALSE,FALSE
1925,90.0544,9.67,9.42,9.97,21000,F34.png,TRUE,FALSE,FALSE,21000,FALSE,FALSE,FALSE
2554,90.0544,11.11,11.05,11.2,1100,F35.png,TRUE,FALSE,FALSE,1100,FALSE,FALSE,FALSE
1699,91.0536,8.99,8.86,9.22,1900,F36.png,FALSE,TRUE,FALSE,1900,FALSE,FALSE,FALSE
2079,93.0441,9.84,9.74,9.93,1900,F37.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
2080,95.0595,9.84,9.75,9.95,1900,F38.png,TRUE,FALSE,FALSE,1900,FALSE,FALSE,FALSE
2791,98.9747,11.85,11.77,12,1600,F39.png,TRUE,FALSE,FALSE,1600,FALSE,FALSE,FALSE
1725,98.9748,9.04,8.2,9.46,2400,F40.png,FALSE,TRUE,FALSE,2400,FALSE,FALSE,FALSE
1512,98.975,7.89,7.66,8.1,1000,F41.png,FALSE,TRUE,FALSE,1000,FALSE,FALSE,FALSE
2363,98.9831,10.54,10.39,10.68,1700,F42.png,FALSE,TRUE,FALSE,1700,FALSE,FALSE,FALSE
2493,98.9831,10.92,10.83,11.27,4900,F43.png,TRUE,FALSE,FALSE,4900,FALSE,FALSE,FALSE
2175,101.0702,10.08,9.92,10.28,5900,F44.png,TRUE,FALSE,FALSE,5900,FALSE,FALSE,FALSE
2370,102.0541,10.57,10.47,10.76,15000,F45.png,TRUE,FALSE,FALSE,15000,FALSE,FALSE,FALSE
2027,102.0543,9.77,9.64,9.95,15000,F46.png,TRUE,FALSE,FALSE,15000,FALSE,FALSE,FALSE
1415,103.0535,7.18,6.91,7.66,6700,F47.png,TRUE,FALSE,FALSE,6700,FALSE,FALSE,FALSE
1549,104.0522,8.1,7.93,8.33,3200,F48.png,TRUE,FALSE,FALSE,3200,FALSE,FALSE,FALSE
2012,104.106,9.75,9.69,9.81,1300,F49.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
1726,104.1062,9.04,8.94,9.13,1000,F50.png,FALSE,TRUE,FALSE,1000,FALSE,FALSE,FALSE
1607,104.1069,8.51,8.39,8.77,310000,F51.png,TRUE,FALSE,FALSE,310000,FALSE,FALSE,FALSE
3807,104.9916,14.4,14.05,15,61000,F52.png,TRUE,FALSE,FALSE,61000,FALSE,FALSE,FALSE
1608,105.1096,8.51,8.41,8.63,17000,F53.png,TRUE,FALSE,FALSE,17000,FALSE,FALSE,FALSE
3925,105.9945,14.43,14.2,14.67,1300,F54.png,TRUE,FALSE,FALSE,1300,FALSE,FALSE,FALSE
