category,name,formula,SMILES,note,rt,mode
Adduct,C4H5O4Na3,C4H5O4Na3,NA,NA,NA,1
Adduct,C6H8O6Na4,C6H8O6Na4,NA,NA,NA,1
Adduct,C8H11O8Na5,C8H11O8Na5,NA,NA,NA,1
Adduct,C10H14O10Na6,C10H14O10Na6,NA,NA,NA,1
Adduct,C12H17O12Na7,C12H17O12Na7,NA,NA,NA,1
Adduct,C14H20O14Na8,C14H20O14Na8,NA,NA,NA,1
Adduct,C16H23O16Na9,C16H23O16Na9,NA,NA,NA,1
Adduct,C18H26O18Na10,C18H26O18Na10,NA,NA,NA,1
Adduct,C20H29O20Na11,C20H29O20Na11,NA,NA,NA,1
Adduct,C22H32O22Na12,C22H32O22Na12,NA,NA,NA,1
Adduct,C4H7O4Na1,C4H7O4Na1,NA,NA,NA,-1
Adduct,C6H10O6Na2,C6H10O6Na2,NA,NA,NA,-1
Adduct,C8H13O8Na3,C8H13O8Na3,NA,NA,NA,-1
Adduct,C10H16O10Na4,C10H16O10Na4,NA,NA,NA,-1
Adduct,C12H19O12Na5,C12H19O12Na5,NA,NA,NA,-1
Adduct,C14H22O14Na6,C14H22O14Na6,NA,NA,NA,-1
Adduct,C16H25O16Na7,C16H25O16Na7,NA,NA,NA,-1
Adduct,C18H28O18Na8,C18H28O18Na8,NA,NA,NA,-1
Adduct,C20H31O20Na9,C20H31O20Na9,NA,NA,NA,-1
Adduct,C22H34O22Na10,C22H34O22Na10,NA,NA,NA,-1
Adduct,EDTA,C10H16N2O8,NA,NA,NA,0
Adduct,EDTA + Mg,C10H14N2O8Mg1,NA,NA,NA,0
Adduct,EDTA + Ca,C10H14N2O8Ca1,NA,NA,NA,0
Adduct,EDTA + Zn,C10H14N2O8Zn1,NA,NA,NA,0
Adduct,medronic acid,C1H6O6P2,NA,NA,NA,0
Adduct,BF4-,H1B1F4,NA,NA,NA,-1
Adduct,C3H1F7 (backgronud),C3H1F7,NA,NA,NA,-1
