name,revised_Query,Compound_Name,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Hilic_20min_QE,Hilic_25min_QE,Hilic_25min_QE2,Hilic_Rutgers_QEPlus,Hilic_30min_QTOF,E_Waters_25min,E_30min,lipids,formula,mass,rdbe
1-Methyl imidozolacetic Acid Hydrochloride,Methylimidazoleacetic acid,Methylimidazoleacetic acid,HMDB0002820,75810,NA,C05828,3774,CN1C=C(N=C1)CC(=O)O,NA,9.05,8.717569058,NA,NA,NA,NA,,C6H8N2O2,140.0585775,4
1-Methyl-Histidine,1-Methyl-Histidine,1-Methylhistidine,HMDB0000001,92105,50599,C01152,3741,CN1C=C(N=C1)C[C@@H](C(=O)O)N,7.72,14.76,14.21782534,NA,14,1.62,NA,,C7H11N3O2,169.0851266,4
1-Methyladenosine,1-Methyladenosine,1-Methyladenosine,HMDB0003331,27476,16020,C02494,6888,CN1C=NC2=C(C1=N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,4.06,6.85,6.598381,2.23,5.65,NA,12.63,,C11H15N5O4,281.112404,7
2-Amino-3-phosphonopropionic acid,2-Amino-3-phosphonopropionic acid,2-Amino-3-phosphonopropionic acid,HMDB0000370,3857,244030,C05672,5359,C(C(C(=O)O)N)P(=O)(O)O,NA,13.79,13.28345606,10.73,NA,NA,NA,,C3H8N1O5P1,169.0140089,1
2-Furoylglycine,2-Furoylglycine,2-Furoylglycine,HMDB0000439,21863,613373,NA,5428,C1=COC(=C1)C(=O)NCC(=O)O,NA,7.01,6.752503767,NA,NA,NA,NA,,C7H7N1O4,169.0375077,5
2-Hydroxybutyric acid,2-Hydroxybutyric acid,2-Hydroxybutyric acid,HMDB0000008,11266,1148,C05984,3783,CCC(C(=O)O)O,3.92,6.23,6.001155274,3.13,6,10.47,12.63,,C4H8O3,104.0473441,1
2-Methyl-3-ketovaleric acid,2-Methyl-3-ketovaleric acid,2-Methyl-3-ketovaleric acid,HMDB0000408,189028,86365,NA,5397,CCC(=O)C(C)C(=O)O,NA,2.57,2.475596959,1.91,NA,13.69,NA,,C6H10O3,130.0629942,2
2-Phenylbutyric acid,2-Phenylbutyric acid,2-Phenylbutyric acid,HMDB00329,7012,1138996,NA,5318,CCC(C1=CC=CC=C1)C(=O)O,NA,2.68,2.581556362,1.92,NA,NA,NA,,C10H12O2,164.0837296,5
3-Cresotinic acid,3-Cresotinic acid,3-Cresotinic acid,HMDB0002390,6738,20141,C14088,6661,CC1=CC=CC(=C1O)C(=O)O,1.83,2.26,2.176984096,1.27,2.91,NA,17.52,,C8H8O3,152.0473441,5
3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid,3-Hydroxyanthranilic acid,HMDB0001476,86,15793,C00632,3275,C1=CC(=C(C(=C1)O)N)C(=O)O,1.92,5.37,5.172745397,2.54,4.86,NA,14.05,,C7H7N1O3,153.0425931,5
3-hydroxylbutyrate,3-Hydroxybutyric acid,3-Hydroxybutyric acid,HMDB0000357,441,20067,C01089,125,CC(CC(=O)O)O,NA,7.73,7.446056223,NA,NA,NA,11.2,,C4H8O3,104.0473441,1
