accession,iupac_name,name,SMILES,status,formula,mass,rdbe,category
YMDB00001,NA,5'-Phosphoribosyl-N-formylglycinamide,O[C@H]1[C@@H](O)[C@H](NC(=O)CNC=O)O[C@@H]1COP(O)(O)=O,quantified,C8H15N2O9P1,314.0515166,3,Metabolite
YMDB00002,NA,L-Glutamine,N[C@@H](CCC(N)=O)C(O)=O,quantified,C5H10N2O3,146.0691422,2,Metabolite
YMDB00003,NA,Urea,NC(N)=O,quantified,C1H4N2O1,60.03236277,1,Metabolite
YMDB00004,NA,Galactose 1-phosphate,OC[C@H]1O[C@H](OP(O)(O)=O)[C@H](O)[C@@H](O)[C@H]1O,quantified,C6H13O9P1,260.0297185,1,Metabolite
YMDB00005,NA,Sulfate,[O-]S([O-])(=O)=O,quantified,H2O4S1,97.96737927,0,Adduct
YMDB00006,NA,"1D-Myo-inositol 1,4,5,6-tetrakisphosphate",O[C@H]1[C@@H](O)[C@@H](OP(O)(O)=O)[C@H](OP(O)(O)=O)[C@@H](OP(O)(O)=O)[C@@H]1OP(O)(O)=O,quantified,C6H16O18P4,499.9287096,1,Metabolite
YMDB00007,NA,Quinolinic acid,OC(=O)C1=CC=CN=C1C(O)=O,quantified,C7H5N1O4,167.0218577,6,Metabolite
YMDB00008,NA,Trehalose,OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,quantified,C12H22O11,342.1162115,2,Metabolite
YMDB00009,NA,Ethanolamine,NCCO,quantified,C2H7N1O1,61.05276385,0,Metabolite
YMDB00010,NA,"4-(2-Aminophenyl)-2,4-dioxobutanoic acid",NC1=C(C=CC=C1)C(=O)CC(=O)C(O)=O,quantified,C10H9N1O4,207.0531578,7,Metabolite
YMDB00011,NA,"D-Fructose 2,6-bisphosphate",OC[C@@]1(OP(O)(O)=O)O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H]1O,quantified,C6H14O12P2,339.9960489,1,Metabolite
