Mass,Formula,Formula_type,Species,CS,Polarity,Start,End,CE,CE_type,MSXID,Comment
498.93039,,,,,Negative,0.456,3.456,30,NCE,,ID=116
721.57831,,,,,Negative,0.733,3.733,30,NCE,,ID=773
403.09219,,,,,Negative,1.058,4.058,30,NCE,,ID=1446
211.08781,,,,,Negative,1.201,4.201,30,NCE,,ID=1989
328.28586,,,,,Negative,1.401,4.401,30,NCE,,ID=2444
149.07196,,,,,Negative,1.587,4.587,30,NCE,,ID=2780
151.07631,,,,,Negative,2.689,5.689,30,NCE,,ID=3585
335.22299,,,,,Negative,2.701,5.701,30,NCE,,ID=3865
143.04614,,,,,Negative,4.069,7.069,30,NCE,,ID=4493
88.987938,,,,,Negative,5.666,8.666,30,NCE,,ID=5389
283.10352,,,,,Negative,6.917,9.917,30,NCE,,ID=5906
202.10851,,,,,Negative,8.789,11.789,30,NCE,,ID=6400
160.02507,,,,,Negative,10.267,13.267,30,NCE,,ID=7124
216.08766,,,,,Negative,11.445,14.445,30,NCE,,ID=7644
125.00095,,,,,Negative,11.954,14.954,30,NCE,,ID=8245
230.12581,,,,,Negative,12.894,15.894,30,NCE,,ID=10103
